call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
AAPL_2019_Q1_20190129,AAPL,2019-01-29,train,3,-3.4891512913583083,,-3.8996017482298178
AAPL_2019_Q2_20190430,AAPL,2019-04-30,train,3,-3.7689583634916497,,-4.7445869541844
AAPL_2019_Q3_20190730,AAPL,2019-07-30,val,3,-3.9267767220611822,,-5.18811835814608
AAPL_2019_Q4_20191030,AAPL,2019-10-30,val,3,-4.685507427757831,,-4.278269061934266
AAPL_2020_Q1_20200128,AAPL,2020-01-28,train,3,-3.608902044350036,,-3.747384768850268
AAPL_2020_Q2_20200430,AAPL,2020-04-30,val,3,-4.235959362617064,,-3.867374567365909
AAPL_2020_Q3_20200730,AAPL,2020-07-30,train,3,-3.157890906381099,,-4.174202687119733
AAPL_2020_Q4_20201029,AAPL,2020-10-29,train,3,-3.48826790978186,,-3.349940814645551
AAPL_2021_Q1_20210127,AAPL,2021-01-27,train,3,-3.693951311552011,,-4.202244120168261
AAPL_2021_Q2_20210428,AAPL,2021-04-28,train,3,-4.644175822469494,,-5.598806171656855
AAPL_2021_Q3_20210727,AAPL,2021-07-27,val,3,-4.921908121935964,,-4.494762671430531
AAPL_2021_Q4_20211028,AAPL,2021-10-28,train,3,-4.573918283616762,,-4.433622098549563
ABBV_2018_Q4_20190125,ABBV,2019-01-25,val,3,-3.581176698432055,,-4.483357293272469
ABBV_2019_Q1_20190425,ABBV,2019-04-25,train,3,-6.381981102701656,,-5.7250100291215285
ABBV_2019_Q2_20190726,ABBV,2019-07-26,train,3,-4.565837490664604,,-5.595351066710962
ABBV_2019_Q3_20191101,ABBV,2019-11-01,train,3,-4.051893722508335,,-4.937709860561356
ABBV_2019_Q4_20200207,ABBV,2020-02-07,train,3,-3.960763002706387,,-4.679795522142388
ABBV_2020_Q1_20200501,ABBV,2020-05-01,train,3,-3.7884378222266046,,-4.163643868704006
ABBV_2020_Q2_20200731,ABBV,2020-07-31,train,3,-4.410636304643954,,-5.225512854291672
ABBV_2020_Q3_20201030,ABBV,2020-10-30,train,3,-3.715606716194472,,-4.430177857856967
ABBV_2020_Q4_20210203,ABBV,2021-02-03,train,3,-4.338723055469424,,-4.469482638041581
ABBV_2021_Q1_20210430,ABBV,2021-04-30,train,3,-4.22406359608798,,-5.158109312721346
ABBV_2021_Q2_20210730,ABBV,2021-07-30,train,3,-4.452005269902887,,-6.51992707695968
ABBV_2021_Q3_20211029,ABBV,2021-10-29,val,3,-3.987578229913,,-4.639448056638159
ACN_2019_Q2_20190328,ACN,2019-03-28,train,3,-3.7755388660490032,,-5.075331634502104
ACN_2019_Q3_20190627,ACN,2019-06-27,train,3,-5.150400584635635,,-5.292320909201666
ACN_2019_Q4_20190926,ACN,2019-09-26,train,3,-5.382968308661321,,-4.893033735669443
ACN_2020_Q1_20191219,ACN,2019-12-19,val,3,-5.006253967764531,,-4.688235545838516
ACN_2020_Q2_20200319,ACN,2020-03-19,train,3,-3.084464653203048,,-3.021662749411657
ACN_2020_Q3_20200625,ACN,2020-06-25,train,3,-3.164378536198796,,-3.8698187921401233
ACN_2020_Q4_20200924,ACN,2020-09-24,train,3,-3.101892568462145,,-4.128169108580052
ACN_2021_Q1_20201217,ACN,2020-12-17,train,3,-3.3090165539561256,,-4.711443704552931
ACN_2021_Q2_20210318,ACN,2021-03-18,val,3,-4.679357588850028,,-4.999381080711581
ACN_2021_Q3_20210624,ACN,2021-06-24,train,3,-4.660758484091328,,-4.946369831041252
ACN_2021_Q4_20210923,ACN,2021-09-23,train,3,-4.036547822209064,,-4.786793850604242
ACN_2022_Q1_20211216,ACN,2021-12-16,train,3,-3.1927817356826047,,-4.212935296038959
ADBE_2019_Q1_20190314,ADBE,2019-03-14,train,3,-3.819421358557429,,-5.555991803933949
ADBE_2019_Q2_20190618,ADBE,2019-06-18,val,3,-3.644016826559649,,-5.186041606323776
ADBE_2019_Q3_20190917,ADBE,2019-09-17,train,3,-4.627090748865678,,-5.058963105761411
ADBE_2019_Q4_20191212,ADBE,2019-12-12,val,3,-4.0638015292244445,,-4.988574888294638
ADBE_2020_Q1_20200312,ADBE,2020-03-12,train,3,-1.9863019666553297,,-2.55252122838286
ADBE_2020_Q2_20200611,ADBE,2020-06-11,train,3,-3.674533650773915,,-3.5229593037800435
ADBE_2020_Q3_20200915,ADBE,2020-09-15,val,3,-4.080436748178242,,-4.014447815784597
ADBE_2020_Q4_20201210,ADBE,2020-12-10,val,3,-4.19457109817662,,-4.153709540570523
ADBE_2021_Q1_20210323,ADBE,2021-03-23,val,3,-3.699941927112353,,-4.828241996527645
ADBE_2021_Q2_20210617,ADBE,2021-06-17,train,3,-4.681258279939106,,-4.343641265469158
