ticker,correlation,n_overlap,status,reason
AJG,0.999764,2034,pass,
APD,0.994085,2034,warn,
AVY,0.999961,2034,pass,
AYI,1.0,2034,pass,
AZZ,1.0,2034,pass,
BR,1.0,2034,pass,
BRC,0.999998,2034,pass,
C,1.0,2034,pass,
CPF,0.999985,2034,pass,
DAKT,0.999977,2034,pass,
DEI,1.0,2034,pass,
DXC,0.999971,1361,pass,
EME,1.0,2034,pass,
ENVA,1.0,1918,pass,
F,0.999993,2034,pass,
FNB,0.999474,2034,pass,
FSP,0.999998,2034,pass,
GPC,1.0,2034,pass,
HCSG,0.999999,2034,pass,
HPQ,0.997419,2034,warn,
IVZ,0.999999,2034,pass,
JBLU,0.999997,2034,pass,
KELYA,1.0,2034,pass,
KOS,0.999986,2034,pass,
L,0.999896,2034,pass,
LNTH,1.0,1765,pass,
MATX,1.0,2034,pass,
MNST,1.0,2034,pass,
MTD,1.0,2034,pass,
NDSN,1.0,2034,pass,
PAY,1.0,275,pass,
PKE,0.999955,2034,pass,
PSA,0.999999,2034,pass,
RJF,1.0,2034,pass,
RMAX,0.999999,2034,pass,
SBUX,1.0,2034,pass,
SIG,1.0,2034,pass,
SNA,1.0,2034,pass,
STLD,0.999997,2034,pass,
SYNA,1.0,2034,pass,
TDC,0.999537,2034,pass,
TXT,0.999994,2034,pass,
UAA,1.0,2034,pass,
UFPI,1.0,2034,pass,
UMBF,0.999999,2034,pass,
URBN,0.999999,2034,pass,
USB,1.0,2034,pass,
VLO,0.999964,2034,pass,
XOM,0.999816,2034,pass,
XRX,0.975641,2034,investigate,Xerox->Conduent spin-off + 1-for-4 reverse split (eff. Jan 2017); +37.6% adjustment-artifact day on 2017-01-03 adjusted differently by yfinance vs Tiingo. Corporate-action adjustment divergence
