codec,sr,ch,duration,kbps,file
mp3,16000,1,3754.008,24.0,430133280.mp3
mp3,16000,1,5265.432,24.0,436857631.mp3
mp3,44100,1,3777.999433,64.001,437094698.mp3
mp3,16000,1,2603.016,24.001,437328595.mp3
mp3,16000,1,3692.556,24.0,437395404.mp3
mp3,44100,1,1513.026372,64.002,437438945.mp3
mp3,44100,1,2270.681882,64.001,437444632.mp3
mp3,44100,1,2659.645147,64.001,437643018.mp3
mp3,16000,1,3756.06,24.0,437695776.mp3
mp3,44100,1,3475.005147,64.001,437763254.mp3
mp3,16000,1,1676.736,24.002,438063010.mp3
mp3,44100,1,5283.253311,64.0,438282711.mp3
mp3,44100,1,4596.363515,64.0,438606467.mp3
mp3,44100,1,1701.761066,64.002,441502101.mp3
mp3,44100,1,2479.008413,64.001,441514131.mp3
mp3,44100,1,4261.996168,64.0,441515294.mp3
mp3,16000,1,3147.804,24.001,441660275.mp3
mp3,11025,1,3958.125714,16.0,441674347.mp3
mp3,44100,1,3440.027188,64.001,441832346.mp3
mp3,16000,1,3872.772,24.0,441902014.mp3
mp3,16000,1,3631.104,24.0,441905261.mp3
mp3,44100,1,3425.00678,64.001,441905781.mp3
mp3,16000,1,4720.644,24.0,441906992.mp3
mp3,16000,1,3268.62,24.001,441909927.mp3
mp3,16000,1,4417.56,24.0,441913997.mp3
mp3,44100,1,5142.009229,64.0,441917254.mp3
mp3,16000,1,3813.408,24.0,441978375.mp3
mp3,16000,1,4661.28,24.0,441980949.mp3
mp3,44100,1,3857.019841,64.001,441982971.mp3
mp3,16000,1,4237.344,24.0,441983377.mp3
mp3,44100,1,4291.018209,64.0,441986358.mp3
mp3,16000,1,3633.156,24.0,441992336.mp3
mp3,16000,1,3332.124,24.001,441995462.mp3
mp3,44100,1,3795.005147,64.001,442011537.mp3
mp3,44100,1,4454.02229,64.0,442047798.mp3
mp3,44100,1,3642.998617,64.001,442050823.mp3
mp3,44100,1,3751.014943,64.001,442053366.mp3
mp3,16000,1,3813.408,24.0,442053828.mp3
mp3,44100,1,4215.994535,64.001,442059893.mp3
mp3,44100,1,4061.010045,64.001,442060260.mp3
mp3,44100,1,4342.009229,64.0,442062256.mp3
mp3,44100,1,3555.018209,64.001,442063108.mp3
mp3,44100,1,2586.005964,64.001,442080290.mp3
mp3,16000,1,3510.288,24.001,442081004.mp3
mp3,16000,1,3571.74,24.0,442123638.mp3
mp3,44100,1,3137.00678,64.001,442124818.mp3
mp3,44100,1,2839.001882,64.001,442126415.mp3
mp3,16000,1,4720.644,24.0,442128152.mp3
mp3,44100,1,3767.001882,64.001,442129163.mp3
mp3,44100,1,3270.02229,64.001,442131088.mp3
mp3,44100,1,4164.010862,64.001,442134323.mp3
mp3,44100,1,3744.014127,64.001,442226489.mp3
mp3,16000,1,3754.008,24.0,442277393.mp3
mp3,44100,1,3393.00678,64.001,442277397.mp3
mp3,44100,1,3334.02229,64.001,442279182.mp3
mp3,44100,1,3329.999433,64.001,442279184.mp3
mp3,44100,1,3601.019841,64.001,442279576.mp3
mp3,16000,1,3934.224,24.0,442279776.mp3
mp3,44100,1,3695.008413,64.001,442279894.mp3
mp3,44100,1,4057.013311,64.001,442279895.mp3
mp3,44100,1,3728.001066,64.001,442279925.mp3
mp3,16000,1,3391.488,24.001,442281346.mp3
mp3,44100,1,3514.005964,64.001,442281905.mp3
mp3,44100,1,3909.003515,64.001,442281910.mp3
mp3,44100,1,3774.028821,64.001,442282201.mp3
mp3,16000,1,4116.492,24.0,442282274.mp3
mp3,16000,1,6172.704,24.0,442282593.mp3
mp3,16000,1,3571.74,24.0,442284170.mp3
mp3,16000,1,3692.556,24.0,442290567.mp3
mp3,44100,1,4134.02229,64.001,442291183.mp3
mp3,44100,1,2518.009229,64.001,442293248.mp3
mp3,16000,1,2361.348,24.001,442309263.mp3
mp3,44100,1,2711.994535,64.001,442309312.mp3
mp3,16000,1,2301.984,24.001,442309685.mp3
mp3,44100,1,3772.017392,64.001,442309805.mp3
mp3,16000,1,5265.432,24.0,442311906.mp3
mp3,44100,1,4690.012494,64.0,442352639.mp3
mp3,16000,1,3754.008,24.0,442353770.mp3
mp3,16000,1,3450.888,24.001,442354994.mp3
mp3,44100,1,3713.999433,64.001,442355516.mp3
mp3,16000,1,3633.156,24.0,442355559.mp3
mp3,44100,1,3476.023923,64.001,442355648.mp3
mp3,11025,1,3701.237551,16.0,442356642.mp3
mp3,44100,1,3550.002698,64.001,442357293.mp3
mp3,16000,1,3751.956,24.0,442357729.mp3
mp3,16000,1,3874.824,24.0,442357804.mp3
mp3,16000,1,3754.008,24.0,442359691.mp3
mp3,44100,1,3937.032902,64.001,442362693.mp3
mp3,16000,1,3029.004,24.001,442365113.mp3
mp3,16000,1,2967.552,24.001,442365214.mp3
mp3,16000,1,3936.276,24.0,442372040.mp3
mp3,16000,1,2422.8,24.001,442382024.mp3
mp3,44100,1,3257.013311,64.001,442382333.mp3
mp3,44100,1,3216.001066,64.001,442382381.mp3
mp3,44100,1,3547.99127,64.001,442383612.mp3
mp3,16000,1,3813.408,24.0,442383712.mp3
mp3,44100,1,4186.032086,64.001,442384253.mp3
mp3,44100,1,3947.011678,64.001,442385006.mp3
mp3,16000,1,2119.68,24.001,442422860.mp3
mp3,16000,1,2121.732,24.001,442422984.mp3
mp3,44100,1,2319.008413,64.001,442423347.mp3
mp3,44100,1,3644.017392,64.001,442424958.mp3
mp3,44100,1,3362.025556,64.001,442425250.mp3
mp3,16000,1,3756.06,24.0,442425254.mp3
mp3,16000,1,4358.16,24.0,442425362.mp3
mp3,44100,1,3560.007596,64.001,442426079.mp3
mp3,16000,1,3389.472,24.001,442426734.mp3
mp3,16000,1,2727.936,24.001,442426759.mp3
mp3,16000,1,3872.772,24.0,442428414.mp3
mp3,11025,1,3362.011429,16.001,442428582.mp3
mp3,44100,1,2882.025556,64.001,442428701.mp3
mp3,44100,1,3150.01576,64.001,442428924.mp3
mp3,44100,1,4718.01576,64.0,442429614.mp3
mp3,44100,1,2295.994535,64.001,442429618.mp3
mp3,16000,1,4175.892,24.0,442429851.mp3
mp3,16000,1,3389.472,24.001,442433195.mp3
mp3,44100,1,3898.032086,64.001,442434693.mp3
mp3,44100,1,2322.012494,64.001,442436357.mp3
mp3,44100,1,3587.018209,64.001,442438190.mp3
mp3,44100,1,3747.018209,64.001,442438255.mp3
mp3,44100,1,4564.023923,64.0,442439317.mp3
mp3,44100,1,1566.028821,64.002,442453227.mp3
mp3,16000,1,3692.556,24.0,442454175.mp3
mp3,44100,1,3518.028821,64.001,442454180.mp3
mp3,16000,1,3450.888,24.001,442454997.mp3
mp3,44100,1,3660.030454,64.001,442455010.mp3
mp3,44100,1,3915.0378,64.001,442455187.mp3
mp3,44100,1,3721.992902,64.001,442455618.mp3
mp3,16000,1,3813.408,24.0,442493488.mp3
mp3,16000,1,3088.404,24.001,442494446.mp3
mp3,44100,1,3861.016576,64.001,442497368.mp3
mp3,16000,1,3510.288,24.001,442499140.mp3
mp3,44100,1,3540.023923,64.001,442499460.mp3
mp3,44100,1,3443.005147,64.001,442500245.mp3
mp3,16000,1,2664.468,24.001,442502254.mp3
mp3,44100,1,3401.175556,64.001,442567155.mp3
mp3,16000,1,3633.156,24.0,442574566.mp3
mp3,44100,1,4344.020658,64.0,442608025.mp3
mp3,44100,1,4112.993719,64.001,442608842.mp3
mp3,16000,1,3934.224,24.0,442651946.mp3
mp3,16000,1,3756.06,24.0,442654416.mp3
mp3,16000,1,3510.288,24.001,442654439.mp3
mp3,44100,1,3767.001882,64.001,442654600.mp3
mp3,16000,1,3995.676,24.0,442654623.mp3
mp3,44100,1,3908.010862,64.001,442654925.mp3
mp3,44100,1,3865.013311,64.001,442655128.mp3
mp3,44100,1,3525.003515,64.001,442656193.mp3
mp3,16000,1,3872.772,24.0,442656508.mp3
mp3,44100,1,3578.005964,64.001,442656682.mp3
mp3,44100,1,3392.014127,64.001,442656752.mp3
mp3,44100,1,3856.993719,64.001,442656851.mp3
mp3,44100,1,4267.011678,64.0,442657197.mp3
mp3,44100,1,2544.027188,64.001,442657466.mp3
mp3,16000,1,3086.352,24.001,442657853.mp3
mp3,44100,1,3290.005964,64.001,442658026.mp3
mp3,16000,1,3448.836,24.001,442658327.mp3
mp3,16000,1,3811.356,24.0,442658892.mp3
mp3,44100,1,3511.028005,64.001,442659068.mp3
mp3,22050,1,3540.741224,32.0,442659690.mp3
mp3,16000,1,4235.292,24.0,442659699.mp3
mp3,44100,1,2738.012494,64.001,442663562.mp3
mp3,44100,1,3492.010862,64.001,442664548.mp3
mp3,16000,1,3872.772,24.0,442664800.mp3
mp3,16000,1,3872.772,24.0,442665204.mp3
mp3,44100,1,3735.994535,64.001,442665280.mp3
mp3,16000,1,4057.092,24.0,442665288.mp3
mp3,44100,1,3994.998617,64.001,442665621.mp3
mp3,16000,1,4841.496,24.0,442666405.mp3
mp3,16000,1,3029.004,24.001,442668774.mp3
mp3,44100,1,4710.02229,64.0,442670214.mp3
mp3,44100,1,3703.001882,64.001,442677423.mp3
mp3,44100,1,5137.019841,64.0,442681663.mp3
mp3,16000,1,3147.804,24.001,442693967.mp3
mp3,44100,1,3642.005964,64.001,442696066.mp3
mp3,16000,1,2787.336,24.001,442701632.mp3
mp3,44100,1,3608.020658,64.001,442704217.mp3
mp3,44100,1,4025.013311,64.001,442705806.mp3
mp3,16000,1,3934.224,24.0,442708634.mp3
mp3,16000,1,3874.824,24.0,442915423.mp3
mp3,44100,1,3599.034535,64.001,442917062.mp3
mp3,44100,1,3731.03127,64.001,442917449.mp3
mp3,16000,1,4417.56,24.0,442917978.mp3
mp3,44100,1,4137.026372,64.001,442918559.mp3
mp3,16000,1,3211.272,24.001,442918811.mp3
mp3,44100,1,3323.024739,64.001,442919233.mp3
mp3,44100,1,3678.028821,64.001,442919557.mp3
mp3,16000,1,3573.792,24.0,442919591.mp3
mp3,16000,1,2060.316,24.001,442919668.mp3
mp3,16000,1,3692.556,24.0,442919687.mp3
mp3,16000,1,3692.556,24.0,442919753.mp3
mp3,44100,1,3691.011678,64.001,442919761.mp3
mp3,16000,1,3694.608,24.0,442919806.mp3
mp3,44100,1,3706.005964,64.001,442920086.mp3
mp3,44100,1,3169.00678,64.001,442921197.mp3
mp3,16000,1,2119.68,24.001,442921833.mp3
mp3,16000,1,4057.092,24.0,442922200.mp3
mp3,16000,1,4177.944,24.0,442922567.mp3
mp3,16000,1,2361.348,24.001,442927650.mp3
mp3,16000,1,4298.76,24.0,442928239.mp3
mp3,16000,1,4362.264,24.0,442928262.mp3
mp3,44100,1,3858.012494,64.001,442928406.mp3
mp3,44100,1,3322.998617,64.001,442929366.mp3
mp3,44100,1,2849.00678,64.001,442930819.mp3
mp3,16000,1,3270.672,24.001,442931393.mp3
mp3,44100,1,2050.730862,64.002,442931445.mp3
mp3,16000,1,3510.288,24.001,442931690.mp3
mp3,44100,1,4076.030454,64.001,442932100.mp3
mp3,11025,1,3639.222857,16.001,442933004.mp3
mp3,44100,1,4814.01576,64.0,442933194.mp3
mp3,16000,1,3813.408,24.0,442935165.mp3
mp3,16000,1,3815.424,24.0,442935453.mp3
mp3,44100,1,3938.275556,64.001,442938114.mp3
mp3,44100,1,3348.023923,64.001,442956987.mp3
mp3,44100,1,3295.021474,64.001,442961795.mp3
mp3,16000,1,3754.008,24.0,442962768.mp3
mp3,44100,1,3514.998617,64.001,442963610.mp3
mp3,44100,1,2584.020658,64.001,442966069.mp3
mp3,44100,1,2956.004331,64.001,442967820.mp3
mp3,16000,1,3635.208,24.0,442970974.mp3
mp3,11025,1,4098.403265,16.0,442973020.mp3
mp3,44100,1,3237.996168,64.001,442976392.mp3
mp3,44100,1,3530.019025,64.001,442977512.mp3
mp3,16000,1,3872.772,24.0,442978823.mp3
mp3,16000,1,3692.556,24.0,442978858.mp3
mp3,16000,1,4116.492,24.0,442980128.mp3
mp3,44100,1,4614.988821,64.0,442982074.mp3
mp3,16000,1,2060.316,24.001,443164704.mp3
mp3,11025,1,2122.396735,16.001,443165346.mp3
mp3,44100,1,3909.003515,64.001,443166939.mp3
mp3,44100,1,3710.028821,64.001,443167147.mp3
mp3,16000,1,2967.552,24.001,443168064.mp3
mp3,44100,1,2959.008413,64.001,443168134.mp3
mp3,44100,1,3266.025556,64.001,443168306.mp3
mp3,16000,1,3209.22,24.001,443168327.mp3
mp3,16000,1,3209.22,24.001,443168345.mp3
mp3,44100,1,3408.001066,64.001,443168462.mp3
mp3,44100,1,3486.995351,64.001,443168764.mp3
mp3,16000,1,3934.224,24.0,443169231.mp3
mp3,16000,1,3995.676,24.0,443169238.mp3
mp3,44100,1,3429.029637,64.001,443169283.mp3
mp3,16000,1,4237.344,24.0,443169695.mp3
mp3,16000,1,2725.92,24.001,443170609.mp3
mp3,16000,1,4780.044,24.0,443170994.mp3
