metric,value
n_calls,514
F0semitoneFrom27.5Hz_sma3nz_amean__mean,29.142009942911944
F0semitoneFrom27.5Hz_sma3nz_amean__std,2.3047467460679103
F0semitoneFrom27.5Hz_sma3nz_stddevNorm__mean,0.23606047631469682
F0semitoneFrom27.5Hz_sma3nz_stddevNorm__std,0.04487406788865625
F0semitoneFrom27.5Hz_sma3nz_percentile20.0__mean,24.114591657883462
F0semitoneFrom27.5Hz_sma3nz_percentile20.0__std,1.9396519279125126
F0semitoneFrom27.5Hz_sma3nz_percentile50.0__mean,27.694520642321397
F0semitoneFrom27.5Hz_sma3nz_percentile50.0__std,2.5202295122757152
F0semitoneFrom27.5Hz_sma3nz_percentile80.0__mean,33.02462948528245
F0semitoneFrom27.5Hz_sma3nz_percentile80.0__std,3.507578049970061
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2__mean,8.910037827398991
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2__std,3.0118682877210583
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope__mean,364.54484368112765
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope__std,91.63942147638872
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope__mean,639.5722128426519
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope__std,115.41678809134895
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope__mean,147.0288684785598
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope__std,43.380388579939485
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope__mean,271.100452200448
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope__std,55.14134988057324
loudness_sma3_amean__mean,0.48307908323488347
loudness_sma3_amean__std,0.14066771289769928
loudness_sma3_stddevNorm__mean,0.8739809236173963
loudness_sma3_stddevNorm__std,0.08199456037044671
loudness_sma3_percentile20.0__mean,0.09736872843651515
loudness_sma3_percentile20.0__std,0.04366359010322364
loudness_sma3_percentile50.0__mean,0.37852870181550774
loudness_sma3_percentile50.0__std,0.12098867699067788
loudness_sma3_percentile80.0__mean,0.8283171022332596
loudness_sma3_percentile80.0__std,0.24997164971436817
loudness_sma3_pctlrange0-2__mean,0.7309483734434217
loudness_sma3_pctlrange0-2__std,0.2229958277648392
loudness_sma3_meanRisingSlope__mean,9.05056873740853
loudness_sma3_meanRisingSlope__std,2.5614024140885148
loudness_sma3_stddevRisingSlope__mean,5.380045257653707
loudness_sma3_stddevRisingSlope__std,1.4446469870747052
loudness_sma3_meanFallingSlope__mean,6.598336519898144
loudness_sma3_meanFallingSlope__std,1.902047999759203
loudness_sma3_stddevFallingSlope__mean,4.334736672124974
loudness_sma3_stddevFallingSlope__std,1.1737085858847256
spectralFlux_sma3_amean__mean,0.23408925985547818
spectralFlux_sma3_amean__std,0.10615646836321752
spectralFlux_sma3_stddevNorm__mean,1.0843949073251584
spectralFlux_sma3_stddevNorm__std,0.12456384648348762
mfcc1_sma3_amean__mean,33.62718587162894
mfcc1_sma3_amean__std,4.3373075633805085
mfcc1_sma3_stddevNorm__mean,0.4736011615639067
mfcc1_sma3_stddevNorm__std,0.16387730477715323
mfcc2_sma3_amean__mean,-19.465858295240988
mfcc2_sma3_amean__std,8.179147717289748
mfcc2_sma3_stddevNorm__mean,-0.8776255136334015
mfcc2_sma3_stddevNorm__std,3.7951517081684822
mfcc3_sma3_amean__mean,19.35080419556176
mfcc3_sma3_amean__std,5.134477388537807
mfcc3_sma3_stddevNorm__mean,1.2210812782035263
mfcc3_sma3_stddevNorm__std,0.8681009752424359
mfcc4_sma3_amean__mean,-5.3098562673832275
mfcc4_sma3_amean__std,5.02691236232857
mfcc4_sma3_stddevNorm__mean,-1.0934298397965931
mfcc4_sma3_stddevNorm__std,117.26500340005681
jitterLocal_sma3nz_amean__mean,0.03123346769073362
jitterLocal_sma3nz_amean__std,0.007797112038047434
jitterLocal_sma3nz_stddevNorm__mean,1.75694403249466
jitterLocal_sma3nz_stddevNorm__std,0.13750044716506699
shimmerLocaldB_sma3nz_amean__mean,1.4902393910671488
shimmerLocaldB_sma3nz_amean__std,0.16215237868057156
shimmerLocaldB_sma3nz_stddevNorm__mean,0.7098835353025666
shimmerLocaldB_sma3nz_stddevNorm__std,0.062486642795381686
HNRdBACF_sma3nz_amean__mean,4.286901632983397
HNRdBACF_sma3nz_amean__std,1.0553295684707649
HNRdBACF_sma3nz_stddevNorm__mean,0.8758933069293137
HNRdBACF_sma3nz_stddevNorm__std,0.5678457391822558
logRelF0-H1-H2_sma3nz_amean__mean,2.5304857098319884
logRelF0-H1-H2_sma3nz_amean__std,2.088563774050024
logRelF0-H1-H2_sma3nz_stddevNorm__mean,-8.734668966397237
logRelF0-H1-H2_sma3nz_stddevNorm__std,140.73393548984808
logRelF0-H1-A3_sma3nz_amean__mean,20.124591011017678
logRelF0-H1-A3_sma3nz_amean__std,4.520910554781268
logRelF0-H1-A3_sma3nz_stddevNorm__mean,0.7382268955503456
logRelF0-H1-A3_sma3nz_stddevNorm__std,0.32646143597796085
F1frequency_sma3nz_amean__mean,727.7532816489846
F1frequency_sma3nz_amean__std,76.79978642514477
F1frequency_sma3nz_stddevNorm__mean,0.36898326940457643
F1frequency_sma3nz_stddevNorm__std,0.03439325915763514
F1bandwidth_sma3nz_amean__mean,1255.960728151789
F1bandwidth_sma3nz_amean__std,73.6489628256405
F1bandwidth_sma3nz_stddevNorm__mean,0.2330190366286248
F1bandwidth_sma3nz_stddevNorm__std,0.03623105694628638
F1amplitudeLogRelF0_sma3nz_amean__mean,-103.86246794763706
F1amplitudeLogRelF0_sma3nz_amean__std,10.450933562442946
F1amplitudeLogRelF0_sma3nz_stddevNorm__mean,-0.9377839522371032
F1amplitudeLogRelF0_sma3nz_stddevNorm__std,0.10117322960549958
F2frequency_sma3nz_amean__mean,1764.219752449006
F2frequency_sma3nz_amean__std,64.4133275226786
F2frequency_sma3nz_stddevNorm__mean,0.15815671595675937
F2frequency_sma3nz_stddevNorm__std,0.0104299628949149
F2bandwidth_sma3nz_amean__mean,1016.3599598212928
F2bandwidth_sma3nz_amean__std,37.98355935467499
F2bandwidth_sma3nz_stddevNorm__mean,0.33216742492835344
F2bandwidth_sma3nz_stddevNorm__std,0.021049036933450203
F2amplitudeLogRelF0_sma3nz_amean__mean,-103.45119240311797
F2amplitudeLogRelF0_sma3nz_amean__std,9.96177486339287
F2amplitudeLogRelF0_sma3nz_stddevNorm__mean,-0.8954575664802285
