call_id,ticker,call_date,tier,anchor_et,session_rule,source_ref
436857631,FCX,2025-07-23,edgar_8k,2025-07-23T08:09,before_open,0000831259-25-000028
437094698,KDP,2025-07-24,edgar_8k,2025-07-24T07:01,before_open,0001418135-25-000102
437328595,EA,2025-07-29,edgar_8k,2025-07-29T16:07,after_close,0000712515-25-000027
437438945,AWK,2025-07-31,edgar_8k,2025-07-30T16:33,before_open,0001410636-25-000151
437763254,KVUE,2025-08-07,edgar_8k,2025-08-07T06:47,before_open,0001944048-25-000174
441514131,STZ,2025-10-07,edgar_8k,2025-10-06T16:08,before_open,0000016918-25-000140
441515294,MKC,2025-10-07,edgar_8k,2025-10-07T07:28,before_open,0000063754-25-000063
441660275,PEP,2025-10-09,edgar_8k,2025-10-08T19:16,before_open,0000077476-25-000055
441674347,DAL,2025-10-09,edgar_8k,2025-10-09T06:30,before_open,0000027904-25-000018
441832346,FAST,2025-10-13,edgar_8k,2025-10-14T09:20,after_call_date,0000815556-25-000116
441902014,BLK,2025-10-14,edgar_8k,2025-10-14T06:38,before_open,0001193125-25-237960
441905261,DPZ,2025-10-14,edgar_8k,2025-10-14T06:05,before_open,0001193125-25-237850
441905781,JPM,2025-10-14,edgar_8k,2025-10-14T06:30,before_open,0001628280-25-044845
441906992,JNJ,2025-10-14,edgar_8k,2025-10-14T07:22,before_open,0000200406-25-000201
441909927,GS,2025-10-14,edgar_8k,2025-10-14T07:37,before_open,0001193125-25-238058
441913997,WFC,2025-10-14,edgar_8k,2025-10-14T06:28,before_open,0000072971-25-000239
441917254,C,2025-10-14,edgar_8k,2025-10-14T10:08,intraday,0001104659-25-099097
441978375,SYF,2025-10-15,edgar_8k,2025-10-15T06:00,before_open,0001601712-25-000256
441980949,BAC,2025-10-15,edgar_8k,2025-10-15T06:50,before_open,0000070858-25-000390
441982971,ABT,2025-10-15,edgar_8k,2025-10-15T07:33,before_open,0001628280-25-045049
441983377,CFG,2025-10-15,edgar_8k,2025-10-15T06:32,before_open,0000759944-25-000139
