call_id,ticker,date,dec,edgar,accept_et,accept_day,hour
2364610,DUK,2021-08-05,BeforeMarket,ok,2021-08-05T06:44-04:00,2021-08-05,6.733333333333333
1773310,PPG,2019-07-18,BeforeMarket,ok,2019-07-18T10:02-04:00,2019-07-18,10.033333333333333
1643361,MDLZ,2019-01-30,AfterMarket,ok,2019-01-30T16:16-05:00,2019-01-30,16.266666666666666
2349538,CCI,2021-07-22,AfterMarket,ok,2021-07-21T16:17-04:00,2021-07-21,16.283333333333335
1915558,AEP,2020-02-20,BeforeMarket,ok,2020-02-20T07:06-05:00,2020-02-20,7.1
1961719,SPGI,2020-04-28,BeforeMarket,ok,2020-04-28T07:28-04:00,2020-04-28,7.466666666666667
1836859,LLY,2019-10-23,BeforeMarket,ok,2019-10-23T07:28-04:00,2019-10-23,7.466666666666667
2253708,JNJ,2021-04-20,BeforeMarket,ok,2021-04-20T08:02-04:00,2021-04-20,8.033333333333333
1772990,PM,2019-07-18,BeforeMarket,ok,2019-07-18T09:02-04:00,2019-07-18,9.033333333333333
1963825,GE,2020-04-29,BeforeMarket,no_8k_202,,,
2047752,SPGI,2020-07-28,BeforeMarket,ok,2020-07-28T07:14-04:00,2020-07-28,7.233333333333333
2045596,VZ,2020-07-24,BeforeMarket,ok,2020-07-24T07:44-04:00,2020-07-24,7.733333333333333
1833773,PM,2019-10-17,BeforeMarket,ok,2019-10-17T09:03-04:00,2019-10-17,9.05
2191997,PM,2021-02-04,BeforeMarket,ok,2021-02-04T10:32-05:00,2021-02-04,10.533333333333333
2185751,CAT,2021-01-29,BeforeMarket,ok,2021-01-29T06:30-05:00,2021-01-29,6.5
1773103,CCI,2019-07-18,AfterMarket,ok,2019-07-17T16:21-04:00,2019-07-17,16.35
1661512,SO,2019-02-20,BeforeMarket,ok,2019-02-20T07:06-05:00,2019-02-20,7.1
2280946,EA,2021-05-11,AfterMarket,ok,2021-05-11T16:02-04:00,2021-05-11,16.033333333333335
1792562,DUK,2019-08-06,BeforeMarket,ok,2019-08-06T06:45-04:00,2019-08-06,6.75
1842189,T,2019-10-28,BeforeMarket,ok,2019-10-28T06:46-04:00,2019-10-28,6.766666666666667
2184135,MA,2021-01-28,BeforeMarket,ok,2021-01-28T08:02-05:00,2021-01-28,8.033333333333333
1776562,V,2019-07-23,AfterMarket,ok,2019-07-23T16:02-04:00,2019-07-23,16.033333333333335
1966599,MO,2020-04-30,BeforeMarket,ok,2020-04-30T07:09-04:00,2020-04-30,7.15
2049258,GE,2020-07-29,BeforeMarket,ok,2020-07-29T06:23-04:00,2020-07-29,6.383333333333334
1784219,MDLZ,2019-07-30,AfterMarket,ok,2019-07-30T16:11-04:00,2019-07-30,16.183333333333334
1971027,DHR,2020-05-07,AfterMarket,ok,2020-05-06T16:30-04:00,2020-05-06,16.5
2044071,UNP,2020-07-23,BeforeMarket,ok,2020-07-23T08:05-04:00,2020-07-23,8.083333333333334
2407996,VZ,2021-10-20,BeforeMarket,ok,2021-10-20T07:32-04:00,2021-10-20,7.533333333333333
1638814,PG,2019-01-23,BeforeMarket,ok,2019-01-23T07:07-05:00,2019-01-23,7.116666666666666
1637034,AXP,2019-01-17,AfterMarket,ok,2019-01-17T16:07-05:00,2019-01-17,16.116666666666667
2191879,APD,2021-02-04,BeforeMarket,ok,2021-02-04T08:03-05:00,2021-02-04,8.05
2344877,BLK,2021-07-14,BeforeMarket,no_8k_202,,,
1649570,MPC,2019-02-07,BeforeMarket,ok,2019-02-07T06:33-05:00,2019-02-07,6.55
2002421,CRM,2020-05-28,AfterMarket,ok,2020-05-28T16:13-04:00,2020-05-28,16.216666666666665
1647544,EA,2019-02-05,AfterMarket,ok,2019-02-05T16:08-05:00,2019-02-05,16.133333333333333
2349256,T,2021-07-22,BeforeMarket,ok,2021-07-21T17:01-04:00,2021-07-21,17.016666666666666
1717861,DUK,2019-05-09,BeforeMarket,ok,2019-05-09T06:45-04:00,2019-05-09,6.75
1641285,CAT,2019-01-28,BeforeMarket,ok,2019-01-28T07:38-05:00,2019-01-28,7.633333333333333
1887685,EQIX,2020-02-12,AfterMarket,ok,2020-02-12T16:05-05:00,2020-02-12,16.083333333333332
1846824,AMT,2019-10-31,BeforeMarket,ok,2019-10-31T07:07-04:00,2019-10-31,7.116666666666666
1836986,BA,2019-10-23,BeforeMarket,ok,2019-10-23T07:35-04:00,2019-10-23,7.583333333333333
1970516,D,2020-05-05,BeforeMarket,ok,2020-05-05T08:01-04:00,2020-05-05,8.016666666666667
1958825,UNP,2020-04-23,BeforeMarket,ok,2020-04-23T08:04-04:00,2020-04-23,8.066666666666666
1772883,DHR,2019-07-18,BeforeMarket,ok,2019-07-17T19:16-04:00,2019-07-17,19.266666666666666
1899237,COP,2020-02-04,BeforeMarket,ok,2020-02-04T08:07-05:00,2020-02-04,8.116666666666667
1954397,JPM,2020-04-14,BeforeMarket,ok,2020-04-14T06:43-04:00,2020-04-14,6.716666666666667
1895844,MDLZ,2020-01-29,AfterMarket,ok,2020-01-29T16:13-05:00,2020-01-29,16.216666666666665
2253665,PG,2021-04-20,BeforeMarket,ok,2021-04-20T07:05-04:00,2021-04-20,7.083333333333333
2067188,DUK,2020-08-10,BeforeMarket,ok,2020-08-10T06:45-04:00,2020-08-10,6.75
1967718,MPC,2020-05-05,BeforeMarket,ok,2020-05-05T06:44-04:00,2020-05-05,6.733333333333333
