call_id,decode_ok,codec,sample_rate,channels,bit_rate,duration_sec,peak_dbfs,rms_dbfs,clip_ratio,silence_ratio,reason
1630481,True,mp3,22050,1,40000,3797.0546,1.044148,-22.137241,1.1943855851228096e-08,0.11568924133985327,
1630525,True,mp3,22050,1,40000,3320.0848,-0.466705,-24.1624,0.0,0.16632267705933293,
1630529,True,mp3,16000,2,40000,3961.08,-15.512942,-34.949188,0.0,0.3276398600886627,
1630549,True,mp3,16000,2,40000,3427.452,-1.025968,-25.858978,0.0,0.1772250838232016,
1631082,True,mp3,22050,1,40000,3466.0572,-0.431988,-23.285102,0.0,0.15469723754126158,
1631270,True,mp3,16000,2,40000,3976.092,-0.886208,-20.874916,0.0,0.1446181597407706,
1631282,True,mp3,22050,1,40000,3950.7852,-0.677833,-27.003725,0.0,0.20122454594595526,
1631283,True,mp3,16000,2,40000,4051.8,-2.599529,-30.117355,0.0,0.2429448373562367,
1631337,True,mp3,22050,1,40000,4123.5592,-0.893949,-25.431183,0.0,0.07775399004820883,
1631407,True,mp3,22050,1,40000,3681.071,-1.373127,-24.302997,0.0,0.13766428873553377,
1631420,True,mp3,8000,1,40000,4329.72,4.411231,-12.50708,2.8870227174043588e-08,0.047826071893794515,
1631581,True,mp3,16000,2,40000,5704.596,-8.584909,-27.007807,0.0,0.16554589597580618,
1631662,True,mp3,22050,1,40000,3651.0564,-6.047796,-23.671852,0.0,0.12013090868714052,
1631991,True,mp3,16000,2,40000,3797.1,-4.590477,-31.322736,0.0,0.14652319190961524,
1632021,True,mp3,16000,2,40000,3691.692,-6.511017,-32.776029,0.0,0.23200102012843976,
1632026,True,mp3,16000,2,40000,3484.476,-2.02184,-25.720642,0.0,0.15205352110331655,
1632109,True,mp3,8000,1,40000,3785.256,5.115769,-11.100353,3.3022865560479925e-08,0.06743807420158637,
1632118,True,mp3,22050,2,40000,3573.0546,-4.945309,-33.408647,0.0,0.26278052286130754,
1632164,True,mp3,22050,1,40000,4006.0604,0.444452,-30.242365,1.1320716440143659e-08,0.24104627753490687,
1632226,True,mp3,44100,1,40000,3610.044,-1.666056,-26.952446,0.0,0.14574992936374184,
1632278,True,mp3,22050,2,40000,5006.106,-4.933546,-36.002373,0.0,0.42534412495460544,
1632284,True,mp3,22050,1,40000,4639.0596,-0.667907,-25.909469,0.0,0.13305355464715307,
1632307,True,mp3,44100,1,40000,3851.0498,-0.697529,-24.476072,0.0,0.17302876114455856,
1632352,True,mp3,16000,2,40000,4844.88,-0.205174,-20.716105,0.0,0.13475492313535115,
1632637,True,mp3,22050,1,40000,3599.0204,-0.615576,-21.809877,0.0,0.11250193997233247,
1632647,True,mp3,44100,1,40000,3816.0456,0.05459,-26.392846,5.9422078924690454e-09,0.1051161175851777,
1632899,True,mp3,22050,2,40000,4196.075,-2.037436,-29.375214,0.0,0.17504590957025315,
1633114,True,mp3,16000,2,40000,3544.848,-4.938094,-33.958796,0.0,0.19466673803785098,
1633166,True,mp3,16000,2,40000,4030.992,-3.241727,-22.764645,0.0,0.2054879416778798,
1633290,True,mp3,16000,2,40000,3719.052,1.821981,-18.549659,1.6805357924546364e-08,0.10368674597720064,
1633604,True,mp3,44100,1,40000,3598.0278,0.372256,-24.492874,6.3022684939816865e-09,0.19905298258117962,
1633749,True,mp3,22050,1,40000,3737.9918,-0.633515,-23.345804,0.0,0.15965368490107443,
1634932,True,mp3,16000,2,40000,3497.904,-2.555374,-26.07903,0.0,0.11075211869736848,
1635232,True,mp3,22050,2,40000,3665.5804,-3.636883,-28.635897,0.0,0.18466353677578592,
1635275,True,mp3,22050,1,40000,3008.0522,-1.399692,-27.537271,0.0,0.17945249154918255,
1635298,True,mp3,22050,1,40000,6410.3444,-0.23764,-25.376591,0.0,0.1577201802137183,
1635649,True,mp3,22050,2,40000,4665.0776,-12.014054,-33.337534,0.0,0.11745773875229859,
1635734,True,mp3,44100,2,40000,4747.546,1.050173,-24.791694,4.776306828116536e-09,0.16108268966746186,
1635796,True,mp3,44100,1,40000,4594.5992,-1.010011,-28.212809,0.0,0.16288967163882326,
1636140,True,mp3,22050,1,40000,3622.1126,0.217911,-23.495251,1.2520724302866105e-08,0.09450567798472086,
1636151,True,mp3,22050,1,40000,4389.12,-1.180842,-30.596044,0.0,0.23589238731226306,
1636157,True,mp3,22050,1,40000,3730.0768,0.870789,-25.835683,1.2158321972597282e-08,0.17521824108286457,
1636169,True,mp3,16000,2,40000,3858.012,-4.223052,-29.099796,0.0,0.21185875678976632,
1636229,True,mp3,24000,2,40000,5193.576,-7.60461,-32.827164,0.0,0.21524921171847686,
1636261,True,mp3,22050,1,40000,3956.4538,0.71332,-25.674271,1.1462657047571678e-08,0.13907085178146147,
1636262,True,mp3,16000,2,40000,4016.556,-1.102655,-27.455136,0.0,0.14203747439348538,
1636464,True,mp3,44100,1,40000,4873.0644,-1.319061,-27.344753,0.0,0.1689626872158718,
1636471,True,mp3,22050,1,40000,3623.0792,4.889305,-12.802972,1.2517384143097935e-08,0.08323813898409949,
1636754,True,mp3,24000,2,40000,3909.504,-3.840043,-29.524699,0.0,0.12160882122131095,
1636872,True,mp3,24000,2,40000,3669.048,-0.566919,-22.440926,0.0,0.14613209339316358,
1636896,True,mp3,16000,2,40000,3439.728,1.279198,-18.839093,1.817004135210691e-08,0.10524359716814817,
1636956,True,mp3,22050,2,40000,4138.7886,-2.266923,-30.607885,0.0,0.2492293566286522,
1637034,True,mp3,44100,1,40000,4235.0498,-0.917256,-25.701137,0.0,0.1448908452032843,
1637045,True,mp3,32000,2,40000,3711.06,-13.632812,-28.230416,0.0,0.15053177016809213,
1637246,True,mp3,22050,1,40000,3608.0588,-0.185244,-30.299236,0.0,0.18595328823355095,
1637296,True,mp3,22050,1,40000,4566.0212,-3.700099,-33.685043,0.0,0.1542356673683425,
1637341,True,mp3,16000,2,40000,6398.1,-3.426078,-30.906103,0.0,0.13747444647629764,
1638098,True,mp3,16000,2,40000,3627.684,-0.426216,-21.164031,0.0,0.10017227189578805,
1638175,True,mp3,44100,2,40000,3761.058,-0.805921,-22.428311,0.0,0.14088064209592088,
1638565,True,mp3,44100,1,40000,3785.7176,1.152484,-22.436071,5.98981214415724e-09,0.2148927207354294,
1638582,True,mp3,44100,1,40000,4939.0498,-2.713143,-24.863031,0.0,0.17157122023754448,
1638814,True,mp3,22050,1,40000,4053.107,0.700259,-24.269923,1.1189310967601484e-08,0.2234033609278018,
1638815,True,mp3,22050,1,40000,4190.1192,0.262341,-25.281968,1.0823432922770217e-08,0.12180931535312886,
1638952,True,mp3,22050,1,40000,4931.0564,0.331864,-22.340128,9.197111312417483e-09,0.12856742137445434,
1639235,True,mp3,44100,1,40000,3235.0564,3.430137,-19.064704,7.00937933460018e-09,0.15000018670462748,
1639246,True,mp3,22050,1,40000,3275.0758,-0.858799,-29.222798,0.0,0.13667223549451893,
1639601,True,mp3,22050,1,40000,3435.0758,-3.192164,-25.672751,0.0,0.13498765907873125,
1639608,True,mp3,22050,1,40000,4654.0538,0.123242,-27.487948,9.744509865185875e-09,0.2147384611239346,
1639762,True,mp3,22050,1,40000,5329.058,-0.124394,-27.643494,0.0,0.15887193946847641,
1639809,True,mp3,22050,2,40000,3712.0522,-0.449519,-28.820136,0.0,0.18108430910535148,
1639823,True,mp3,22050,1,40000,5422.8376,-0.747577,-26.441256,0.0,0.19579874658241656,
1639857,True,mp3,22050,1,40000,3612.0554,-7.685452,-29.127877,0.0,0.12648601679808122,
1639872,True,mp3,22050,2,40000,3936.0522,-1.74878,-27.898242,0.0,0.21178803472169397,
1639998,True,mp3,16000,2,40000,4710.78,-2.154817,-30.864854,0.0,0.2856092511218949,
1640196,True,mp3,44100,1,40000,3678.0408,1.225915,-26.524465,6.165167297979798e-09,0.20596096922035229,
1640216,True,mp3,22050,1,40000,3479.066,-0.071472,-21.74595,1.3035530894416788e-08,0.12542077643827396,
1640248,True,mp3,44100,1,40000,3378.0506,2.900435,-13.922413,6.7126693955547305e-09,0.15484422139798615,
1640723,True,mp3,44100,2,40000,3164.9958,0.346303,-18.911547,7.164539085139944e-09,0.08053447337907998,
1641285,True,mp3,16000,2,40000,3562.092,-1.040467,-25.083738,0.0,0.19913632466539324,
1641674,True,mp3,22050,1,40000,3040.7836,1.173142,-18.971553,1.491440325682841e-08,0.10150643373635665,
1641690,True,mp3,22050,1,40000,2979.0564,0.949371,-19.429332,1.522343619991855e-08,0.12329728668446828,
1641787,True,mp3,22050,1,40000,4049.1624,0.089933,-26.020724,1.1200211029896141e-08,0.17067838301570715,
1641795,True,mp3,16000,2,40000,3883.716,-3.962644,-32.478394,0.0,0.24949671860661285,
1641799,True,mp3,16000,2,40000,4143.096,-1.484363,-27.527814,0.0,0.17976642539781848,
1641854,True,mp3,16000,2,40000,2235.096,-2.123852,-26.497265,0.0,0.15345597951944795,
1641855,True,mp3,16000,2,40000,3403.944,-3.844186,-30.794605,0.0,0.18390065817769033,
1641867,True,mp3,16000,2,40000,3554.964,3.474873,-13.518535,1.7581050047201602e-08,0.03936015835884695,
1641895,True,mp3,22050,1,40000,3470.2106,-0.581487,-24.74168,0.0,0.20304443136678796,
1641936,True,mp3,22050,1,40000,3620.075,-3.3184,-28.084318,0.0,0.17028752553469198,
1641983,True,mp3,16000,2,40000,3791.736,-4.20106,-29.126702,0.0,0.14167530255270935,
