call_id,ticker,date,beforeAfterMarket,id
1633114,AMT,2019-02-27,BeforeMarket,AMT_2018_Q4_20190227
1635734,JPM,2019-01-15,BeforeMarket,JPM_2018_Q4_20190115
1636151,BAC,2019-01-16,BeforeMarket,BAC_2018_Q4_20190116
1636157,BLK,2019-01-16,BeforeMarket,BLK_2018_Q4_20190116
1636229,GS,2019-01-16,BeforeMarket,GS_2018_Q4_20190116
1636956,PPG,2019-01-17,BeforeMarket,PPG_2018_Q4_20190117
1637034,AXP,2019-01-17,AfterMarket,AXP_2018_Q4_20190117
1638814,PG,2019-01-23,BeforeMarket,PG_2019_Q2_20190123
1638815,CMCSA,2019-01-23,BeforeMarket,CMCSA_2018_Q4_20190123
1639762,UNP,2019-01-24,BeforeMarket,UNP_2018_Q4_20190124
1639823,FCX,2019-01-24,BeforeMarket,FCX_2018_Q4_20190124
1639857,AEP,2019-01-24,BeforeMarket,AEP_2018_Q4_20190124
1641285,CAT,2019-01-28,BeforeMarket,CAT_2018_Q4_20190128
1642318,AMD,2019-01-29,AfterMarket,AMD_2018_Q4_20190129
1642770,ADP,2019-01-30,BeforeMarket,ADP_2019_Q2_20190130
1643361,MDLZ,2019-01-30,AfterMarket,MDLZ_2018_Q4_20190130
1643891,GE,2019-01-31,BeforeMarket,GE_2018_Q4_20190131
1643994,MA,2019-01-31,BeforeMarket,MA_2018_Q4_20190131
1644011,MO,2019-01-31,BeforeMarket,MO_2018_Q4_20190131
1645214,HON,2019-02-01,BeforeMarket,HON_2018_Q4_20190201
1645375,XOM,2019-02-01,BeforeMarket,XOM_2018_Q4_20190201
1647544,EA,2019-02-05,AfterMarket,EA_2019_Q3_20190205
1649570,MPC,2019-02-07,BeforeMarket,MPC_2018_Q4_20190207
1650103,PM,2019-02-07,BeforeMarket,PM_2018_Q4_20190207
1651565,PSX,2019-02-08,BeforeMarket,PSX_2018_Q4_20190208
1658631,DE,2019-02-15,BeforeMarket,DE_2019_Q1_20190215
1661512,SO,2019-02-20,BeforeMarket,SO_2018_Q4_20190220
1670684,LOW,2019-02-27,BeforeMarket,LOW_2018_Q4_20190227
1698650,BA,2019-04-24,BeforeMarket,BA_2019_Q1_20190424
1699229,GS,2019-04-15,BeforeMarket,GS_2019_Q1_20190415
1699602,BAC,2019-04-16,BeforeMarket,BAC_2019_Q1_20190416
