call_id,ticker,section,guidance_direction,hedging_intensity,qa_evasiveness,analyst_tone,surprise_mentions
1636872,FAST,prepared_remarks,none,2,NA,NA,0
1636872,FAST,qa,maintain,1,1,3,0
1643351,NOW,prepared_remarks,raise,1,NA,NA,0
1643351,NOW,qa,raise,2,1,3,1
1649663,SEE,prepared_remarks,raise,0,NA,NA,1
1649663,SEE,qa,maintain,0,0,3,0
1656562,IRM,prepared_remarks,raise,2,NA,NA,0
1656562,IRM,qa,none,1,0,2,0
1671922,HPQ,prepared_remarks,raise,1,NA,NA,1
1671922,HPQ,qa,maintain,0,0,1,0
1673949,JWN,prepared_remarks,raise,1,NA,NA,1
1673949,JWN,qa,none,2,1,2,1
1690493,GIS,prepared_remarks,maintain,1,NA,NA,0
1690493,GIS,qa,maintain,1,0,2,1
1692833,MKC,prepared_remarks,raise,0,NA,NA,0
1692833,MKC,qa,none,0,0,1,1
1705101,CMS,prepared_remarks,maintain,1,NA,NA,0
1705101,CMS,qa,maintain,1,0,3,0
1705203,ITW,prepared_remarks,raise,1,NA,NA,0
1705203,ITW,qa,none,0,1,2,0
1706273,DFS,prepared_remarks,none,1,NA,NA,0
1706273,DFS,qa,none,1,1,2,1
1767223,CAG,prepared_remarks,raise,1,NA,NA,4
1767223,CAG,qa,raise,1,1,1,1
1775350,EFX,prepared_remarks,none,0,NA,NA,0
1775350,EFX,qa,none,1,2,0,0
1782261,PFE,prepared_remarks,lower,0,NA,NA,0
1782261,PFE,qa,none,1,1,1,0
1783486,DHI,prepared_remarks,raise,0,NA,NA,1
1783486,DHI,qa,raise,1,0,3,1
1783657,COP,prepared_remarks,maintain,0,NA,NA,0
1783657,COP,qa,none,1,0,2,0
1788294,ANET,prepared_remarks,raise,1,NA,NA,0
1788294,ANET,qa,raise,1,1,3,1
1810124,CRM,prepared_remarks,raise,1,NA,NA,1
1810124,CRM,qa,raise,1,1,4,0
1828453,KBH,prepared_remarks,raise,1,NA,NA,0
1828453,KBH,qa,raise,1,1,2,2
1833216,BAC,prepared_remarks,none,0,NA,NA,0
1833216,BAC,qa,none,1,1,2,0
1836986,BA,prepared_remarks,maintain,1,NA,NA,0
1836986,BA,qa,maintain,1,0,2,1
1843267,SPGI,prepared_remarks,raise,0,NA,NA,0
1843267,SPGI,qa,raise,1,1,2,0
1844658,BG,prepared_remarks,lower,0,NA,NA,0
1844658,BG,qa,maintain,1,0,2,1
1854423,CBRE,prepared_remarks,raise,0,NA,NA,0
1854423,CBRE,qa,raise,1,0,1,0
1871280,M,prepared_remarks,lower,1,NA,NA,1
1871280,M,qa,lower,1,0,2,1
1885172,JBL,prepared_remarks,raise,1,NA,NA,1
1885172,JBL,qa,raise,2,0,3,1
1892911,RJF,prepared_remarks,raise,0,NA,NA,0
1892911,RJF,qa,raise,1,1,2,1
1896366,UPS,prepared_remarks,raise,0,NA,NA,0
1896366,UPS,qa,raise,0,0,2,1
1896718,ESS,prepared_remarks,raise,0,NA,NA,1
1896718,ESS,qa,none,0,0,2,1
1915419,NDSN,prepared_remarks,raise,0,NA,NA,0
1915419,NDSN,qa,raise,0,1,2,0
1917241,DE,prepared_remarks,raise,0,NA,NA,0
1917241,DE,qa,raise,0,0,2,1
1944952,PAYX,prepared_remarks,maintain,1,NA,NA,0
1944952,PAYX,qa,maintain,0,0,2,0
1957891,TER,prepared_remarks,raise,0,NA,NA,0
1957891,TER,qa,raise,1,0,2,1
1959104,EIX,qa,none,0,0,2,0
1961791,UPS,prepared_remarks,none,0,NA,NA,0
1961791,UPS,qa,lower,0,0,2,1
1963761,BXP,prepared_remarks,none,0,NA,NA,0
1963761,BXP,qa,maintain,0,0,3,0
1966599,MO,prepared_remarks,none,0,NA,NA,0
1966599,MO,qa,none,1,0,3,0
1967718,MPC,qa,none,0,0,2,0
1970540,BMY,qa,none,1,0,2,0
1977732,TRIP,prepared_remarks,lower,2,NA,NA,0
1977732,TRIP,qa,none,1,0,2,1
2034429,WBA,prepared_remarks,lower,0,NA,NA,0
2034429,WBA,qa,lower,0,0,2,1
2041668,STLD,prepared_remarks,none,0,NA,NA,0
2041668,STLD,qa,raise,2,1,2,0
2043239,ALGN,prepared_remarks,none,1,NA,NA,1
2043239,ALGN,qa,raise,2,1,3,0
2044108,EFX,prepared_remarks,none,0,NA,NA,1
2044108,EFX,qa,none,1,1,2,0
2048019,SHW,prepared_remarks,maintain,0,NA,NA,1
2048019,SHW,qa,raise,3,0,2,0
2051556,URI,prepared_remarks,maintain,1,NA,NA,0
2051556,URI,qa,maintain,2,1,1,0
2058378,HSIC,prepared_remarks,none,0,NA,NA,0
2058378,HSIC,qa,raise,1,0,2,0
2062689,NCLH,prepared_remarks,lower,0,NA,NA,2
2062689,NCLH,qa,none,2,0,3,2
2065040,LNT,prepared_remarks,lower,1,NA,NA,0
2065040,LNT,qa,lower,2,0,2,1
2165804,WBA,prepared_remarks,raise,1,NA,NA,0
2165804,WBA,qa,raise,1,2,1,0
