call_id,ticker,call_date,tier,anchor_et,session_rule,source_ref
1630481,BMY,2019-01-24,edgar_8k,2019-01-24T08:54,before_open,0001140361-19-001470
1630525,F,2019-01-23,edgar_8k,2019-01-23T11:37,intraday,0000037996-19-000008
1631082,DXC,2019-02-07,edgar_8k,2019-02-07T16:24,after_close,0001688568-19-000006
1631282,CAH,2019-02-07,edgar_8k,2019-02-07T06:57,before_open,0000721371-19-000008
1631581,JNJ,2019-01-21,edgar_8k,2019-01-22T08:00,after_call_date,0000200406-19-000004
1631662,MRK,2019-01-31,edgar_8k,2019-02-01T06:52,after_call_date,0001104659-19-004932
1632021,BSX,2019-02-06,edgar_8k,2019-02-06T06:36,before_open,0000885725-19-000009
1632164,EHC,2019-02-07,edgar_8k,2019-02-07T17:02,after_close,0000785161-19-000005
1632284,CVS,2019-02-20,edgar_8k,2019-02-20T07:01,before_open,0000064803-19-000006
1632352,TFX,2019-02-20,edgar_8k,2019-02-21T07:02,after_call_date,0000096943-19-000017
1633114,AMT,2019-02-27,edgar_8k,2019-02-27T07:05,before_open,0001053507-19-000010
1633166,ZTS,2019-02-14,edgar_8k,2019-02-14T07:39,before_open,0001555280-19-000027
1633290,XRAY,2019-03-01,edgar_8k,2019-03-01T06:34,before_open,0000818479-19-000004
1633604,KBH,2019-01-09,edgar_8k,2019-01-09T16:17,after_close,0000795266-19-000002
1634932,GM,2019-02-06,edgar_8k,2019-02-06T09:59,intraday,0001467858-19-000029
1635298,C,2019-01-14,edgar_8k,2019-01-14T08:31,before_open,0001104659-19-001687
1635649,SNV,2018-01-15,assumed_after_hours,,assumed_after_hours,
1635734,JPM,2019-01-15,edgar_8k,2019-01-15T06:46,before_open,0000019617-19-000002
1636140,BNY,2019-01-16,edgar_8k,2019-01-16T06:39,before_open,0001390777-19-000004
1636151,BAC,2019-01-16,edgar_8k,2019-01-16T06:46,before_open,0000070858-19-000003
1636157,BLK,2019-01-16,dec_flag,,before_open,BLK_2018_Q4_20190116
1636169,BWA,2019-02-14,assumed_after_hours,,assumed_after_hours,
1636229,GS,2019-01-16,edgar_8k,2019-01-16T07:41,before_open,0001193125-19-010282
1636261,CMA,2019-01-16,assumed_after_hours,,assumed_after_hours,
1636262,UAL,2019-01-16,edgar_8k,2019-01-15T16:14,before_open,0000100517-19-000006
1636464,CSX,2019-01-17,edgar_8k,2019-01-16T16:02,before_open,0000277948-19-000004
1636471,AA,2019-01-16,edgar_8k,2019-01-16T16:11,after_close,0001157523-19-000079
1636754,KEY,2019-01-17,edgar_8k,2019-01-17T07:00,before_open,0000091576-19-000003
1636872,FAST,2019-01-17,edgar_8k,2019-01-17T07:40,before_open,0000815556-19-000004
1636896,DPZ,2019-02-21,edgar_8k,2019-02-21T07:31,before_open,0001193125-19-046183
1636956,PPG,2019-01-17,edgar_8k,2019-01-17T13:36,intraday,0000079879-19-000004
1637034,AXP,2019-01-17,edgar_8k,2019-01-17T16:07,after_close,0000004962-19-000004
1637246,VFC,2019-01-18,edgar_8k,2019-01-18T06:55,before_open,0001157523-19-000094
1637296,CFG,2019-01-18,edgar_8k,2019-01-18T07:56,before_open,0001193125-19-012083
1637341,STT,2019-01-18,edgar_8k,2019-01-18T10:04,intraday,0000093751-19-000005
1638098,SWK,2019-01-22,edgar_8k,2019-01-22T06:44,before_open,0000093556-19-000002
1638175,TRV,2019-01-22,edgar_8k,2019-01-22T07:01,before_open,0000086312-19-000005
1638565,COF,2019-01-22,edgar_8k,2019-01-22T16:05,after_close,0000927628-19-000016
1638814,PG,2019-01-23,edgar_8k,2019-01-23T07:07,before_open,0000080424-19-000008
1638815,CMCSA,2019-01-23,edgar_8k,2019-01-23T07:05,before_open,0001104659-19-002843
1638952,KMB,2019-01-21,assumed_after_hours,,assumed_after_hours,
1639235,LRCX,2019-01-23,edgar_8k,2019-01-23T16:07,after_close,0000707549-19-000004
1639246,LVS,2019-01-23,edgar_8k,2019-01-23T16:10,after_close,0001300514-19-000003
1639601,TXT,2019-01-24,edgar_8k,2019-01-24T06:34,before_open,0001104659-19-003063
1639608,MKC,2019-01-23,edgar_8k,2019-01-24T08:09,after_call_date,0000063754-19-000013
1639762,UNP,2019-01-24,edgar_8k,2019-01-24T08:06,before_open,0000100885-19-000036
1639809,TER,2019-01-24,edgar_8k,2019-01-24T06:06,before_open,0001193125-19-015261
1639823,FCX,2019-01-24,edgar_8k,2019-01-24T15:12,intraday,0000831259-19-000002
1639857,AEP,2019-01-24,edgar_8k,2019-01-24T07:12,before_open,0000004904-19-000003
1639872,GWW,2019-01-24,edgar_8k,2019-01-24T08:29,before_open,0000277135-19-000004
1640196,NSC,2019-01-24,edgar_8k,2019-01-24T16:08,after_close,0000702165-19-000004
