ticker,reason
AAN,no_price_data
AAWW,no_price_data
AAXN,no_price_data
ABC,no_price_data
ABMD,no_price_data
ACC,no_price_data
ACOR,no_price_data
ACXM,no_price_data
ADS,no_price_data
AEGN,no_price_data
AEL,no_price_data
AGN,no_price_data
AHH,no_price_data
AHL,no_price_data
AKRX,no_price_data
AKS,no_price_data
ALE,no_price_data
ALEX,no_price_data
ALXN,no_price_data
AMED,no_price_data
ANTM,no_price_data
APC,no_price_data
ARRS,no_price_data
ASNA,no_price_data
ATGE,no_price_data
ATVI,no_price_data
AXE,no_price_data
AXL,no_price_data
BCOR,no_price_data
BEL,no_price_data
BGFV,no_price_data
BGG,no_price_data
BID,no_price_data
BIG,no_price_data
BKS,no_price_data
BLL,no_price_data
BOBE,no_price_data
BPFH,no_price_data
BRS,no_price_data
CA,no_price_data
CAMP,no_price_data
CATM,no_price_data
CBB,no_price_data
CBG,no_price_data
CBM,no_price_data
CCMP,no_price_data
CDR,no_price_data
CELG,no_price_data
CHFC,no_price_data
CHK,no_price_data
CHS,no_price_data
CHSP,no_price_data
CHUY,no_price_data
CIR,no_price_data
CLD,no_price_data
CLGX,no_price_data
CLI,no_price_data
CMO,no_price_data
CNSL,no_price_data
COG,no_price_data
CONE,no_price_data
CORE,no_price_data
CPE,no_price_data
CPSI,no_price_data
CRAY,no_price_data
CREE,no_price_data
CRR,no_price_data
CRY,no_price_data
CRZO,no_price_data
CTB,no_price_data
CTL,no_price_data
CTRL,no_price_data
CTXS,no_price_data
CUB,no_price_data
CUTR,no_price_data
CXO,no_price_data
CY,no_price_data
DBD,no_price_data
DF,no_price_data
DISCA,no_price_data
DISH,no_price_data
DNKN,no_price_data
DNR,no_price_data
DO,no_price_data
DPLO,no_price_data
DRE,no_price_data
DSPG,no_price_data
DSW,no_price_data
EBIX,no_price_data
ECHO,no_price_data
ECOL,no_price_data
EDR,no_price_data
EFII,no_price_data
EGOV,no_price_data
ELY,no_price_data
ENDP,no_price_data
ERA,no_price_data
ESL,no_price_data
ESV,no_price_data
ETFC,no_price_data
ETH,no_price_data
EV,no_price_data
EXPR,no_price_data
EXTN,no_price_data
FARO,no_price_data
FB,no_price_data
FBHS,no_price_data
FII,no_price_data
FL,no_price_data
FLIR,no_price_data
FLOW,no_price_data
FMBI,no_price_data
FRAN,no_price_data
FRED,no_price_data
FRGI,no_price_data
FTD,no_price_data
GES,no_price_data
GGP,no_price_data
GHL,no_price_data
