call_id,ticker,call_date,tier,anchor_et,session_rule,source_ref
20150225_LMAT,LMAT,2015-02-25,edgar_8k,2015-02-25T16:14,after_close,0001193125-15-062553
20150226_ACIW,ACIW,2015-02-26,edgar_8k,2015-02-26T06:38,before_open,0001193125-15-063918
20150226_ADSK,ADSK,2015-02-26,edgar_8k,2015-02-26T16:00,after_close,0000769397-15-000004
20150226_AMWD,AMWD,2015-02-26,assumed_after_hours,,assumed_after_hours,
20150226_ANSS,ANSS,2015-02-26,assumed_after_hours,,assumed_after_hours,
20150226_CRI,CRI,2015-02-26,edgar_8k,2015-02-26T06:37,before_open,0001060822-15-000004
20150226_ECPG,ECPG,2015-02-26,edgar_8k,2015-02-26T16:07,after_close,0001084961-15-000009
20150226_GPS,GPS,2015-02-26,assumed_after_hours,,assumed_after_hours,
20150226_IRDM,IRDM,2015-02-26,edgar_8k,2015-02-26T07:00,before_open,0001193125-15-063973
20150226_JCP,JCP,2015-02-26,assumed_after_hours,,assumed_after_hours,
20150226_LYV,LYV,2015-02-26,edgar_8k,2015-02-26T16:12,after_close,0001335258-15-000025
20150226_ORN,ORN,2015-02-26,assumed_after_hours,,assumed_after_hours,
20150227_NWN,NWN,2015-02-27,assumed_after_hours,,assumed_after_hours,
20150227_RDC,RDC,2015-02-27,assumed_after_hours,,assumed_after_hours,
20150227_SJI,SJI,2015-02-27,assumed_after_hours,,assumed_after_hours,
20150302_BID,BID,2015-03-02,assumed_after_hours,,assumed_after_hours,
20150302_MDR,MDR,2015-03-02,assumed_after_hours,,assumed_after_hours,
20150302_TG,TG,2015-03-02,edgar_8k,2015-03-03T11:01,after_call_date,0000850429-15-000018
20150303_AZO,AZO,2015-03-03,edgar_8k,2015-03-03T07:15,before_open,0001171843-15-001197
20150303_NX,NX,2015-03-03,edgar_8k,2015-03-03T07:13,before_open,0001193125-15-074263
20150304_AMED,AMED,2015-03-04,assumed_after_hours,,assumed_after_hours,
20150304_ANF,ANF,2015-03-04,edgar_8k,2015-03-05T17:19,after_call_date,0001018840-15-000013
20150305_ESL,ESL,2015-03-05,assumed_after_hours,,assumed_after_hours,
20150306_FL,FL,2015-03-06,assumed_after_hours,,assumed_after_hours,
20150310_KOPN,KOPN,2015-03-10,edgar_8k,2015-03-10T16:13,after_close,0001157523-15-000889
20150311_RAVN,RAVN,2015-03-11,assumed_after_hours,,assumed_after_hours,
20150312_PLCE,PLCE,2015-03-12,edgar_8k,2015-03-12T07:01,before_open,0001144204-15-015502
20150312_ULTA,ULTA,2015-03-12,edgar_8k,2015-03-12T16:13,after_close,0001193125-15-089243
20150313_BKE,BKE,2015-03-13,edgar_8k,2015-03-13T16:50,after_close,0000885245-15-000002
20150313_RGEN,RGEN,2015-03-13,edgar_8k,2015-03-13T07:21,before_open,0001193125-15-090097
20150317_DSW,DSW,2015-03-17,assumed_after_hours,,assumed_after_hours,
20150317_FDS,FDS,2015-03-17,edgar_8k,2015-03-17T14:35,intraday,0001437749-15-005265
20150324_GIII,GIII,2015-03-24,edgar_8k,2015-03-24T07:30,before_open,0001571049-15-002242
20150325_PAYX,PAYX,2015-03-25,edgar_8k,2015-03-25T16:00,after_close,0000723531-15-000002
20150325_REX,REX,2015-03-25,edgar_8k,2015-03-25T10:05,intraday,0000930413-15-001410
20150326_SCHL,SCHL,2015-03-26,edgar_8k,2015-03-26T07:01,before_open,0001144204-15-018488
20150327_CCL,CCL,2015-03-27,edgar_8k,2015-03-27T09:23,before_open,0001193125-15-108187
20150331_MOV,MOV,2015-03-31,edgar_8k,2015-03-31T08:08,before_open,0000950142-15-000651
20150401_MU,MU,2015-04-01,edgar_8k,2015-04-01T16:00,after_close,0000723125-15-000034
20150402_PERY,PERY,2015-04-02,assumed_after_hours,,assumed_after_hours,
20150414_WFC,WFC,2015-04-14,edgar_8k,2015-04-14T07:59,before_open,0000072971-15-000488
20150415_WSO,WSO,2015-04-15,edgar_8k,2015-04-15T07:32,before_open,0001193125-15-130267
20150420_CBU,CBU,2015-04-20,edgar_8k,2015-04-20T10:11,intraday,0000723188-15-000020
20150420_LII,LII,2015-04-20,edgar_8k,2015-04-20T08:00,before_open,0001193125-15-137041
20150420_LRCX,LRCX,2015-04-20,edgar_8k,2015-04-20T16:02,after_close,0001193125-15-138138
20150420_RMBS,RMBS,2015-04-20,edgar_8k,2015-04-20T16:25,after_close,0000917273-15-000008
