ticker,yahoo_symbol,status,reason,n_rows,first_date,last_date,expected_sessions,completeness,in_fincall,fincall_calls,in_maec,maec_calls
A,A,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,4
AA,AA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,False,0
AAL,AAL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,False,0
AAN,AAN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
AAOI,AAOI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AAON,AAON,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
AAP,AAP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
AAPL,AAPL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
AAWW,AAWW,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
AAXN,AAXN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
ABAX,ABAX,ok,,1057,2014-06-02,2018-08-09,1057,1.0,False,0,True,1
ABBV,ABBV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
ABC,ABC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
ABCB,ABCB,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
ABG,ABG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
ABM,ABM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
ABMD,ABMD,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
ABT,ABT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,4,True,4
ACC,ACC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
ACET,ACET,ok,,1114,2018-01-26,2022-06-29,1114,1.0,False,0,True,1
ACHC,ACHC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
ACIW,ACIW,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
ACLS,ACLS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
ACM,ACM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
ACN,ACN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
ACOR,ACOR,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
ACXM,ACXM,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
ADBE,ADBE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,3
ADC,ADC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
ADI,ADI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
ADM,ADM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,5
ADP,ADP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,5,True,5
ADS,ADS,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
ADSK,ADSK,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,2
AEE,AEE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AEGN,AEGN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
AEIS,AEIS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
AEL,AEL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
AEO,AEO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
AEP,AEP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,1
AES,AES,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,3
AET,AET,ok,,1135,2014-06-02,2018-11-29,1135,1.0,False,0,True,4
AFG,AFG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AFL,AFL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,False,0
AGCO,AGCO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
AGN,AGN,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
AGYS,AGYS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AHH,AHH,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
AHL,AHL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,6
AIG,AIG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,False,0
AIN,AIN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
AIR,AIR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
AIT,AIT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AIV,AIV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AIZ,AIZ,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,False,0
AJG,AJG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
AKAM,AKAM,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,7
AKR,AKR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
AKRX,AKRX,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
