call_id,year,ticker,cik,company,score,runner_up,runner_up_score,date,date_source,call_type,flags
1630481,2019,BMY,14272,Bristol-Myers Squibb,12,,0,2019-01-24,pdf_created,earnings,match:pdf_company;date_from_creation_stamp
1630525,2019,F,37996,Ford Motor Company,9,,0,2019-01-23,pdf_page1,sales,match:pdf_company;match:greeting6
1630529,2019,,,,3,GS,3,2019-01-29,pdf_page1,earnings,unresolved:ambiguous
1630549,2019,,,,3,INCY,3,2019-02-14,pdf_page1,earnings,unresolved:ambiguous
1631082,2019,DXC,1688568,,9,,0,2019-02-07,pdf_page1,earnings,match:greeting6
1631270,2019,,,,1,GILD,1,2019-02-04,pdf_page1,conference,unresolved:weak_evidence
1631282,2019,CAH,721371,,13,MGHL,2,2019-02-07,pdf_created,conference,date_from_creation_stamp
1631283,2019,,,,1,MOH,0,2019-02-11,pdf_page1,earnings,unresolved:weak_evidence
1631337,2019,,,,0,,0,2019-01-31,pdf_page1,earnings,unresolved:no_candidates
1631407,2019,,,,3,RMD,2,2019-01-24,pdf_page1,earnings,unresolved:ambiguous
1631420,2019,,,,3,VRTX,2,2019-02-05,pdf_page1,conference,unresolved:ambiguous
1631581,2019,JNJ,200406,,8,,0,2019-01-21,pdf_created,conference,date_from_creation_stamp
1631662,2019,MRK,310158,,3,,0,2019-01-31,pdf_created,conference,date_from_creation_stamp
1631991,2019,,,,3,ROL,3,2019-01-29,pdf_page1,earnings,unresolved:ambiguous
1632021,2019,BSX,885725,,15,SNTL,2,2019-02-06,pdf_page1,conference,
1632026,2019,,,,3,DHR,3,2019-01-28,pdf_created,conference,unresolved:ambiguous;date_from_creation_stamp
1632109,2019,,,,3,MCK,2,2019-01-31,pdf_page1,conference,unresolved:ambiguous
1632118,2019,,,,3,RAMP,0,2019-02-13,pdf_page1,earnings,unresolved:body_only_tail
1632164,2019,EHC,785161,,7,,0,2019-02-07,pdf_created,earnings,date_from_creation_stamp
1632226,2019,,,,0,,0,2019-02-07,pdf_page1,conference,unresolved:no_candidates
1632278,2019,,,,0,,0,2019-02-13,pdf_page1,unknown,unresolved:no_candidates
1632284,2019,CVS,64803,,8,INTC,2,2019-02-20,pdf_page1,conference,
1632307,2019,,,,3,HOLX,3,2019-01-30,pdf_page1,conference,unresolved:ambiguous
1632352,2019,TFX,96943,,3,,0,2019-02-20,pdf_created,earnings,date_from_creation_stamp
1632637,2019,,,,2,TMO,2,2019-01-30,pdf_page1,conference,unresolved:ambiguous
1632647,2019,,,,3,EQIX,3,2019-02-13,pdf_page1,earnings,unresolved:ambiguous
1632899,2019,,,,3,CCK,1,2019-01-24,pdf_created,unknown,unresolved:body_only_tail;date_from_creation_stamp
1633114,2019,AMT,1053507,American Tower,10,,0,2019-02-27,pdf_page1,earnings,match:pdf_company
1633166,2019,ZTS,1555280,,3,,0,2019-02-14,pdf_page1,conference,
1633290,2019,XRAY,818479,,17,,0,2019-03-01,pdf_page1,conference,
1633604,2019,KBH,795266,,7,SNIRF,3,2019-01-09,pdf_created,earnings,match:greeting0;date_from_creation_stamp
1633749,2019,,,,0,,0,2019-02-05,pdf_created,earnings,unresolved:no_candidates;date_from_creation_stamp
1634932,2019,GM,1467858,,8,CSL,3,2019-02-06,pdf_page1,earnings,
1635232,2019,,,,1,MS,0,2019-02-03,pdf_created,earnings,unresolved:weak_evidence;date_from_creation_stamp
1635275,2019,,,"Bucaro Design, Inc.",3,NEM,2,2019-02-21,pdf_page1,earnings,unresolved:ambiguous
1635298,2019,C,831001,,6,WFC,1,2019-01-14,pdf_page1,earnings,match:greeting0
1635649,2019,SNV,18349,Synovus Financial Corp,18,BRC,3,2018-01-15,pdf_page1,earnings,match:pdf_company;match:greeting0;match:greeting6;date_disagreement
1635734,2019,JPM,19617,,14,WFC,2,2019-01-15,pdf_page1,earnings,match:greeting0;match:greeting6
1635796,2019,,,,0,,0,2019-02-07,pdf_created,unknown,unresolved:no_candidates;date_from_creation_stamp
1636140,2019,BNY,1390777,,23,,0,2019-01-16,pdf_page1,earnings,match:greeting0;match:greeting2;match:greeting6
1636151,2019,BAC,70858,Bank of America,8,,0,2019-01-16,pdf_page1,earnings,match:pdf_company;match:greeting0
1636157,2019,BLK,2012383,,9,MSFT,3,2019-01-16,pdf_page1,earnings,match:greeting0
1636169,2019,BWA,908255,,3,,0,2019-02-14,pdf_page1,earnings,
1636229,2019,GS,886982,,17,MMI,3,2019-01-16,pdf_page1,earnings,match:greeting0;match:greeting3
1636261,2019,CMA,28412,,15,,0,2019-01-16,pdf_page1,earnings,match:greeting0;match:greeting6
1636262,2019,UAL,100517,,18,BA,3,2019-01-16,pdf_page1,earnings,match:greeting0;match:greeting6
1636464,2019,CSX,277948,,12,,0,2019-01-17,pdf_created,earnings,match:greeting0;match:greeting6;date_from_creation_stamp
1636471,2019,AA,1675149,,9,,0,2019-01-16,pdf_page1,earnings,match:greeting0
1636754,2019,KEY,91576,,14,MGHL,2,2019-01-17,pdf_page1,earnings,match:greeting0;match:greeting6
1636872,2019,FAST,815556,,15,,0,2019-01-17,pdf_page1,earnings,match:greeting0;match:greeting6
1636896,2019,DPZ,1286681,,8,,0,2019-02-21,pdf_created,unknown,date_from_creation_stamp
1636956,2019,PPG,79879,,12,VNCE,3,2019-01-17,pdf_page1,earnings,match:greeting0;match:greeting6
1637034,2019,AXP,4962,,23,MA,3,2019-01-17,pdf_created,earnings,match:greeting0;match:greeting6;date_from_creation_stamp
1637045,2019,,,,1,UNP,1,2019-01-16,pdf_created,earnings,unresolved:weak_evidence;date_from_creation_stamp
1637246,2019,VFC,103379,,12,KTB,11,2019-01-18,pdf_page1,earnings,match:greeting0;match:greeting6;greeting_dominant
1637296,2019,CFG,759944,,8,CIA,3,2019-01-18,pdf_page1,earnings,match:greeting0
1637341,2019,STT,93751,,34,ENHA,3,2019-01-18,pdf_page1,earnings,match:greeting0;match:greeting3;match:greeting6
1638098,2019,SWK,93556,,18,HD,3,2019-01-22,pdf_page1,earnings,match:greeting0;match:greeting1
1638175,2019,TRV,86312,,2,,0,2019-01-22,pdf_page1,earnings,
1638565,2019,COF,927628,,12,WMT,3,2019-01-22,pdf_page1,earnings,match:greeting0;match:greeting6
1638582,2019,IBM,51143,,4,,0,,,earnings,match:greeting3;no_date
1638814,2019,PG,80424,,7,TGT,2,2019-01-23,pdf_page1,earnings,match:greeting6
1638815,2019,CMCSA,1166691,,15,NFLX,3,2019-01-23,pdf_page1,earnings,match:greeting0;match:greeting6
1638952,2019,KMB,55785,,16,MSTR,3,2019-01-21,pdf_created,earnings,match:greeting0;match:greeting6;date_from_creation_stamp
1639235,2019,LRCX,707549,,13,GS,1,2019-01-23,pdf_page1,earnings,match:greeting0;match:greeting6
1639246,2019,LVS,1300514,,7,RGS,3,2019-01-23,pdf_page1,earnings,match:greeting0
1639601,2019,TXT,217346,,15,AAL,1,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting6
1639608,2019,MKC,63754,,3,,0,2019-01-23,pdf_created,earnings,date_from_creation_stamp
1639762,2019,UNP,100885,,27,CNI,1,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting6
1639809,2019,TER,97210,,9,GS,5,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting2
1639823,2019,FCX,831259,,14,RTNTF,8,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting6
1639857,2019,AEP,4904,,18,,0,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting4;match:greeting6
1639872,2019,GWW,277135,,13,,0,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting6
1639935,2019,URI,1067701,,12,,0,,,unknown,match:greeting6;no_date
1639998,2019,,,,2,SNIRF,1,2019-01-25,pdf_page1,earnings,unresolved:ambiguous
1640196,2019,NSC,702165,,22,,0,2019-01-24,pdf_page1,earnings,match:greeting0;match:greeting6
1640216,2019,DFS,1393612,,7,,0,2019-01-24,pdf_page1,earnings,match:greeting1
1640248,2019,WDC,106040,,17,SNDK,3,,,earnings,match:greeting0;match:greeting6;no_date
1640723,2019,CL,21665,,7,BABA,3,2019-04-23,pdf_created,earnings,match:greeting0;date_from_creation_stamp
1641285,2019,CAT,18230,Caterpillar Inc.,17,GS,1,2019-01-28,pdf_page1,earnings,match:pdf_company;match:greeting0;match:greeting6
1641674,2019,WHR,106640,,8,,0,2019-01-28,pdf_created,earnings,match:greeting0;date_from_creation_stamp
1641690,2019,XRX,1770450,Xerox Corporation,17,,0,2019-01-29,pdf_page1,earnings,match:pdf_company;match:greeting0;match:greeting6
1641787,2019,PHM,822416,,15,AXS,1,2019-01-28,pdf_created,earnings,match:greeting0;match:greeting6;date_from_creation_stamp
1641795,2019,HOG,793952,,38,LVWR,3,2019-01-29,pdf_page1,earnings,
1641799,2019,MMM,66740,,12,,0,2019-01-29,pdf_page1,earnings,match:greeting0;match:greeting6
1641854,2019,CE,1306830,,15,,0,2019-01-29,pdf_page1,earnings,match:greeting0;match:greeting6
1641855,2019,DOV,29905,,15,,0,2019-01-29,pdf_page1,earnings,match:greeting0;match:greeting6
1641867,2019,HCA,860730,,18,,0,2019-09-19,pdf_created,earnings,match:greeting0;match:greeting6;date_from_creation_stamp
1641895,2019,ROK,1024478,,7,PFE,2,2019-01-29,pdf_page1,earnings,match:greeting0
1641936,2019,,,Visa Inc.,2,CPB,2,2019-01-30,pdf_page1,earnings,unresolved:ambiguous
