split,horizon,condition,r2_oos
temporal,3,real,0.26546905986754055
temporal,3,within_shuffle,0.2778467303656552
temporal,3,global_shuffle,0.10729091236907129
temporal,7,real,-1.0262385129866223
temporal,7,within_shuffle,-1.0355672657602066
temporal,7,global_shuffle,-1.2345254100449705
temporal,15,real,-2.0324777786177695
temporal,15,within_shuffle,-2.022846026918764
temporal,15,global_shuffle,-2.2429654881406007
temporal,30,real,-0.561461551972742
temporal,30,within_shuffle,-0.563216923712569
temporal,30,global_shuffle,-0.5683751509037624
ticker_disjoint,3,real,0.33676640076826503
ticker_disjoint,3,within_shuffle,0.3168225599831045
ticker_disjoint,3,global_shuffle,0.3180948212008424
ticker_disjoint,7,real,0.17085290953081467
ticker_disjoint,7,within_shuffle,0.14390234662597223
ticker_disjoint,7,global_shuffle,0.11474348276276503
ticker_disjoint,15,real,0.11140143710479378
ticker_disjoint,15,within_shuffle,0.0973933560915029
ticker_disjoint,15,global_shuffle,0.09263325948834222
ticker_disjoint,30,real,0.21188239036121403
ticker_disjoint,30,within_shuffle,0.16957037384534346
ticker_disjoint,30,global_shuffle,0.10039033672263786
