stratum,split,horizon,condition,r2_oos
all,ticker_disjoint,3,real,0.4432095408447466
all,ticker_disjoint,3,within_shuffle,0.4432095408447466
all,ticker_disjoint,3,global_shuffle,0.3505341688774153
all,ticker_disjoint,7,real,0.20274636602674267
all,ticker_disjoint,7,within_shuffle,0.20274636602674267
all,ticker_disjoint,7,global_shuffle,0.15046784489895026
all,ticker_disjoint,15,real,0.08036205587131695
all,ticker_disjoint,15,within_shuffle,0.08036205587131695
all,ticker_disjoint,15,global_shuffle,0.03962645754525884
all,ticker_disjoint,30,real,0.10839462097525987
all,ticker_disjoint,30,within_shuffle,0.10839462097525987
all,ticker_disjoint,30,global_shuffle,0.09470219070021346
64k,ticker_disjoint,3,real,0.15396738358690576
64k,ticker_disjoint,3,within_shuffle,0.15396738358690576
64k,ticker_disjoint,3,global_shuffle,0.12079764837247453
64k,ticker_disjoint,7,real,0.11669665529676398
64k,ticker_disjoint,7,within_shuffle,0.11669665529676398
64k,ticker_disjoint,7,global_shuffle,0.11282059656037613
64k,ticker_disjoint,15,real,0.0983259150198027
64k,ticker_disjoint,15,within_shuffle,0.0983259150198027
64k,ticker_disjoint,15,global_shuffle,0.018355356438671255
64k,ticker_disjoint,30,real,0.12232219604283856
64k,ticker_disjoint,30,within_shuffle,0.12232219604283856
64k,ticker_disjoint,30,global_shuffle,0.13762890592637222
le24k,ticker_disjoint,3,real,0.10067411345711197
le24k,ticker_disjoint,3,within_shuffle,0.10067411345711197
le24k,ticker_disjoint,3,global_shuffle,0.14095388339911985
le24k,ticker_disjoint,7,real,0.19806968680719983
le24k,ticker_disjoint,7,within_shuffle,0.19806968680719983
le24k,ticker_disjoint,7,global_shuffle,0.17965058030806436
le24k,ticker_disjoint,15,real,0.023490815315018065
le24k,ticker_disjoint,15,within_shuffle,0.023490815315018065
le24k,ticker_disjoint,15,global_shuffle,-0.04401529546610283
le24k,ticker_disjoint,30,real,0.06557336463727481
le24k,ticker_disjoint,30,within_shuffle,0.06557336463727481
le24k,ticker_disjoint,30,global_shuffle,0.02507763282870723
