stratum,n_calls,horizon,n_test,r2_oos_vs_persistence,dm_p_vs_har,shuffle_real_r2,shuffle_global_r2
all,514,3,95,0.4432095408447466,0.011829024428434764,0.4432095408447466,0.3505341688774153
all,514,7,95,0.20274636602674267,0.0011945078478837858,0.20274636602674267,0.15046784489895026
all,514,15,95,0.08036205587131695,0.14875831238621892,0.08036205587131695,0.03962645754525884
all,514,30,95,0.10839462097525987,0.3588194768286798,0.10839462097525987,0.09470219070021346
64k,281,3,39,0.15396738358690576,0.02733320889097832,0.15396738358690576,0.12079764837247453
64k,281,7,39,0.11669665529676398,0.009230976180100861,0.11669665529676398,0.11282059656037613
64k,281,15,39,0.0983259150198027,0.15309054205925576,0.0983259150198027,0.018355356438671255
64k,281,30,39,0.12232219604283856,0.721381371848208,0.12232219604283856,0.13762890592637222
le24k,232,3,55,0.10067411345711197,0.011536724900075832,0.10067411345711197,0.14095388339911985
le24k,232,7,55,0.19806968680719983,0.04665703843990685,0.19806968680719983,0.17965058030806436
le24k,232,15,55,0.023490815315018065,0.3066639248879408,0.023490815315018065,-0.04401529546610283
le24k,232,30,55,0.06557336463727481,0.5103232014541129,0.06557336463727481,0.02507763282870723
