call_id,ticker,call_date,day0_as_of,horizon,v_pre_stored,v_post_stored,delta_v_stored,v_pre_recomputed,v_post_recomputed,n_prices_in_window,first_price_date,last_price_date
1630481,BMY,2019-01-24,2019-01-24,3,-4.639427,-5.203811,-0.564384,-4.639427,-5.203811,7,2019-01-18,2019-01-29
1630481,BMY,2019-01-24,2019-01-24,7,-4.070225,-4.621606,-0.551381,-4.070225,-4.621606,15,2019-01-14,2019-02-04
1630481,BMY,2019-01-24,2019-01-24,15,-3.247325,-4.339377,-1.092052,-3.247325,-4.339377,31,2019-01-02,2019-02-14
1630481,BMY,2019-01-24,2019-01-24,30,-3.506546,-4.230033,-0.723486,-3.506546,-4.230033,61,2018-12-10,2019-03-08
1630525,F,2019-01-23,2019-01-23,3,-3.940892,-3.684169,0.256723,-3.940892,-3.684169,7,2019-01-17,2019-01-28
1630525,F,2019-01-23,2019-01-23,7,-3.590679,-4.01435,-0.423672,-3.590679,-4.01435,15,2019-01-11,2019-02-01
1630525,F,2019-01-23,2019-01-23,15,-3.618316,-3.957134,-0.338818,-3.618316,-3.957134,31,2018-12-31,2019-02-13
1630525,F,2019-01-23,2019-01-23,30,-3.712513,-4.075869,-0.363357,-3.712513,-4.075869,61,2018-12-07,2019-03-07
1631082,DXC,2019-02-07,2019-02-07,3,-4.565315,-3.164052,1.401263,-4.565315,-3.164052,7,2019-02-04,2019-02-12
1631082,DXC,2019-02-07,2019-02-07,7,-4.345609,-3.478048,0.867561,-4.345609,-3.478048,15,2019-01-29,2019-02-19
1631082,DXC,2019-02-07,2019-02-07,15,-4.451188,-3.79724,0.653948,-4.451188,-3.79724,31,2019-01-16,2019-03-01
1631082,DXC,2019-02-07,2019-02-07,30,-4.155878,-3.97207,0.183808,-4.155878,-3.97207,61,2018-12-24,2019-03-22
1631282,CAH,2019-02-07,2019-02-07,3,-3.572734,-3.778084,-0.205349,-3.572734,-3.778084,7,2019-02-04,2019-02-12
1631282,CAH,2019-02-07,2019-02-07,7,-3.675271,-4.084895,-0.409624,-3.675271,-4.084895,15,2019-01-29,2019-02-19
1631282,CAH,2019-02-07,2019-02-07,15,-3.931252,-4.109546,-0.178294,-3.931252,-4.109546,31,2019-01-16,2019-03-01
1631282,CAH,2019-02-07,2019-02-07,30,-4.086393,-3.978617,0.107776,-4.086393,-3.978617,61,2018-12-24,2019-03-22
1631581,JNJ,2019-01-21,2019-01-18,3,-4.623843,-5.012505,-0.388662,-4.623843,-5.012505,7,2019-01-15,2019-01-24
1631581,JNJ,2019-01-21,2019-01-18,7,-4.740923,-4.588983,0.15194,-4.740923,-4.588983,15,2019-01-09,2019-01-30
1631581,JNJ,2019-01-21,2019-01-18,15,-4.463777,-4.769819,-0.306042,-4.463777,-4.769819,31,2018-12-27,2019-02-11
1631581,JNJ,2019-01-21,2019-01-18,30,-3.767328,-4.852827,-1.085499,-3.767328,-4.852827,61,2018-12-04,2019-03-05
1631662,MRK,2019-01-31,2019-01-31,3,-5.213569,-4.540595,0.672975,-5.213569,-4.540595,7,2019-01-28,2019-02-05
1631662,MRK,2019-01-31,2019-01-31,7,-4.367932,-4.478622,-0.11069,-4.367932,-4.478622,15,2019-01-22,2019-02-11
1631662,MRK,2019-01-31,2019-01-31,15,-4.415585,-4.598406,-0.182821,-4.415585,-4.598406,31,2019-01-09,2019-02-22
1631662,MRK,2019-01-31,2019-01-31,30,-4.190559,-4.744313,-0.553754,-4.190559,-4.744313,61,2018-12-17,2019-03-15
1632021,BSX,2019-02-06,2019-02-06,3,-4.269367,-5.82737,-1.558003,-4.269367,-5.82737,7,2019-02-01,2019-02-11
1632021,BSX,2019-02-06,2019-02-06,7,-4.46309,-4.791927,-0.328837,-4.46309,-4.791927,15,2019-01-28,2019-02-15
1632021,BSX,2019-02-06,2019-02-06,15,-4.428649,-4.857208,-0.428559,-4.428649,-4.857208,31,2019-01-15,2019-02-28
1632021,BSX,2019-02-06,2019-02-06,30,-3.828375,-4.353942,-0.525567,-3.828375,-4.353942,61,2018-12-21,2019-03-21
1632164,EHC,2019-02-07,2019-02-07,3,-6.520375,-3.69276,2.827615,-6.520375,-3.69276,7,2019-02-04,2019-02-12
1632164,EHC,2019-02-07,2019-02-07,7,-5.010322,-3.936482,1.07384,-5.010322,-3.936482,15,2019-01-29,2019-02-19
1632164,EHC,2019-02-07,2019-02-07,15,-4.568348,-4.148994,0.419354,-4.568348,-4.148994,31,2019-01-16,2019-03-01
1632164,EHC,2019-02-07,2019-02-07,30,-4.303769,-4.192546,0.111223,-4.303769,-4.192546,61,2018-12-24,2019-03-22
