dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,combined,dv,3,test,mlp_pastvol,global_shuffle,92,0.35750113880615253,0.6880886467889767
fincall,combined,dv,3,test,mlp_pastvol,real,92,0.35750113880615253,0.6880886467889767
fincall,combined,dv,3,test,mlp_pastvol,within_shuffle,92,0.35750113880615253,0.6880886467889767
fincall,combined,dv,3,test,mlp_text,global_shuffle,92,-0.07904917240544185,1.1556152542894744
fincall,combined,dv,3,test,mlp_text,real,92,-0.24805209798891115,1.3366101188593935
fincall,combined,dv,3,test,mlp_text,within_shuffle,92,-0.2568397351860856,1.3460213003457555
fincall,combined,dv,3,test,mlp_text_pastvol,global_shuffle,92,0.13773427421168416,0.9234495067084466
fincall,combined,dv,3,test,mlp_text_pastvol,real,92,-0.017547149909366455,1.0897492333669225
fincall,combined,dv,3,test,mlp_text_pastvol,within_shuffle,92,-0.006901324724511326,1.0783480124654758
fincall,combined,dv,3,test,ridge_pastvol,global_shuffle,92,0.3111196556058494,0.7377612204524706
fincall,combined,dv,3,test,ridge_pastvol,real,92,0.3111196556058494,0.7377612204524706
fincall,combined,dv,3,test,ridge_pastvol,within_shuffle,92,0.3111196556058494,0.7377612204524706
fincall,combined,dv,3,test,ridge_text,global_shuffle,92,0.009253629080229975,1.0610467517569544
fincall,combined,dv,3,test,ridge_text,real,92,-0.015279022287259858,1.0873201662346632
fincall,combined,dv,3,test,ridge_text,within_shuffle,92,-0.007330958175035818,1.0788081314126712
fincall,combined,dv,3,test,ridge_text_pastvol,global_shuffle,92,0.11774083202431229,0.94486162338333
fincall,combined,dv,3,test,ridge_text_pastvol,real,92,0.04316894459033549,1.0247249075261227
fincall,combined,dv,3,test,ridge_text_pastvol,within_shuffle,92,0.058517138584264994,1.008287651876651
fincall,combined,dv,3,test,ticker_only,real,92,-0.004360498271943181,1.0756268966144304
fincall,combined,dv,7,test,mlp_pastvol,global_shuffle,92,0.19180850811322336,0.26807588171703006
fincall,combined,dv,7,test,mlp_pastvol,real,92,0.19180850811322336,0.26807588171703006
fincall,combined,dv,7,test,mlp_pastvol,within_shuffle,92,0.19180850811322336,0.26807588171703006
fincall,combined,dv,7,test,mlp_text,global_shuffle,92,-0.23191845176546932,0.4086254662116298
fincall,combined,dv,7,test,mlp_text,real,92,-0.22695058999397455,0.40697763406044907
fincall,combined,dv,7,test,mlp_text,within_shuffle,92,-0.2345467063647928,0.40949725424226796
fincall,combined,dv,7,test,mlp_text_pastvol,global_shuffle,92,-0.12286079179621123,0.3724512072052622
fincall,combined,dv,7,test,mlp_text_pastvol,real,92,-0.1086828454779476,0.36774840409688986
fincall,combined,dv,7,test,mlp_text_pastvol,within_shuffle,92,-0.10077488794926337,0.3651253466799728
fincall,combined,dv,7,test,ridge_pastvol,global_shuffle,92,0.18519752990447003,0.27026873307727667
fincall,combined,dv,7,test,ridge_pastvol,real,92,0.18519752990447003,0.27026873307727667
fincall,combined,dv,7,test,ridge_pastvol,within_shuffle,92,0.18519752990447003,0.27026873307727667
fincall,combined,dv,7,test,ridge_text,global_shuffle,92,-0.021087983976674884,0.3386933225146594
fincall,combined,dv,7,test,ridge_text,real,92,-0.024091584546966915,0.3396896122297701
fincall,combined,dv,7,test,ridge_text,within_shuffle,92,-0.005446819525369406,0.3335051721895726
fincall,combined,dv,7,test,ridge_text_pastvol,global_shuffle,92,-0.03322807880653533,0.3427201734012549
fincall,combined,dv,7,test,ridge_text_pastvol,real,92,0.032284501955971545,0.3209897505648715
fincall,combined,dv,7,test,ridge_text_pastvol,within_shuffle,92,0.06858784618468083,0.3089479868107543
fincall,combined,dv,7,test,ticker_only,real,92,-0.009370112412420584,0.33480652243946823
fincall,combined,dv,15,test,mlp_pastvol,global_shuffle,92,0.10046010448692122,0.16368663946305104
fincall,combined,dv,15,test,mlp_pastvol,real,92,0.10046010448692122,0.16368663946305104
fincall,combined,dv,15,test,mlp_pastvol,within_shuffle,92,0.10046010448692122,0.16368663946305104
fincall,combined,dv,15,test,mlp_text,global_shuffle,92,-0.5244465777882732,0.277399077688248
fincall,combined,dv,15,test,mlp_text,real,92,-0.49528224298709755,0.27209212912533093
fincall,combined,dv,15,test,mlp_text,within_shuffle,92,-0.4755721997828297,0.26850555030668055
fincall,combined,dv,15,test,mlp_text_pastvol,global_shuffle,92,-0.40967764128197826,0.25651491054327835
fincall,combined,dv,15,test,mlp_text_pastvol,real,92,-0.4850386361314678,0.27022812999584006
fincall,combined,dv,15,test,mlp_text_pastvol,within_shuffle,92,-0.502337042414917,0.27337587030922467
fincall,combined,dv,15,test,ridge_pastvol,global_shuffle,92,0.08332699269309507,0.16680430162241147
fincall,combined,dv,15,test,ridge_pastvol,real,92,0.08332699269309507,0.16680430162241147
fincall,combined,dv,15,test,ridge_pastvol,within_shuffle,92,0.08332699269309507,0.16680430162241147
fincall,combined,dv,15,test,ridge_text,global_shuffle,92,-0.055593549616201,0.19208326571996623
fincall,combined,dv,15,test,ridge_text,real,92,-0.06489635111497183,0.1937760692548857
fincall,combined,dv,15,test,ridge_text,within_shuffle,92,-0.06006298586090253,0.19289655593959817
