dataset,convention,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,gbdt_mse_std,dm_p_vs_persistence
fincall,trading,combined,dv,3,ewma,test,92,0.7460992106534836,0.6548610633062062,0.30333410466877764,0.6323620918421815,,0.006651173598676171
fincall,trading,combined,dv,3,ewma,val,21,0.4156639377126953,0.543236292468878,0.6101974618556063,0.6090225563909774,,0.04006741152250001
fincall,trading,combined,dv,3,garch,test,92,0.8179346469814198,0.6669395204323112,0.23625817448239173,0.6129450146664838,,0.0651654339037545
fincall,trading,combined,dv,3,garch,val,21,0.3986687560477223,0.5338306649516208,0.6261352528164631,0.5533834586466165,,0.03529416063984388
fincall,trading,combined,dv,3,gbdt_tickerFE,test,92,0.8677144244449796,0.7111304466466262,0.18977659034338046,0.46814752398236975,0.030073641212249674,0.1409306116480938
fincall,trading,combined,dv,3,gbdt_tickerFE,val,21,0.500645743127828,0.5682934481935457,0.5305029768608357,0.7918796992481203,0.010978399069708463,0.07440125555485201
fincall,trading,combined,dv,3,har,test,92,0.6933921773559792,0.6442819412602369,0.35254899729719547,0.5712111160253576,,0.0019101787406728655
fincall,trading,combined,dv,3,har,val,21,0.3877132666709202,0.5161388541883328,0.6364091235524978,0.7669172932330827,,0.03171457442240298
fincall,trading,combined,dv,3,persistence,test,92,1.0709569905079948,0.8332343829553942,0.0,,,
fincall,trading,combined,dv,3,persistence,val,21,1.0663448721791593,0.8146545794815291,0.0,,,
fincall,trading,combined,dv,7,ewma,test,92,0.2626542948487506,0.42085414668571813,0.20815343385366614,0.5239594930531197,,0.018285590762561775
fincall,trading,combined,dv,7,ewma,val,21,0.2406290612197076,0.3925073464946697,0.524342915018172,0.41503759398496237,,0.11098201487019381
fincall,trading,combined,dv,7,garch,test,92,0.2950325546092992,0.43004745288812585,0.11053990035348682,0.5737796570533841,,0.42466780549263394
fincall,trading,combined,dv,7,garch,val,21,0.23165963829226413,0.4023080684506359,0.5420729827914137,0.47218045112781953,,0.11279477058350491
fincall,trading,combined,dv,7,gbdt_tickerFE,test,92,0.33994311724126886,0.4674501601550152,-0.024855847979139867,0.3817821429842355,0.006270266202352845,0.9035452394366007
fincall,trading,combined,dv,7,gbdt_tickerFE,val,21,0.3374132373852966,0.41871902147338086,0.33302737368686813,0.6108270676691728,0.012656309896756313,0.1880700161983452
fincall,trading,combined,dv,7,har,test,92,0.25477462984349136,0.40652205822096354,0.23190893985211525,0.504381262486846,,0.029392952073264825
fincall,trading,combined,dv,7,har,val,21,0.26459236523107177,0.39277221105239024,0.47697409233814025,0.6496240601503759,,0.07936602373793514
fincall,trading,combined,dv,7,persistence,test,92,0.33169847048400514,0.4758263298240852,0.0,,,
fincall,trading,combined,dv,7,persistence,val,21,0.5058876842524075,0.5154328229666916,0.0,,,
fincall,trading,combined,dv,15,ewma,test,92,0.1629397175574359,0.310009435530757,0.10456481367477866,0.46666577701861145,,0.29569180821245056
fincall,trading,combined,dv,15,ewma,val,21,0.1153284521000904,0.26109649129847884,0.5637247080549334,0.7308270676691728,,0.004154404595558893
fincall,trading,combined,dv,15,garch,test,92,0.20595370567331747,0.33983795378703274,-0.13181854969737405,0.5492487557636485,,0.5871750114142216
fincall,trading,combined,dv,15,garch,val,21,0.09906640314333626,0.2650267160317012,0.6252423130087877,0.544360902255639,,0.03597337162560131
fincall,trading,combined,dv,15,gbdt_tickerFE,test,92,0.2548936855665922,0.4058261995643225,-0.40076819973613576,0.2744740654882643,0.0034775031854298163,0.02409211968503918
fincall,trading,combined,dv,15,gbdt_tickerFE,val,21,0.20397090584176653,0.35305011922635404,0.22839971512678767,0.2652631578947368,0.0015141690607762082,0.2697865399762728
fincall,trading,combined,dv,15,har,test,92,0.15866091767093013,0.31830556334297744,0.12807895762357402,0.4054241841927334,,0.23307482934310988
fincall,trading,combined,dv,15,har,val,21,0.13987214588605815,0.29826633589152785,0.4708785198255935,0.5142857142857143,,0.019770230158412436
fincall,trading,combined,dv,15,persistence,test,92,0.1819670703651088,0.3395555844962652,0.0,,,
fincall,trading,combined,dv,15,persistence,val,21,0.26434788820131466,0.3977497480436844,0.0,,,
