dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1
fincall,combined,dv,3,mlp_pastvol,test,92,0.6880886467889767,0.6389022940089066,0.35750113880615253,0.5875041305088279,0.015953216801473248,0.0018036639302220802,0.7570833211959903,0.03447987856101959
fincall,combined,dv,3,mlp_pastvol,val,21,0.3965524329555167,0.5370458033365186,0.628119904449739,0.806015037593985,0.015953216801473248,0.030899509658355133,0.8470301801603214,0.35129695224213525
fincall,combined,dv,3,mlp_text,test,92,1.3366101188593935,0.9155515191537202,-0.24805209798891115,0.020793489809716993,0.13619788481163148,0.012246619213465315,1.816955579060445e-05,0.005958441854016296
fincall,combined,dv,3,mlp_text,val,21,1.234672938574963,0.9002881632672426,-0.15785518436621016,0.05563909774436089,0.13619788481163148,0.5611314186881121,0.05151641813092354,0.06740518058996349
fincall,combined,dv,3,mlp_text_pastvol,test,92,1.0897492333669225,0.840707063081168,-0.017547149909366455,0.275054649809107,0.1306583079697698,0.8717356973543726,0.0001392100387794814,0.09871830982217135
fincall,combined,dv,3,mlp_text_pastvol,val,21,0.7912405633180197,0.7253819713386862,0.2579881200150025,0.2796992481203007,0.1306583079697698,0.34452664647639747,0.10315320511897025,0.16200008138386446
fincall,combined,dv,3,ridge_pastvol,test,92,0.7377612204524706,0.6613914541903874,0.3111196556058494,0.5467161819355691,,0.004847913742766314,0.06398528509486884,0.15776819183036095
fincall,combined,dv,3,ridge_pastvol,val,21,0.32002798367759955,0.4613359850550272,0.6998832253737974,0.8511278195488721,,0.017619889674638938,0.24273303685143827,0.08780867268952106
fincall,combined,dv,3,ridge_text,test,92,1.0873201662346632,0.8314927993442701,-0.015279022287259858,0.15727414377729315,,0.7663604750684156,0.00040262951185528656,0.10698149255513824
fincall,combined,dv,3,ridge_text,val,21,1.1195125236121857,0.8528245475521755,-0.049859715013562234,-0.16992481203007515,,0.7397066498173268,0.03246856743490423,0.048501438919884614
fincall,combined,dv,3,ridge_text_pastvol,test,92,1.0247249075261227,0.7875274958429597,0.04316894459033549,0.37156189154427655,,0.708652262651763,0.001262729907438545,0.22809436507814043
fincall,combined,dv,3,ridge_text_pastvol,val,21,0.7468474063089593,0.6820073516794609,0.2996192640916272,0.41353383458646614,,0.27526104985713373,0.20116581865694003,0.2942227592068367
fincall,combined,dv,7,mlp_pastvol,test,92,0.26807588171703006,0.4119177811003786,0.19180850811322336,0.45835633709018997,0.003472937916222788,0.08149450089214208,0.24202770058294554,0.006307772072675065
fincall,combined,dv,7,mlp_pastvol,val,21,0.25507107375564747,0.39399139339259714,0.4957950515585543,0.6586466165413534,0.003472937916222788,0.04157437463954712,0.8336748691015253,0.21724235768591807
fincall,combined,dv,7,mlp_text,test,92,0.40697763406044907,0.5152583863814549,-0.22695058999397455,0.13238623943225203,0.07644602791038067,0.09332707412868729,0.003337338075373206,0.2332835680736371
fincall,combined,dv,7,mlp_text,val,21,0.6083752551226995,0.5906952802964542,-0.20258957484159046,0.25112781954887214,0.07644602791038067,0.1561455756565324,0.03303116939031737,0.061143344225819775
fincall,combined,dv,7,mlp_text_pastvol,test,92,0.36774840409688986,0.49535635425624175,-0.1086828454779476,0.2530783093636729,0.07425525081049555,0.4647501842588494,0.007547196222900049,0.5570459565528348
fincall,combined,dv,7,mlp_text_pastvol,val,21,0.4362459525567868,0.4675544222711638,0.1376624374608687,0.3654135338345864,0.07425525081049555,0.2326658880004457,0.225357489345468,0.40069755567695753
