dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
fincall,combined,dv,3,mlp_egemaps_audio,test,92,1.1385494786956964,0.8691712533592507,-0.06311410148753027,0.2314869323409945,0.09658633590793973,0.5187724297383021,0.004583292820694486,0.08068538982818065,0.4892830515223166
fincall,combined,dv,3,mlp_egemaps_audio,val,21,1.1270121667804636,0.8291299408273156,-0.05689275222689072,0.07218045112781954,0.09658633590793973,0.6633342010484818,0.024368989001741767,0.07023440133855016,0.31717772208697076
fincall,combined,dv,3,mlp_egemaps_audio_pastvol,test,92,0.824262195534717,0.7002721436589195,0.23034986200170493,0.5230723868494767,0.14283987500798775,0.0660487721999553,0.16477581039936434,0.7333425009308012,0.10469558818909946
fincall,combined,dv,3,mlp_egemaps_audio_pastvol,val,21,1.8558948457586901,0.7276850123752672,-0.7404264738161339,0.7849624060150376,0.14283987500798775,0.56146485100497,0.3242904930368685,0.3453981925982753,0.3734170212213565
fincall,combined,dv,3,mlp_emotion2vec_audio,test,92,1.2831493892177153,0.8983981778074359,-0.19813344568493796,-0.006893882779972237,0.15148016295440977,0.02466676731342497,0.0003807825173872958,0.018390872873704354,0.08591187899141384
fincall,combined,dv,3,mlp_emotion2vec_audio,val,21,1.252157831046831,0.7883446415287301,-0.17425221775385724,-0.24812030075187969,0.15148016295440977,0.255922550338906,0.05907644922165629,0.09969796868877223,0.22186021100411224
fincall,combined,dv,3,mlp_emotion2vec_audio_pastvol,test,92,1.1738383939819692,0.8292066506857997,-0.09606492546929823,0.269125399706162,0.10844907943765024,0.5343593364828326,0.0010831610206410952,0.06759867569759484,0.26891813979409995
fincall,combined,dv,3,mlp_emotion2vec_audio_pastvol,val,21,0.7602250184545645,0.7019225202446969,0.28707396801094454,0.47518796992481205,0.10844907943765024,0.25117527188070693,0.115896473863627,0.25290563713727665,0.9599826681464371
fincall,combined,dv,3,mlp_wavlm_audio,test,92,1.2086836849176203,0.8447511177022524,-0.12860151773629735,0.0674412959376128,0.13486045957245343,0.18418613058312858,0.0042631609447233865,0.06489843992913212,0.30639485234293895
fincall,combined,dv,3,mlp_wavlm_audio,val,21,1.9272767332073202,1.0276878259166626,-0.8073671881300271,0.34586466165413526,0.13486045957245343,0.16661182094732435,0.03346089057871382,0.04978776558096696,0.1167844018227107
fincall,combined,dv,3,mlp_wavlm_audio_pastvol,test,92,1.0606979442906166,0.8017273777222383,0.009579326068465233,0.30264161926113464,0.10049498960286388,0.9289482799604731,0.000729239162293058,0.10233704169475616,0.7136386004389879
fincall,combined,dv,3,mlp_wavlm_audio_pastvol,val,21,0.6890128143058787,0.5993778490434549,0.35385555622560727,0.6075187969924812,0.10049498960286388,0.24251270799596722,0.11467650171510765,0.3696777399471245,0.8654565659882082
fincall,combined,dv,3,mlp_wavlm_egemaps_audio,test,92,1.36158434495346,0.8992635725892705,-0.2713716395908763,0.022876537184746856,0.27852565628541237,0.01559250152929562,0.0006897615021303605,0.011538848184677687,0.06766851871912216
fincall,combined,dv,3,mlp_wavlm_egemaps_audio,val,21,2.3066488565587173,1.0455266277886404,-1.1631358829014666,0.23909774436090225,0.27852565628541237,0.2526997359723948,0.11851607941669129,0.12696282937527867,0.12355205751079369
fincall,combined,dv,3,mlp_wavlm_egemaps_audio_pastvol,test,92,0.9858483007690892,0.7808815633755164,0.07946975508188747,0.3968220500541415,0.13857918478898273,0.4860547115695836,0.013758185120652602,0.3732997314232716,0.789400979266848
fincall,combined,dv,3,mlp_wavlm_egemaps_audio_pastvol,val,21,1.535054025935947,0.9294319463184102,-0.4395474353423241,0.5112781954887218,0.13857918478898273,0.35209360023453257,0.06182155874474627,0.07031112181870346,0.06348520676613711
fincall,combined,dv,3,mlp_wavlm_text_audio_pastvol,test,92,1.090656309460236,0.799700706137665,-0.01839412705350285,0.2852384510973173,0.11018539946141935,0.8846155544886085,0.0003764005064830101,0.09594927772868807,0.494816868707176
fincall,combined,dv,3,mlp_wavlm_text_audio_pastvol,val,21,1.1714437417780053,0.8317145390081833,-0.09855992403664704,0.03458646616541353,0.11018539946141935,0.7515512850088608,0.07496298269583009,0.09666791130428148,0.16155739635251826
fincall,combined,dv,3,ridge_egemaps_audio,test,92,1.0704565191642834,0.8326873907841303,0.00046731227131169284,0.06538506509681913,,0.9757295099674391,0.0013169641860704786,0.1278891596240173,0.6941820280684751
fincall,combined,dv,3,ridge_egemaps_audio,val,21,1.110591211836715,0.8294667529393424,-0.0414934612731197,0.022556390977443608,,0.5336324364866962,0.03415566209391848,0.06478103701998114,0.16228459373714108
fincall,combined,dv,3,ridge_egemaps_audio_pastvol,test,92,0.8105218662873181,0.6926223130304636,0.24317981630349383,0.5269598946656703,,0.09564699416163466,0.32278711613587896,0.6813146241053798,0.15199019934886
fincall,combined,dv,3,ridge_egemaps_audio_pastvol,val,21,0.5203737712751195,0.576674874366868,0.5120023691662764,0.7563909774436091,,0.07516726343895896,0.2322484361172556,0.7970351409236061,0.2810131533597243
fincall,combined,dv,3,ridge_emotion2vec_audio,test,92,1.0805225746922913,0.8408282136192015,-0.008931809838375493,0.048049256000040674,,0.688010284667876,0.0014453610367807495,0.12578405238819995,0.6508960975239824
fincall,combined,dv,3,ridge_emotion2vec_audio,val,21,0.953848736745876,0.7771100976807046,0.10549695353566857,0.14887218045112782,,0.17774407517578297,0.04544440765687315,0.11614828807853786,0.4668380126282738
fincall,combined,dv,3,ridge_emotion2vec_audio_pastvol,test,92,0.7281818190700775,0.6552220664171358,0.3200643671743777,0.5489906307350527,,0.004803734079957286,0.2918110166144048,0.14285375060885117,0.0011931780827652881
fincall,combined,dv,3,ridge_emotion2vec_audio_pastvol,val,21,0.32195781520439837,0.4666040447621979,0.6980734623438922,0.7729323308270677,,0.024554092129664,0.36162373182060614,0.1448285793888853,0.13910994123036405
fincall,combined,dv,3,ridge_wavlm_audio,test,92,1.1021046838366724,0.8407742033335547,-0.02908398152749636,0.06400966920343457,,0.5244226372959272,0.0019525228963645353,0.10536578933259487,0.5618378550967518
fincall,combined,dv,3,ridge_wavlm_audio,val,21,1.176214401027396,0.856362228713377,-0.10303376676225762,-0.3203007518796992,,0.2581653949209287,0.02332215950551977,0.04465478454389754,0.12922683414166933
fincall,combined,dv,3,ridge_wavlm_audio_pastvol,test,92,0.9757696975815423,0.7362111145176052,0.08888059349731836,0.42086262817286624,,0.5506937273693887,0.008483550871059642,0.3927541178782783,0.6658222963614161
