dataset,stratum,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
earnings25,64k,ticker_disjoint,dv,3,mlp_egemaps_audio,test,39,1.2494193362766448,0.8477656010941942,0.14971121391981446,0.17813765182186236,0.07581422424760927,0.1527595310752083,0.035288491589859146,0.15939577221557732,0.4633463738046327
earnings25,64k,ticker_disjoint,dv,3,mlp_egemaps_audio,val,27,1.1489037956340076,0.9643382734233695,-0.31282619474575046,-0.5176923076923077,0.07581422424760927,0.1269461687572467,0.002361412024737445,0.0028464925459408164,0.37660479522271967
earnings25,64k,ticker_disjoint,dv,3,mlp_egemaps_audio_pastvol,test,39,0.9782456374137644,0.7861325713580495,0.3342577056606294,0.5200404858299595,0.09693872447983654,0.007059045105591387,0.08947584961230917,0.4970401167937665,0.053735550736757794
earnings25,64k,ticker_disjoint,dv,3,mlp_egemaps_audio_pastvol,val,27,1.1704454396739974,0.9390337219597301,-0.33744134066228115,-0.3838461538461538,0.09693872447983654,0.16778171515779736,0.0005288062371033472,0.0020572561155726985,0.33078134292546085
earnings25,64k,ticker_disjoint,dv,3,mlp_emotion2vec_audio,test,39,7.612199801575379e+20,21100975701.836388,-5.1804609875576724e+20,-0.012753036437246963,1.460324634594629e+21,7.95061809228968e-05,7.95061809228968e-05,7.95061809228968e-05,7.95061809228968e-05
earnings25,64k,ticker_disjoint,dv,3,mlp_emotion2vec_audio,val,27,2.970602605109258e+20,13069426429.930086,-3.394439925246569e+20,0.43769230769230766,1.460324634594629e+21,0.0021538987024877446,0.0021538987024877446,0.0021538987024877446,0.0021538987024877446
earnings25,64k,ticker_disjoint,dv,3,mlp_emotion2vec_audio_pastvol,test,39,6.435174993029371e+20,19367656331.913532,-4.379440092021244e+20,-0.03097165991902834,1.0961456320860971e+21,0.0009280161937821388,0.0009280161937821388,0.0009280161937821388,0.0009280161937821388
earnings25,64k,ticker_disjoint,dv,3,mlp_emotion2vec_audio_pastvol,val,27,2.6848847839558258e+20,12601484825.371399,-3.067956679790047e+20,-0.5734615384615385,1.0961456320860971e+21,0.0016171878652298391,0.0016171878652298391,0.0016171878652298391,0.0016171878652298391
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_audio,test,39,9.209128276176987e+24,1995644189101.3037,-6.26724613222525e+24,-0.312753036437247,9.382695987185888e+24,0.0032469088610344097,0.0032469088610344097,0.0032469088610344097,0.0032469088610344097
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_audio,val,27,1.119048663932469e+25,2281203772482.0396,-1.278711415863211e+25,0.5292307692307692,9.382695987185888e+24,0.006673079359473447,0.006673079359473447,0.006673079359473447,0.006673079359473447
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_audio_pastvol,test,39,2.3306416762693684e+25,3256554767165.736,-1.5861115833284823e+25,-0.21720647773279356,5.399470459032618e+24,0.0026375576424163927,0.0026375576424163927,0.0026375576424163927,0.0026375576424163927
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_audio_pastvol,val,27,2.7910130437683885e+25,3673955622761.2007,-3.189227024630216e+25,0.5373076923076923,5.399470459032618e+24,0.006316760466572403,0.006316760466572403,0.006316760466572403,0.006316760466572403
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_egemaps_audio,test,39,4.1685129656695805e+24,1503921622008.677,-2.836869677318566e+24,-0.21720647773279356,5.721592474621787e+24,0.00055132510340881,0.00055132510340881,0.00055132510340881,0.00055132510340881
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_egemaps_audio,val,27,2.817294181697536e+24,1431812902106.4685,-3.2192578822461673e+24,0.5373076923076923,5.721592474621787e+24,8.378647797921673e-05,8.378647797921673e-05,8.378647797921673e-05,8.378647797921673e-05
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_egemaps_audio_pastvol,test,39,5.485135219294365e+24,1671978535191.2302,-3.7328932182195655e+24,-0.29615384615384616,4.876270596527116e+24,0.001115991039769512,0.001115991039769512,0.001115991039769512,0.001115991039769512
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_egemaps_audio_pastvol,val,27,6.191103121193861e+24,1821693857352.2068,-7.074432500582201e+24,0.5265384615384615,4.876270596527116e+24,0.004968094802168753,0.004968094802168753,0.004968094802168753,0.004968094802168753
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_text_audio_pastvol,test,39,2.2548740730114886e+25,3223800533768.862,-1.5345481558003498e+25,-0.09574898785425101,1.9775274878507492e+25,0.0038253585489344223,0.0038253585489344223,0.0038253585489344223,0.0038253585489344223
earnings25,64k,ticker_disjoint,dv,3,mlp_wavlm_text_audio_pastvol,val,27,1.442229836800396e+25,2653355032064.821,-1.6480031798925355e+25,0.39999999999999997,1.9775274878507492e+25,0.007681863530517622,0.007681863530517622,0.007681863530517622,0.007681863530517622
earnings25,64k,ticker_disjoint,dv,3,ridge_egemaps_audio,test,39,1.2887345437577784,0.8498302111721091,0.1229553609623556,0.1236842105263158,,0.3372289730239827,0.03525338213533939,0.13610042882290857,0.6416907609407213
earnings25,64k,ticker_disjoint,dv,3,ridge_egemaps_audio,val,27,1.0063958993375093,0.8724929251379776,-0.1499856680392373,0.6869230769230769,,0.4859937046374997,0.035532801290125544,0.034325808025956896,0.7659774112966465
earnings25,64k,ticker_disjoint,dv,3,ridge_egemaps_audio_pastvol,test,39,0.7291516955669214,0.6540225072500309,0.5037778813800674,0.6728744939271256,,0.006614728672832783,0.9788354848786733,0.18341256450253993,0.0242714991752367
earnings25,64k,ticker_disjoint,dv,3,ridge_egemaps_audio_pastvol,val,27,0.6815638399544419,0.6543789253268579,0.22119252640302955,-0.23499999999999993,,0.27010606906781354,0.22774924097064275,0.286999567750761,0.28009474400221235
earnings25,64k,ticker_disjoint,dv,3,ridge_emotion2vec_audio,test,39,1.2889761804034665,0.8439711543379362,0.12279091582838886,0.23340080971659918,,0.36861363133235364,0.0384381395125019,0.14439243686816802,0.6562473432416207
earnings25,64k,ticker_disjoint,dv,3,ridge_emotion2vec_audio,val,27,1.0867425665587271,0.9000935168516904,-0.2417959743411029,-0.35153846153846147,,0.3011674851520482,0.022134957565978105,0.022681296850596753,0.5397783748573828
earnings25,64k,ticker_disjoint,dv,3,ridge_emotion2vec_audio_pastvol,test,39,0.7824310642054344,0.7252266588557901,0.46751875814785815,0.6190283400809717,,0.026845402673557884,0.7027251595915074,0.5102362487322185,0.06785777376250827
earnings25,64k,ticker_disjoint,dv,3,ridge_emotion2vec_audio_pastvol,val,27,0.722189538648566,0.6925485636960756,0.17477046597623602,-0.2557692307692307,,0.35298736303363926,0.15067572164519155,0.2525441355967881,0.3505688303370389
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_audio,test,39,1.2709551370907544,0.8627775071345349,0.13505508574905634,0.10161943319838057,,0.25539400003475254,0.024525007260526654,0.11663376770539993,0.5381950462496833
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_audio,val,27,1.1441444003462455,0.9329658482289431,-0.3073877421715072,-0.5211538461538461,,0.17844113949288337,0.006588169040006799,0.008256647482137534,0.3531991062839473
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_audio_pastvol,test,39,1.243165295570013,0.8518044810660066,0.15396738358690576,0.19736842105263158,,0.1898391623020731,0.02733320889097832,0.13232164483919973,0.42345625473261217
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_audio_pastvol,val,27,1.131932713848923,0.9269837166232721,-0.29343372619851515,-0.5188461538461537,,0.19362507208746746,0.006558388808499447,0.008312699877629634,0.37729058573449126
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_egemaps_audio,test,39,1.2677355822933112,0.8604635082890192,0.13724614463613483,0.09554655870445346,,0.2453599287893145,0.02472815512247098,0.11808750258905713,0.5272318134759788
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_egemaps_audio,val,27,1.1154562316189087,0.9237066953653047,-0.27460642529566726,-0.48692307692307685,,0.21459099306647159,0.008011105233405544,0.009888955069042225,0.4183990423672835
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_egemaps_audio_pastvol,test,39,1.2400119364033595,0.8495082236528879,0.15611339322517415,0.18603238866396762,,0.18163895966352014,0.02761081228344193,0.13411197008751524,0.4147118096349128
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_egemaps_audio_pastvol,val,27,1.1039812891652028,0.917732706695878,-0.2614942699579679,-0.46423076923076917,,0.23160785078942603,0.00793893868380878,0.009904041607906363,0.44445411307698524
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_text_audio_pastvol,test,39,1.304415718748889,0.8563209706193016,0.11228358179233155,0.08299595141700405,,0.43527612450545083,0.02189412728978644,0.10631627577851589,0.6576685072625423
earnings25,64k,ticker_disjoint,dv,3,ridge_wavlm_text_audio_pastvol,val,27,1.0873710614812606,0.9034167000451958,-0.242514141171696,-0.3815384615384615,,0.349545378525688,0.00660947584193639,0.01552671037516082,0.11896670454780361
earnings25,64k,ticker_disjoint,dv,7,mlp_egemaps_audio,test,39,0.5599096336031107,0.6085250417498079,-0.011146713811948983,-0.04979757085020243,0.09934216340207927,0.9310379131262801,0.006573467982397748,0.019529321883617723,0.855463624636899
earnings25,64k,ticker_disjoint,dv,7,mlp_egemaps_audio,val,27,0.4903820092832869,0.5981200987843188,-0.237809025694262,-0.615,0.09934216340207927,0.1774305985736973,0.0009566729698747179,0.010363554995496753,0.009850632173179314
earnings25,64k,ticker_disjoint,dv,7,mlp_egemaps_audio_pastvol,test,39,0.40112528605200876,0.504285819458676,0.27560361444705583,0.5006072874493928,0.018454185207924117,0.037403313392314445,0.052995094551275414,0.11764425051936642,0.15799060074098428
earnings25,64k,ticker_disjoint,dv,7,mlp_egemaps_audio_pastvol,val,27,0.4429229376141556,0.5506242536414302,-0.11801411855853705,-0.41846153846153844,0.018454185207924117,0.5843878587825504,0.0015193961556074394,0.02753358397005922,0.05100626781511003
earnings25,64k,ticker_disjoint,dv,7,mlp_emotion2vec_audio,test,39,2.7399622466368025e+20,8650468385.119354,-4.948126725069828e+20,-0.19433198380566802,3.9247091133403005e+20,0.1552961545606718,0.1552961545606718,0.1552961545606718,0.1552961545606718
earnings25,64k,ticker_disjoint,dv,7,mlp_emotion2vec_audio,val,27,1.453615814871971e+20,7264952729.396032,-3.669177786864965e+20,-0.7853846153846153,3.9247091133403005e+20,0.050524453719768984,0.050524453719768984,0.050524453719768984,0.050524453719768984
earnings25,64k,ticker_disjoint,dv,7,mlp_emotion2vec_audio_pastvol,test,39,2.8382051248430734e+20,8865670796.780968,-5.125544575186894e+20,-0.1653846153846154,3.678896984498754e+20,0.15412849661649883,0.15412849661649883,0.15412849661649883,0.15412849661649883
earnings25,64k,ticker_disjoint,dv,7,mlp_emotion2vec_audio_pastvol,val,27,1.5043267237486563e+20,7421854981.282289,-3.7971808936682947e+20,-0.7284615384615384,3.678896984498754e+20,0.050077424048156904,0.050077424048156904,0.050077424048156904,0.050077424048156904
earnings25,64k,ticker_disjoint,dv,7,mlp_wavlm_audio,test,39,2.1854488305556123e+24,1115061740708.2913,-3.9467250974054275e+24,-0.10080971659919029,7.498602771479349e+24,0.00012134703187669249,0.00012134703187669249,0.00012134703187669249,0.00012134703187669249
earnings25,64k,ticker_disjoint,dv,7,mlp_wavlm_audio,val,27,1.8432645953359187e+24,1113304420020.4548,-4.652718716545385e+24,-0.4684615384615384,7.498602771479349e+24,0.0008531606351171559,0.0008531606351171559,0.0008531606351171559,0.0008531606351171559
earnings25,64k,ticker_disjoint,dv,7,mlp_wavlm_audio_pastvol,test,39,6.448986826497266e+24,1568056055008.4148,-1.1646293340349185e+25,-0.1625506072874494,3.9756796984395887e+24,0.00427648773435686,0.00427648773435686,0.00427648773435686,0.00427648773435686
earnings25,64k,ticker_disjoint,dv,7,mlp_wavlm_audio_pastvol,val,27,7.992863417239189e+24,1845697882750.4277,-2.0175370000747175e+25,0.6065384615384615,3.9756796984395887e+24,0.007168836842364029,0.007168836842364029,0.007168836842364029,0.007168836842364029
