stage,dataset,split,target,horizon,segment,n,r2_oos,mse,dm_p_vs_stage1,holm_p_vs_stage1
S0_HAR,fincall,combined,dv,3,test,92,0.3525489972971954,0.6933921773559792,,
S0_HAR,fincall,combined,dv,3,val,21,0.6364091235524978,0.3877132666709202,,
S0_persistence,fincall,combined,dv,3,test,92,0.0,1.0709569905079948,,
S0_persistence,fincall,combined,dv,3,val,21,0.0,1.0663448721791593,,
S1_GBDT,fincall,combined,dv,3,test,92,0.1897765903433804,0.8677144244449796,,
S1_GBDT,fincall,combined,dv,3,val,21,0.5305029768608357,0.500645743127828,,
S2_text,fincall,combined,dv,3,test,92,0.0431689445903354,1.0247249075261229,0.2280943650781404,0.523954542117
S2_text,fincall,combined,dv,3,val,21,0.2996192640916272,0.7468474063089593,0.2942227592068367,
S3_audio,fincall,combined,dv,3,test,92,0.1595774685008907,0.9000563850893966,0.7387908473445197,1.0
S3_audio,fincall,combined,dv,3,val,21,0.2082868162154832,0.8442392937652556,0.2144980075518178,
S4_fusion,fincall,combined,dv,3,test,92,0.0023933539979592,1.0683938113131202,0.0210700623110953,0.0421401246221906
S4_fusion,fincall,combined,dv,3,val,21,0.7400552574550634,0.2771907432627248,0.0712557830120046,
S0_HAR,fincall,combined,dv,7,test,92,0.2319089398521152,0.2547746298434913,,
S0_HAR,fincall,combined,dv,7,val,21,0.4769740923381402,0.2645923652310717,,
S0_persistence,fincall,combined,dv,7,test,92,0.0,0.3316984704840051,,
S0_persistence,fincall,combined,dv,7,val,21,0.0,0.5058876842524075,,
S1_GBDT,fincall,combined,dv,7,test,92,-0.0248558479791398,0.3399431172412688,,
S1_GBDT,fincall,combined,dv,7,val,21,0.3330273736868681,0.3374132373852966,,
S2_text,fincall,combined,dv,7,test,92,0.0322845019559715,0.3209897505648715,0.7048022482189137,0.7048022482189137
S2_text,fincall,combined,dv,7,val,21,0.1031524713930154,0.4537041193744822,0.3647136485004786,
S3_audio,fincall,combined,dv,7,test,92,-0.0152109636954202,0.3367439238763637,0.9922095339654476,1.0
S3_audio,fincall,combined,dv,7,val,21,-0.1148459295255872,0.5639868255859221,0.1160684211027343,
S4_fusion,fincall,combined,dv,7,test,92,-0.4153817073609036,0.4694799474826515,0.0015307275407403,0.0058700563591532
S4_fusion,fincall,combined,dv,7,val,21,0.6028215080444455,0.2009277075302589,0.1023398559562915,
S0_HAR,fincall,combined,dv,15,test,92,0.128078957623574,0.1586609176709301,,
S0_HAR,fincall,combined,dv,15,val,21,0.4708785198255935,0.1398721458860581,,
S0_persistence,fincall,combined,dv,15,test,92,0.0,0.1819670703651088,,
S0_persistence,fincall,combined,dv,15,val,21,0.0,0.2643478882013146,,
S1_GBDT,fincall,combined,dv,15,test,92,-0.4007681997361357,0.2548936855665922,,
S1_GBDT,fincall,combined,dv,15,val,21,0.2283997151267876,0.2039709058417665,,
S2_text,fincall,combined,dv,15,test,92,-0.7012606886118455,0.3095734234340251,0.174651514039,0.523954542117
S2_text,fincall,combined,dv,15,val,21,0.1964672500682462,0.2124121855450541,0.8285775588290033,
S3_audio,fincall,combined,dv,15,test,92,-0.0379323302116245,0.18886950536584,0.0381284756002301,0.11438542680069029
S3_audio,fincall,combined,dv,15,val,21,-0.0497812899467211,0.2775074670706677,0.1962018485664537,
S4_fusion,fincall,combined,dv,15,test,92,-0.7714212243598244,0.3223403305793313,0.0411952111159631,0.0421401246221906
S4_fusion,fincall,combined,dv,15,val,21,0.5816207681768311,0.1105976663997429,0.0886433240902415,
S0_HAR,fincall,combined,dv,30,test,92,-0.1906390424486836,0.1274874779883357,,
S0_HAR,fincall,combined,dv,30,val,21,-0.3596271616897539,0.0921864959875334,,
S0_persistence,fincall,combined,dv,30,test,92,0.0,0.1070748341379292,,
S0_persistence,fincall,combined,dv,30,val,21,0.0,0.0678027760735254,,
S1_GBDT,fincall,combined,dv,30,test,92,-0.875418663660656,0.2008101423506416,,
S1_GBDT,fincall,combined,dv,30,val,21,-1.322982840847675,0.1575046853806369,,
S2_text,fincall,combined,dv,30,test,92,-0.1951199557415206,0.1279672710359526,0.0118595622051227,0.0474382488204908
S2_text,fincall,combined,dv,30,val,21,-0.1825048665390718,0.0801771126718028,0.1862636879322484,
S3_audio,fincall,combined,dv,30,test,92,-0.0780645876616408,0.1154335869138452,0.002840967623947,0.011363870495788
S3_audio,fincall,combined,dv,30,val,21,-0.344546583282578,0.0911639909067324,0.2302929083716322,
S4_fusion,fincall,combined,dv,30,test,92,-0.0302392603721217,0.1103126979267278,0.0014675140897883,0.0058700563591532
S4_fusion,fincall,combined,dv,30,val,21,0.1238803642245863,0.059403343478099,0.0852568390337104,
S0_HAR,fincall,combined,har_resid,3,test,92,0.0,0.6933921773559792,,
S0_HAR,fincall,combined,har_resid,3,val,21,0.0,0.3877132666709202,,
S0_persistence,fincall,combined,har_resid,3,test,92,0.0,0.6933921773559792,,
S0_persistence,fincall,combined,har_resid,3,val,21,0.0,0.3877132666709202,,
S1_GBDT,fincall,combined,har_resid,3,test,92,-0.2331650052824873,0.8550669680520215,,
S1_GBDT,fincall,combined,har_resid,3,val,21,-0.488859113087321,0.5772504303478543,,
S2_text,fincall,combined,har_resid,3,test,92,-0.0230119535549817,0.7093484859366828,0.0673219267275309,
S2_text,fincall,combined,har_resid,3,val,21,-0.203479555418514,0.4666049898029787,0.2031270986547954,
S3_audio,fincall,combined,har_resid,3,test,92,0.0162723025818095,0.682109090038183,0.0171481543327121,
S3_audio,fincall,combined,har_resid,3,val,21,-0.253715451851509,0.4860821133131573,0.3375151312727,
S4_fusion,fincall,combined,har_resid,3,test,92,-0.4791705133483579,1.0256452629313793,0.2420587674907419,
S4_fusion,fincall,combined,har_resid,3,val,21,0.4886997874781338,0.1982378756463884,0.0168093495551433,
S0_HAR,fincall,combined,har_resid,7,test,92,0.0,0.2547746298434913,,
S0_HAR,fincall,combined,har_resid,7,val,21,0.0,0.2645923652310717,,
S0_persistence,fincall,combined,har_resid,7,test,92,0.0,0.2547746298434913,,
S0_persistence,fincall,combined,har_resid,7,val,21,0.0,0.2645923652310717,,
S1_GBDT,fincall,combined,har_resid,7,test,92,-0.3038923538739932,0.3321986918140053,,
S1_GBDT,fincall,combined,har_resid,7,val,21,-0.2638108876913625,0.334394711979038,,
S2_text,fincall,combined,har_resid,7,test,92,-0.0266272437141641,0.26155857600452,0.0123669813724592,
S2_text,fincall,combined,har_resid,7,val,21,-0.0102590706292546,0.2673068369939388,0.3466303311565996,
S3_audio,fincall,combined,har_resid,7,test,92,0.0233632319340828,0.2488222710755377,0.0025859779365724,
S3_audio,fincall,combined,har_resid,7,val,21,-0.2466332725219073,0.3298496461523227,0.9809774704750612,
S4_fusion,fincall,combined,har_resid,7,test,92,-0.4369449586453238,0.3660971199443334,0.3399773523865858,
S4_fusion,fincall,combined,har_resid,7,val,21,0.3362312640302722,0.175628139816669,0.1002849234476003,
S0_HAR,fincall,combined,har_resid,15,test,92,0.0,0.1586609176709301,,
S0_HAR,fincall,combined,har_resid,15,val,21,0.0,0.1398721458860581,,
S0_persistence,fincall,combined,har_resid,15,test,92,0.0,0.1586609176709301,,
S0_persistence,fincall,combined,har_resid,15,val,21,0.0,0.1398721458860581,,
S1_GBDT,fincall,combined,har_resid,15,test,92,-0.5856534975636718,0.2515812390315721,,
S1_GBDT,fincall,combined,har_resid,15,val,21,-0.5265793773391394,0.2135259333738279,,
S2_text,fincall,combined,har_resid,15,test,92,-0.0308830587464583,0.1635608521121284,0.0010603209439963,
S2_text,fincall,combined,har_resid,15,val,21,-0.013848737848358,0.1418091985667214,0.1042841567759722,
S3_audio,fincall,combined,har_resid,15,test,92,0.0385686696812357,0.1525415771459582,0.0001808119204097,
S3_audio,fincall,combined,har_resid,15,val,21,-0.2121249703451784,0.1695425206842547,0.2917531294128291,
S4_fusion,fincall,combined,har_resid,15,test,92,-0.4932685647420727,0.23692336081113,0.6787802718631718,
S4_fusion,fincall,combined,har_resid,15,val,21,0.4051345296345752,0.0832051098535313,0.0535005237945458,
S0_HAR,fincall,combined,har_resid,30,test,92,0.0,0.1274874779883357,,
S0_HAR,fincall,combined,har_resid,30,val,21,0.0,0.0921864959875334,,
S0_persistence,fincall,combined,har_resid,30,test,92,0.0,0.1274874779883357,,
S0_persistence,fincall,combined,har_resid,30,val,21,0.0,0.0921864959875334,,
S1_GBDT,fincall,combined,har_resid,30,test,92,-0.5949234172871408,0.2033327640544754,,
S1_GBDT,fincall,combined,har_resid,30,val,21,-0.5584134941823207,0.1436646793283564,,
S2_text,fincall,combined,har_resid,30,test,92,-0.0218363755552097,0.1302713424362755,0.0037017133447859,
S2_text,fincall,combined,har_resid,30,val,21,0.0426023649957527,0.088259133237793,0.1283682037483403,
S3_audio,fincall,combined,har_resid,30,test,92,-0.0036420538813284,0.1279517942523639,0.0007359382994915,
S3_audio,fincall,combined,har_resid,30,val,21,-0.1766056107316005,0.108467148412618,0.3225357514225613,
S4_fusion,fincall,combined,har_resid,30,test,92,-0.0087222216009772,0.1285994520226996,0.0028857436246145,
S4_fusion,fincall,combined,har_resid,30,val,21,0.1278750006412952,0.0803981477540088,0.0615972179392897,
S0_HAR,fincall,combined,v,3,test,92,0.3525489972971954,0.6933921773559792,,
S0_HAR,fincall,combined,v,3,val,21,0.6364091235524978,0.3877132666709202,,
S0_persistence,fincall,combined,v,3,test,92,0.0,1.0709569905079948,,
S0_persistence,fincall,combined,v,3,val,21,0.0,1.0663448721791593,,
S1_GBDT,fincall,combined,v,3,test,92,0.1884159861391891,0.8691715730287728,,
S1_GBDT,fincall,combined,v,3,val,21,0.4526251528995401,0.5836903613654268,,
S2_text,fincall,combined,v,3,test,92,0.2237033601363001,0.8313803131698967,0.7463482508127769,
S2_text,fincall,combined,v,3,val,21,0.708259760101547,0.311095708824033,0.0121243483515431,
S3_audio,fincall,combined,v,3,test,92,0.2464588965217901,0.8070101124050971,0.5453090031105235,
S3_audio,fincall,combined,v,3,val,21,0.6446034331944963,0.3789753066031268,0.0918635769093453,
S4_fusion,fincall,combined,v,3,test,92,-0.0785299269016652,1.155059164687415,0.0916742473679729,
S4_fusion,fincall,combined,v,3,val,21,0.8421054566838546,0.1683700366102417,0.0124523313156998,
S0_HAR,fincall,combined,v,7,test,92,0.2319089398521152,0.2547746298434913,,
S0_HAR,fincall,combined,v,7,val,21,0.4769740923381402,0.2645923652310717,,
S0_persistence,fincall,combined,v,7,test,92,0.0,0.3316984704840051,,
S0_persistence,fincall,combined,v,7,val,21,0.0,0.5058876842524075,,
S1_GBDT,fincall,combined,v,7,test,92,-0.0290510579977763,0.3413346619878097,,
S1_GBDT,fincall,combined,v,7,val,21,0.3364790499147886,0.3356670768915649,,
S2_text,fincall,combined,v,7,test,92,-0.0441904856587,0.3463563869869413,0.8503073959322173,
S2_text,fincall,combined,v,7,val,21,0.5387167244841544,0.2333575280350763,0.2128800458225398,
S3_audio,fincall,combined,v,7,test,92,-0.0012871316112386,0.3321254100707646,0.8665132140119607,
S3_audio,fincall,combined,v,7,val,21,0.3862211921756681,0.3105031397334546,0.8008502140675894,
S4_fusion,fincall,combined,v,7,test,92,-0.3456366382475873,0.4463456147339632,0.0249647495512504,
S4_fusion,fincall,combined,v,7,val,21,0.6312325587556654,0.1865549068787821,0.0853268740241319,
S0_HAR,fincall,combined,v,15,test,92,0.128078957623574,0.1586609176709301,,
S0_HAR,fincall,combined,v,15,val,21,0.4708785198255935,0.1398721458860581,,
S0_persistence,fincall,combined,v,15,test,92,0.0,0.1819670703651088,,
S0_persistence,fincall,combined,v,15,val,21,0.0,0.2643478882013146,,
S1_GBDT,fincall,combined,v,15,test,92,-0.3678498807110988,0.2489036354922622,,
S1_GBDT,fincall,combined,v,15,val,21,0.1844285527564615,0.2155945897561192,,
S2_text,fincall,combined,v,15,test,92,-0.2874551345930436,0.234274439068413,0.7170717061844735,
S2_text,fincall,combined,v,15,val,21,0.5928291050921763,0.1076347662059226,0.0109055412305057,
S3_audio,fincall,combined,v,15,test,92,-0.267962490145478,0.2307274196646208,0.5967764956817214,
S3_audio,fincall,combined,v,15,val,21,0.4210289674095399,0.1530497697950226,0.1568376275240059,
S4_fusion,fincall,combined,v,15,test,92,-0.5949757281997397,0.2902330605639627,0.2104270733645233,
S4_fusion,fincall,combined,v,15,val,21,0.6923158919540638,0.0813356441950483,0.014414522537143,
S0_HAR,fincall,combined,v,30,test,92,-0.1906390424486836,0.1274874779883357,,
S0_HAR,fincall,combined,v,30,val,21,-0.3596271616897539,0.0921864959875334,,
S0_persistence,fincall,combined,v,30,test,92,0.0,0.1070748341379292,,
S0_persistence,fincall,combined,v,30,val,21,0.0,0.0678027760735254,,
S1_GBDT,fincall,combined,v,30,test,92,-0.8936030968643471,0.2027572375198191,,
S1_GBDT,fincall,combined,v,30,val,21,-1.1296941313023532,0.1443991742897948,,
S2_text,fincall,combined,v,30,test,92,-0.9232545745822156,0.2059321645784044,0.8708208342110728,
S2_text,fincall,combined,v,30,val,21,-0.6504789075841746,0.1119070517850067,0.2581525574767064,
S3_audio,fincall,combined,v,30,test,92,-0.8210782733354753,0.1949916540695826,0.8501393592454695,
S3_audio,fincall,combined,v,30,val,21,-1.304215002018169,0.156232173807096,0.7279117370060253,
S4_fusion,fincall,combined,v,30,test,92,-0.5835045582016822,0.1695534879261,0.200123089212372,
S4_fusion,fincall,combined,v,30,val,21,-0.3990715208150976,0.0948609330366728,0.043789294573486,
S0_HAR,fincall,temporal,dv,3,test,481,0.4639092629014275,0.6295258267009284,,
S0_HAR,fincall,temporal,dv,3,val,228,0.632890584042574,0.4682819026174736,,
S0_persistence,fincall,temporal,dv,3,test,481,0.0,1.1742896922786703,,
S0_persistence,fincall,temporal,dv,3,val,228,0.0,1.2755921865860853,,
S1_GBDT,fincall,temporal,dv,3,test,481,0.3436134772523607,0.7707879278131918,,
S1_GBDT,fincall,temporal,dv,3,val,228,0.5188743809281442,0.6137200804544525,,
S2_text,fincall,temporal,dv,3,test,481,-1.6784776353837887,3.1453086782301303,0.2957362871995242,1.0
