dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,combined,dv,3,gated_fusion,test,92,1.2274698365458971,0.8716340652831092,-0.14614297999368064,0.14680540092625075,0.05557953062463926,0.23492560009419172,0.04509201019343953,0.18604488216027906,0.016847401836052225
fincall,combined,dv,3,gated_fusion,val,21,1.2150300702882557,0.8543198590696565,-0.13943443813374046,0.06917293233082707,0.05557953062463926,0.5088804296371453,0.03469305043432048,0.11387480380056952,0.15205520002484404
fincall,combined,dv,3,gated_fusion_pastvol,test,92,0.9723930652112335,0.7320437249510279,0.09203350477222139,0.38273358345152947,0.034410589571729155,0.42745652440840165,0.44158987380007675,0.6745045031571318,0.46370638011556237
fincall,combined,dv,3,gated_fusion_pastvol,val,21,0.7055625749711082,0.6624178284928515,0.3383354734671946,0.3969924812030075,0.034410589571729155,0.19733693349565792,0.1727914242312549,0.8445506648757852,0.4114888619768302
fincall,combined,dv,3,stack_fusion,test,92,1.0683938113131202,0.790274776472764,0.0023933539979592577,0.4096007005342972,,0.9846723853079364,0.021070062311095338,0.7155647258327795,0.1411102403987244
fincall,combined,dv,3,stack_fusion,val,21,0.27719074326272486,0.4250084841417094,0.7400552574550634,0.7894736842105263,,0.01603405646968998,0.07125578301200464,0.09000853605494963,0.07907558022727934
fincall,combined,dv,3,stack_fusion_pastvol,test,92,1.0683938113131202,0.790274776472764,0.0023933539979592577,0.4096007005342972,,0.9846723853079364,0.021070062311095338,0.7155647258327795,0.1411102403987244
fincall,combined,dv,3,stack_fusion_pastvol,val,21,0.27719074326272486,0.4250084841417094,0.7400552574550634,0.7894736842105263,,0.01603405646968998,0.07125578301200464,0.09000853605494963,0.07907558022727934
fincall,combined,dv,7,gated_fusion,test,92,0.4851912996516269,0.549632766033948,-0.4627480764190719,0.100598987326328,0.12598772121843865,0.031195078296375824,0.06417162559027739,0.020160141582429583,0.019840211148963283
fincall,combined,dv,7,gated_fusion,val,21,0.6968964468841774,0.5823488375909547,-0.3775714819269411,-0.010526315789473682,0.12598772121843865,0.13625600875845265,0.07930455749887357,0.1457474624035691,0.309207946294207
fincall,combined,dv,7,gated_fusion_pastvol,test,92,0.43708913316295,0.502327564244115,-0.3177303245479599,0.1663317777201625,0.05234227928267879,0.09899510196204553,0.13837852661545066,0.043962685676174826,0.0733410753404856
fincall,combined,dv,7,gated_fusion_pastvol,val,21,0.4411627589482959,0.4649174295446054,0.12794327143931372,0.13233082706766916,0.05234227928267879,0.2158778679362275,0.4276088527007077,0.874644484578593,0.11866428672919926
fincall,combined,dv,7,stack_fusion,test,92,0.4694799474826515,0.569159563477163,-0.41538170736090363,0.2838868215162653,,0.019000491377176666,0.0015307275407403908,0.0118997078313871,0.02540517667157797
fincall,combined,dv,7,stack_fusion,val,21,0.20092770753025896,0.3458129903905211,0.6028215080444455,0.5894736842105263,,0.05790595612153622,0.10233985595629155,0.1350029798076692,0.04313011491204536
