dataset,split,labels,horizon,n_train,n_test,model,alpha,mse,mse_seed_std,r2_oos_vs_persistence,published_mse
ec,published,published,3,448,111,html_text,0.1,0.7693598419771005,0.02973429741199933,0.4858192743220777,1.175
ec,published,published,3,448,111,persistence,,1.4850601519022624,0.0,0.0,
ec,published,published,7,448,111,html_text,0.1,0.43642589524046455,0.029669690271009398,0.2385771058441658,0.372
ec,published,published,7,448,111,persistence,,0.5695245548011691,0.0,0.0,
ec,published,published,15,448,111,html_text,0.1,0.28457456435993284,0.02098311535300583,0.17349664751320004,0.153
ec,published,published,15,448,111,persistence,,0.3404189642656911,0.0,0.0,
ec,published,published,30,448,111,html_text,0.1,0.22294371171285254,0.026982945725716197,-0.07585246770598775,0.133
ec,published,published,30,448,111,persistence,,0.2019823572037715,0.0,0.0,
ec,published,ours,3,441,108,html_text,0.1,0.7385107816895373,0.03891035894942851,0.607077381202914,
ec,published,ours,3,441,108,persistence,,1.8247523902570175,0.0,0.0,
ec,published,ours,7,441,108,html_text,0.1,0.3949390852004784,0.026753329415056808,0.35696616482038446,
ec,published,ours,7,441,108,persistence,,0.5850946620721612,0.0,0.0,
ec,published,ours,15,441,108,html_text,0.9,0.27722114599918407,0.028270605064727852,0.2099537070902815,
ec,published,ours,15,441,108,persistence,,0.33289448342556766,0.0,0.0,
ec,published,ours,30,441,108,html_text,0.1,0.21783677690614078,0.028634224511594076,-0.15285058699764997,
ec,published,ours,30,441,108,persistence,,0.18275238666434784,0.0,0.0,
ec,temporal,ours,3,299,100,html_text,0.3,0.7446173041869121,0.005420531951077937,0.6201902087001181,
ec,temporal,ours,3,299,100,persistence,,1.9455000913849185,0.0,0.0,
ec,temporal,ours,7,299,100,html_text,0.9,0.41814583233077984,0.04141462401089688,0.3567597798805049,
ec,temporal,ours,7,299,100,persistence,,0.6225232834374288,0.0,0.0,
ec,temporal,ours,15,299,100,html_text,0.9,0.27323346007727917,0.013697228024783074,0.24848738230679257,
ec,temporal,ours,15,299,100,persistence,,0.3525077067792962,0.0,0.0,
ec,temporal,ours,30,299,100,html_text,0.9,0.23139629847265256,0.029540967390567538,-0.17441541238319558,
ec,temporal,ours,30,299,100,persistence,,0.19160053919289136,0.0,0.0,
ec,ticker_disjoint,ours,3,439,109,html_text,0.9,0.80845732979952,0.02628716837593476,0.5312990656912795,
ec,ticker_disjoint,ours,3,439,109,persistence,,1.669773686463702,0.0,0.0,
ec,ticker_disjoint,ours,7,439,109,html_text,0.1,0.48613589620306596,0.009149899831319733,0.34526968121405055,
ec,ticker_disjoint,ours,7,439,109,persistence,,0.7306203023611465,0.0,0.0,
ec,ticker_disjoint,ours,15,439,109,html_text,0.1,0.40437397632902017,0.010177667720519685,0.038702195174607934,
ec,ticker_disjoint,ours,15,439,109,persistence,,0.41822991356835687,0.0,0.0,
ec,ticker_disjoint,ours,30,439,109,html_text,0.1,0.295773678449583,0.006923084379483048,-0.38392261934749383,
ec,ticker_disjoint,ours,30,439,109,persistence,,0.21292816707937415,0.0,0.0,
