dataset,year,condition,horizon,n_train,n_val,n_test,mse,val_mse,best_epoch,persistence_mse,speaker_nodes,text_encoder,published_reference
fincall,2019,their,3,564,81,162,0.6923164183100483,0.76495489512681,36,1.4288910563572135,role_typed_global,textcnn_glove6b,0.453
fincall,2019,their,7,564,81,162,0.31981121161832776,0.2794947589808073,53,0.566138212284168,role_typed_global,textcnn_glove6b,0.3236
fincall,2019,their,15,564,81,162,0.20613533244795537,0.20705021759868777,44,0.2891246799230723,role_typed_global,textcnn_glove6b,0.1898
fincall,2019,their,30,564,81,162,0.13374456964370643,0.19505033491425935,28,0.13930303150793666,role_typed_global,textcnn_glove6b,
fincall,2019,anchor_heldout,3,564,81,59,0.7033804196358148,0.7540646295024908,36,1.489054190593099,role_typed_global,textcnn_glove6b,0.453
fincall,2019,anchor_heldout,7,564,81,59,0.3083344601424264,0.2797004912490151,53,0.5567556829942131,role_typed_global,textcnn_glove6b,0.3236
fincall,2019,anchor_heldout,15,564,81,59,0.19065585390318723,0.2070059598362638,44,0.30371119247103373,role_typed_global,textcnn_glove6b,0.1898
fincall,2019,anchor_heldout,30,564,81,59,0.13599895175350996,0.19504871731435255,28,0.1436160257961672,role_typed_global,textcnn_glove6b,
fincall,2019,ticker_disjoint,3,379,61,59,0.8102907728830612,0.6119483984381697,0,1.489054190593099,role_typed_global,textcnn_glove6b,0.453
fincall,2019,ticker_disjoint,7,379,61,59,0.3310634402133261,0.2572206959820146,30,0.5567556829942131,role_typed_global,textcnn_glove6b,0.3236
fincall,2019,ticker_disjoint,15,379,61,59,0.22532404784299023,0.17067185540943478,25,0.30371119247103373,role_typed_global,textcnn_glove6b,0.1898
fincall,2019,ticker_disjoint,30,379,61,59,0.14747544295068934,0.16249819046381814,27,0.1436160257961672,role_typed_global,textcnn_glove6b,
fincall,2019,embargoed,3,390,76,162,0.7664915847226245,0.6742446616494883,20,1.4288910563572135,role_typed_global,textcnn_glove6b,0.453
fincall,2019,embargoed,7,390,76,162,0.3651934467386713,0.3055653394918451,18,0.566138212284168,role_typed_global,textcnn_glove6b,0.3236
