model,condition,dropout,horizon,alpha,n_calls,n_test,val_mse_min,mse,mse_seed_std,best_epoch_mean,persistence_mse,published_mse,n_seeds,n_shufflable,frac_partner_in_train,mse_real_shufflable,mse_within_shufflable,mse_global_shufflable
html_text_faithful,paper,0.5,3,0.6,558,113,0.7514121401213026,0.9717078554305756,0.0858262497862441,6.333333333333333,1.4959464259897544,1.175,3,,,,,
html_text_faithful,paper,0.5,7,1.0,558,113,0.3670488682694618,0.43872968670142,0.041824001656482,6.0,0.563490516318634,0.372,3,,,,,
html_text_faithful,paper,0.5,15,0.8,558,113,0.2835247804297302,0.4055227668550996,0.0595071317546166,8.333333333333334,0.3350213564296165,0.153,3,,,,,
html_text_faithful,paper,0.5,30,0.8,558,113,0.1857145341902364,0.2478800041897341,0.0442723420295493,6.666666666666667,0.1989806635183865,0.133,3,,,,,
html_text_faithful,published_split,0.5,3,1.0,558,111,0.9027431597961768,1.2314982034687147,0.0959482229823661,9.0,1.4850601519022624,1.175,3,,,,,
html_text_faithful,published_split,0.5,7,0.6,558,111,0.7810315816393553,1.1218270575729503,0.281867067817048,8.333333333333334,0.5695245548011691,0.372,3,,,,,
html_text_faithful,published_split,0.5,15,1.0,558,111,0.7806152539913255,1.062913276774392,0.2975353935287417,7.666666666666667,0.3404189642656911,0.153,3,,,,,
html_text_faithful,published_split,0.5,30,1.0,558,111,1.1877413397942365,1.4785137739864869,0.305420434180179,6.666666666666667,0.2019823572037714,0.133,3,,,,,
html_text_audio_faithful,paper,0.5,3,0.9,558,113,0.7708939861603392,0.875996914823561,0.0724066972519237,7.0,1.4959464259897544,0.845,3,,,,,
html_text_audio_faithful,paper,0.5,7,1.0,558,113,0.4020622097817039,0.5202214545958972,0.0692350498840575,4.0,0.563490516318634,0.349,3,,,,,
html_text_audio_faithful,paper,0.5,15,1.0,558,113,0.251824417042969,0.2912585015191231,0.0231896232562091,6.0,0.3350213564296165,0.251,3,,,,,
html_text_audio_faithful,paper,0.5,30,1.0,558,113,0.1998891237835021,0.2393737274648199,0.0139635680489492,8.0,0.1989806635183865,0.158,3,,,,,
html_text_audio_faithful,published_split,0.5,3,1.0,558,111,2.0427806309932053,2.700769259680875,0.6137090780976054,9.0,1.4850601519022624,0.845,3,,,,,
html_text_audio_faithful,published_split,0.5,7,1.0,558,111,0.8705634292761685,1.194595041700817,0.0751425239268831,5.333333333333333,0.5695245548011691,0.349,3,,,,,
html_text_audio_faithful,published_split,0.5,15,1.0,558,111,1.1434058959949256,1.4355917472818611,0.2139852135230245,7.666666666666667,0.3404189642656911,0.251,3,,,,,
html_text_audio_faithful,published_split,0.5,30,1.0,558,111,1.2090543289801634,1.4105085725738462,0.0884597578878031,5.333333333333333,0.2019823572037714,0.158,3,,,,,
html_text_faithful,code,0.0,3,1.0,558,112,0.7350861341144656,0.6601079203180061,0.0215506353342896,6.0,1.3283813795259072,1.175,3,97.0,0.6780186349027723,0.6834091385712582,0.6930051488813763,0.7450392171488639
html_text_faithful,code,0.0,7,1.0,558,112,0.3944860860713783,0.3359030150205442,0.0038276782609165,3.333333333333333,0.4479312009556487,0.372,3,97.0,0.6780186349027723,0.3476675856815541,0.3607997961512157,0.3860805348819916
html_text_faithful,code,0.0,15,0.7,558,112,0.2341315696082435,0.2530088855138375,0.0375473734736762,5.333333333333333,0.2601671673586519,0.153,3,97.0,0.6780186349027723,0.2624744409720916,0.2689077712143057,0.3175513056172289
html_text_faithful,code,0.0,30,1.0,558,112,0.1696127995052129,0.1603785019788803,0.0120848820104649,4.666666666666667,0.1373199188485675,0.133,3,97.0,0.6780186349027723,0.1651140289082092,0.1687761845687765,0.2032654080231998
html_text_faithful,embargoed,0.0,3,0.2,558,101,0.6279932731345755,0.7264073294798701,0.0085848279266985,0.0,1.6045440520172922,1.175,3,86.0,0.6434108527131783,0.7806439206649181,0.7618206973019642,0.7820369004662185
html_text_faithful,embargoed,0.0,7,0.2,558,101,0.2992574312667172,0.3471523756735462,0.0014589112679192,3.333333333333333,0.5935144086536223,0.372,3,86.0,0.6434108527131783,0.3570443998113,0.3567524288797291,0.3588982182535472
html_text_faithful,embargoed,0.0,15,0.8,558,101,0.1886121991367384,0.2460320400806942,0.0098415745683223,0.6666666666666666,0.353544174714312,0.153,3,86.0,0.6434108527131783,0.251708377684853,0.2520059239304958,0.2676627872214083
html_text_faithful,embargoed,0.0,30,0.9,558,101,0.1072228651473826,0.1777970911386421,0.0032534794422075,3.6666666666666665,0.2062938180214963,0.133,3,86.0,0.6434108527131783,0.1808556710851305,0.1809488640940211,0.1960123138677709
html_text_faithful,ticker_disjoint,0.0,3,0.1,558,109,0.780177163732472,0.777273734188138,0.0159543631526075,7.0,1.451529104281956,1.175,3,92.0,0.0,0.8352743120353922,0.8335184192859576,0.8673240523334996
html_text_faithful,ticker_disjoint,0.0,7,0.9,558,109,0.4743498273745274,0.5220122369394433,0.0069614373602927,4.333333333333333,0.5498524047951914,0.372,3,92.0,0.0,0.5411491448542488,0.5395661395209737,0.5672627963044553
html_text_faithful,ticker_disjoint,0.0,15,0.7,558,109,0.3406987668233741,0.3929952200448574,0.0115849245345849,1.3333333333333333,0.3266979142812237,0.153,3,92.0,0.0,0.421233185747053,0.4236964149198479,0.4310707500744877
html_text_faithful,ticker_disjoint,0.0,30,0.8,558,109,0.2148357479130545,0.2906558567375686,0.0080475567154669,2.0,0.187512064447569,0.133,3,92.0,0.0,0.3050312332874943,0.3064985529885562,0.3078301712605265
html_text_audio_faithful,code,0.0,3,1.0,558,112,0.7395279111304079,0.6577645552161032,0.030708622024516984,5.0,1.3283813795259072,0.845,3,97.0,0.6780186349027723,0.6748253488049603,0.6921838048534018,0.7840958775829813
html_text_audio_faithful,code,0.0,7,0.8,558,112,0.3999720219552734,0.34745268684351927,0.03843490544253593,7.333333333333333,0.4479312009556487,0.349,3,97.0,0.6780186349027723,0.352796751499183,0.35260025217332047,0.44456684064308466
html_text_audio_faithful,code,0.0,15,1.0,558,112,0.23301014258163677,0.24406943471792686,0.030144433303877092,5.333333333333333,0.2601671673586519,0.251,3,97.0,0.6780186349027723,0.24854946234138606,0.24858281898745657,0.30737026022947594
html_text_audio_faithful,code,0.0,30,0.9,558,112,0.16635363297715358,0.16506112834686024,0.016689067647577546,5.666666666666667,0.13731991884856756,0.158,3,97.0,0.6780186349027723,0.16663506209190207,0.17188672846900221,0.2091164713924872
html_text_audio_faithful,embargoed,0.0,3,0.9,558,101,0.6188077920844576,0.6836873706559005,0.009171613556931702,1.6666666666666667,1.6045440520172922,0.845,3,86.0,0.6434108527131783,0.7244906659677671,0.7314730026476021,0.7853521846266635
html_text_audio_faithful,embargoed,0.0,7,0.2,558,101,0.28612564056601225,0.34542775748050003,0.0023590359402158117,4.333333333333333,0.5935144086536223,0.349,3,86.0,0.6434108527131783,0.35137981356123466,0.3538661886545785,0.36249038057724614
html_text_audio_faithful,embargoed,0.0,15,1.0,558,101,0.17228334268892462,0.23208379217034977,0.006673608554095699,5.0,0.35354417471431204,0.251,3,86.0,0.6434108527131783,0.23270052155389861,0.23426218474358904,0.2552590776874797
html_text_audio_faithful,embargoed,0.0,30,1.0,558,101,0.11236741792233074,0.18648957752373121,0.018036725998124385,6.333333333333333,0.20629381802149638,0.158,3,86.0,0.6434108527131783,0.18967219120194626,0.18828850217945167,0.21172962776943538
html_text_audio_faithful,ticker_disjoint,0.0,3,0.6,558,109,0.8202709986704176,0.7894328490828916,0.02353107909506182,6.333333333333333,1.451529104281956,0.845,3,92.0,0.0,0.8130099798089901,0.7986366400231395,0.9537491860657008
html_text_audio_faithful,ticker_disjoint,0.0,7,0.8,558,109,0.47394176178940484,0.49999478972263495,0.02424063874526823,1.3333333333333333,0.5498524047951914,0.349,3,92.0,0.0,0.5197655582945458,0.5183226313541148,0.5479228026283823
html_text_audio_faithful,ticker_disjoint,0.0,15,1.0,558,109,0.3390564605132136,0.3941407718640558,0.0074970778300976594,1.6666666666666667,0.3266979142812237,0.251,3,92.0,0.0,0.4195745045210599,0.4201732726223049,0.4425425513871382
html_text_audio_faithful,ticker_disjoint,0.0,30,1.0,558,109,0.22538943088194138,0.28133593142194996,0.0059307913521897595,2.3333333333333335,0.18751206444756904,0.158,3,92.0,0.0,0.2911619493238789,0.28904614303997017,0.30432813959090194
