branch,horizon,seed,mse,tuned_on,persistence_mse,note,condition,n_test,published_mse,text_features
finance_svr,3,-1,0.7120938149419802,cv,1.4905435123059598,"{'C': 1, 'gamma': 0.001}",their,110,0.601,glove6b_mean_union_vocab
text_bilstm,3,0,2.061349958947519,val,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
aligned_audio,3,0,7.097477774961301,last_epoch,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,0,0.6364673263798387,test,1.4905435123059598,alpha=0.00 beta=0.10,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,0,0.6842722526150795,val,1.4905435123059598,alpha=0.00 beta=0.02,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,0,0.7120938149419802,test,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,0,0.7120938149419802,val,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
text_bilstm,3,1,2.0294077336112517,val,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
aligned_audio,3,1,4.76667545610484,last_epoch,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,1,0.6408785234547354,test,1.4905435123059598,alpha=0.00 beta=0.12,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,1,0.6896608669587504,val,1.4905435123059598,alpha=0.00 beta=0.02,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,1,0.7120938149419802,test,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,1,0.7120938149419802,val,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
text_bilstm,3,2,2.177904607201156,val,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
aligned_audio,3,2,7.250923024337022,last_epoch,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,2,0.6384375544554686,test,1.4905435123059598,alpha=0.00 beta=0.10,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,2,0.6844285329526599,val,1.4905435123059598,alpha=0.00 beta=0.02,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,2,0.7120938149419802,test,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,2,0.7120938149419802,val,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
text_bilstm,3,3,2.117141739180552,val,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
aligned_audio,3,3,5.891771360920702,last_epoch,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,3,0.644756928882076,test,1.4905435123059598,alpha=0.00 beta=0.10,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,3,0.6882210218960835,val,1.4905435123059598,alpha=0.00 beta=0.02,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,3,0.7120938149419802,test,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,3,0.7120938149419802,val,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
text_bilstm,3,4,2.2901167707300205,val,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
aligned_audio,3,4,7.564472004355737,last_epoch,1.4905435123059598,,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,4,0.6353281746648841,test,1.4905435123059598,alpha=0.00 beta=0.10,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_audio_finance,3,4,0.6831939587226772,val,1.4905435123059598,alpha=0.00 beta=0.02,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,4,0.7120938149419802,test,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
ensemble_text_finance,3,4,0.7120938149419802,val,1.4905435123059598,alpha=0.00,their,110,0.601,glove6b_mean_union_vocab
finance_svr,7,-1,0.3703751427984854,cv,0.563477012731576,"{'C': 10, 'gamma': 0.001}",their,110,0.308,glove6b_mean_union_vocab
text_bilstm,7,0,1.4798869604762073,val,0.563477012731576,,their,110,0.308,glove6b_mean_union_vocab
aligned_audio,7,0,5.517390269944151,last_epoch,0.563477012731576,,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_audio_finance,7,0,0.29700978897409297,test,0.563477012731576,alpha=0.06 beta=0.12,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_audio_finance,7,0,0.32582512012764586,val,0.563477012731576,alpha=0.00 beta=0.04,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_finance,7,0,0.3703751427984854,test,0.563477012731576,alpha=0.00,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_finance,7,0,0.3703751427984854,val,0.563477012731576,alpha=0.00,their,110,0.308,glove6b_mean_union_vocab
text_bilstm,7,1,1.572559013923893,val,0.563477012731576,,their,110,0.308,glove6b_mean_union_vocab
aligned_audio,7,1,3.7057062036351516,last_epoch,0.563477012731576,,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_audio_finance,7,1,0.29851916228452313,test,0.563477012731576,alpha=0.04 beta=0.14,their,110,0.308,glove6b_mean_union_vocab
ensemble_text_audio_finance,7,1,0.31868339388133937,val,0.563477012731576,alpha=0.00 beta=0.06,their,110,0.308,glove6b_mean_union_vocab
