dataset,condition,year,quarter,horizon,model,n_test,mse,published_mse,reason
dec,published_rolling,2021,first,3,stpev_mean,90,0.36757944887830923,,
dec,published_rolling,2021,first,3,pev_mean,90,0.43299520718620205,,
dec,published_rolling,2021,first,7,stpev_mean,90,0.14944115688215068,,
dec,published_rolling,2021,first,7,pev_mean,90,0.20916566779467663,,
dec,published_rolling,2021,first,15,stpev_mean,90,0.06682074281219984,,
dec,published_rolling,2021,first,15,pev_mean,90,0.1151274054501723,,
dec,published_rolling,2021,first,30,stpev_mean,90,0.04084374970541943,,
dec,published_rolling,2021,first,30,pev_mean,90,0.10487116093747754,,
dec,published_rolling,2021,first,0,stpev_mean,90,0.1561712745695198,,
dec,published_rolling,2021,first,0,pev_mean,90,0.21553986034213213,,
dec,published_rolling,2021,second,3,stpev_mean,90,0.4634260360860312,,
dec,published_rolling,2021,second,3,pev_mean,90,0.4522084226496176,,
dec,published_rolling,2021,second,7,stpev_mean,90,0.2091197539235867,,
dec,published_rolling,2021,second,7,pev_mean,90,0.2427674878109859,,
dec,published_rolling,2021,second,15,stpev_mean,90,0.15006324824961842,,
dec,published_rolling,2021,second,15,pev_mean,90,0.18795128869955932,,
dec,published_rolling,2021,second,30,stpev_mean,90,0.17310297138532232,,
dec,published_rolling,2021,second,30,pev_mean,90,0.21872642112768964,,
dec,published_rolling,2021,second,0,stpev_mean,90,0.24892800241113966,,
dec,published_rolling,2021,second,0,pev_mean,90,0.2754134050719631,,
dec,published_rolling,2021,third,3,stpev_mean,90,0.525057285796382,,
dec,published_rolling,2021,third,3,pev_mean,90,0.5887071140857694,,
dec,published_rolling,2021,third,7,stpev_mean,90,0.3531296582768762,,
dec,published_rolling,2021,third,7,pev_mean,90,0.44015721195952,,
dec,published_rolling,2021,third,15,stpev_mean,90,0.25959279749616176,,
dec,published_rolling,2021,third,15,pev_mean,90,0.3540263036401619,,
dec,published_rolling,2021,third,30,stpev_mean,90,0.19628828160166212,,
dec,published_rolling,2021,third,30,pev_mean,90,0.2809755822621712,,
dec,published_rolling,2021,third,0,stpev_mean,90,0.33351700579277055,,
dec,published_rolling,2021,third,0,pev_mean,90,0.4159665529869056,,
dec,published_rolling,2021,fourth,3,stpev_mean,90,0.5361721528643494,,
dec,published_rolling,2021,fourth,3,pev_mean,90,0.5676179138796577,,
dec,published_rolling,2021,fourth,7,stpev_mean,90,0.17693238760817862,,
dec,published_rolling,2021,fourth,7,pev_mean,90,0.25996749684027964,,
dec,published_rolling,2021,fourth,15,stpev_mean,90,0.11370110056673592,,
dec,published_rolling,2021,fourth,15,pev_mean,90,0.19936074828923295,,
dec,published_rolling,2021,fourth,30,stpev_mean,90,0.06205872696362749,,
dec,published_rolling,2021,fourth,30,pev_mean,90,0.12703927595936307,,
dec,published_rolling,2021,fourth,0,stpev_mean,90,0.22221609200072284,,
dec,published_rolling,2021,fourth,0,pev_mean,90,0.2884963587421333,,
dec,published_rolling,2022,first,3,stpev_mean,90,0.5839199637167145,,
dec,published_rolling,2022,first,3,pev_mean,90,0.620799459690034,,
dec,published_rolling,2022,first,7,stpev_mean,90,0.24534255823654144,,
dec,published_rolling,2022,first,7,pev_mean,90,0.32833428542406873,,
dec,published_rolling,2022,first,15,stpev_mean,90,0.1520738071167864,,
dec,published_rolling,2022,first,15,pev_mean,90,0.21690046997532586,,
dec,published_rolling,2022,first,30,stpev_mean,90,0.09874587947860253,,
dec,published_rolling,2022,first,30,pev_mean,90,0.14898680650481275,,
dec,published_rolling,2022,first,0,stpev_mean,90,0.2700205521371612,,
dec,published_rolling,2022,first,0,pev_mean,90,0.3287552553985604,,
dec,published_rolling,2022,second,3,stpev_mean,90,0.6401194499419541,,
dec,published_rolling,2022,second,3,pev_mean,90,0.7280385822672202,,
dec,published_rolling,2022,second,7,stpev_mean,90,0.2703894216452716,,
dec,published_rolling,2022,second,7,pev_mean,90,0.35406579863262194,,
dec,published_rolling,2022,second,15,stpev_mean,90,0.20073107046057312,,
dec,published_rolling,2022,second,15,pev_mean,90,0.28082126008642305,,
dec,published_rolling,2022,second,30,stpev_mean,90,0.12933434712365346,,
dec,published_rolling,2022,second,30,pev_mean,90,0.19104247782704584,,
