dataset,method,window,mse,published_mse,abs_diff,n_test,n_aug_history,n_aug_history_window_crosses_test
ec,PEV,3,0.743,0.743,0.0,111,0,0
ec,PEV,7,0.389,0.389,0.0,111,0,0
ec,PEV,15,0.262,0.262,0.0,111,0,0
ec,PEV,30,0.201,0.201,0.0,111,0,0
ec,STPEV,3,0.724,0.724,0.0,111,0,0
ec,STPEV,7,0.33,0.33,0.0,111,0,0
ec,STPEV,15,0.205,0.205,0.0,111,0,0
ec,STPEV,30,0.138,0.138,0.0,111,0,0
ec,Aug_PEV,3,0.712,0.712,0.0,111,2195,0
ec,Aug_PEV,7,0.351,0.351,0.0,111,2195,0
ec,Aug_PEV,15,0.235,0.235,0.0,111,2195,0
ec,Aug_PEV,30,0.17,0.17,0.0,111,2195,4
ec,Aug_STPEV,3,0.569,0.569,0.0,111,2195,0
ec,Aug_STPEV,7,0.293,0.293,0.0,111,2195,0
ec,Aug_STPEV,15,0.201,0.201,0.0,111,2195,0
ec,Aug_STPEV,30,0.122,0.122,0.0,111,2195,4
maec15,PEV,3,0.532,0.532,0.0,154,0,0
maec15,PEV,7,0.301,0.301,0.0,154,0,0
maec15,PEV,15,0.209,0.209,0.0,154,0,0
maec15,PEV,30,0.177,0.177,0.0,154,0,0
maec15,STPEV,3,0.571,0.571,0.0,154,0,0
maec15,STPEV,7,0.273,0.273,0.0,154,0,0
maec15,STPEV,15,0.19,0.19,0.0,154,0,0
maec15,STPEV,30,0.17,0.17,0.0,154,0,0
maec15,Aug_PEV,3,0.514,0.514,0.0,154,3192,0
maec15,Aug_PEV,7,0.271,0.271,0.0,154,3192,0
maec15,Aug_PEV,15,0.188,0.188,0.0,154,3192,0
maec15,Aug_PEV,30,0.157,0.157,0.0,154,3192,8
maec15,Aug_STPEV,3,0.443,0.443,0.0,154,3192,0
maec15,Aug_STPEV,7,0.214,0.214,0.0,154,3192,0
maec15,Aug_STPEV,15,0.13,0.13,0.0,154,3192,0
maec15,Aug_STPEV,30,0.112,0.112,0.0,154,3192,8
maec16,PEV,3,0.38,0.38,0.0,280,0,0
maec16,PEV,7,0.229,0.229,0.0,280,0,0
maec16,PEV,15,0.173,0.173,0.0,280,0,0
maec16,PEV,30,0.139,0.139,0.0,280,0,0
maec16,STPEV,3,0.459,0.459,0.0,280,0,0
maec16,STPEV,7,0.273,0.273,0.0,280,0,0
maec16,STPEV,15,0.209,0.209,0.0,280,0,0
maec16,STPEV,30,0.144,0.144,0.0,280,0,0
maec16,Aug_PEV,3,0.369,0.369,0.0,280,5033,0
maec16,Aug_PEV,7,0.239,0.239,0.0,280,5033,0
maec16,Aug_PEV,15,0.168,0.168,0.0,280,5033,0
maec16,Aug_PEV,30,0.139,0.139,0.0,280,5033,0
maec16,Aug_STPEV,3,0.47,0.47,0.0,280,5033,0
maec16,Aug_STPEV,7,0.238,0.238,0.0,280,5033,0
maec16,Aug_STPEV,15,0.168,0.168,0.0,280,5033,0
maec16,Aug_STPEV,30,0.113,0.113,0.0,280,5033,0
