model,model_id,window,year,quarter,mse,n_test,embedding,published_mse,abs_diff
TMLP,mTMLP_dDEC_e(DEC),3,2019,fourth,0.447694,90,DEC,0.473484,0.025790000000000035
TMLP,mTMLP_dDEC_e(DEC),3,2019,second,0.813972,90,DEC,0.589267,0.22470500000000004
TMLP,mTMLP_dDEC_e(DEC),3,2019,third,0.590241,90,DEC,0.580423,0.009817999999999993
TMLP,mTMLP_dDEC_e(DEC),3,2020,first,0.756353,90,DEC,0.72305,0.03330300000000008
TMLP,mTMLP_dDEC_e(DEC),3,2020,fourth,0.543723,90,DEC,0.536168,0.007554999999999978
TMLP,mTMLP_dDEC_e(DEC),3,2020,second,0.693769,90,DEC,0.655443,0.03832599999999997
TMLP,mTMLP_dDEC_e(DEC),3,2020,third,0.793017,90,DEC,0.781564,0.011452999999999935
TMLP,mTMLP_dDEC_e(DEC),3,2021,first,0.46297,90,DEC,0.393164,0.06980599999999998
TMLP,mTMLP_dDEC_e(DEC),3,2021,fourth,0.522775,90,DEC,0.555437,0.03266199999999997
TMLP,mTMLP_dDEC_e(DEC),3,2021,second,0.438793,90,DEC,0.431563,0.007230000000000014
TMLP,mTMLP_dDEC_e(DEC),3,2021,third,0.702193,90,DEC,0.692313,0.00988
TMLP,mTMLP_dDEC_e(DEC),3,2022,first,0.542958,90,DEC,0.547731,0.004772999999999916
TMLP,mTMLP_dDEC_e(DEC),3,2022,fourth,0.655761,90,DEC,0.630814,0.024947000000000052
TMLP,mTMLP_dDEC_e(DEC),3,2022,second,0.685416,90,DEC,0.712059,0.026642999999999972
TMLP,mTMLP_dDEC_e(DEC),3,2022,third,0.626615,90,DEC,0.622547,0.0040680000000000716
TMLP,mTMLP_dDEC_e(DEC),3,2023,first,0.692763,90,DEC,0.683676,0.009087000000000067
TMLP,mTMLP_dDEC_e(DEC),3,2023,fourth,0.53444,90,DEC,0.535829,0.0013889999999999736
TMLP,mTMLP_dDEC_e(DEC),3,2023,second,0.58512,90,DEC,0.58147,0.003649999999999931
TMLP,mTMLP_dDEC_e(DEC),3,2023,third,0.469547,90,DEC,0.421561,0.04798599999999997
TMLP,mTMLP_dDEC_e(DEC),7,2019,fourth,0.240546,90,DEC,0.269266,0.028719999999999996
TMLP,mTMLP_dDEC_e(DEC),7,2019,second,0.359818,90,DEC,0.391834,0.03201599999999999
TMLP,mTMLP_dDEC_e(DEC),7,2019,third,0.265355,90,DEC,0.272257,0.006902000000000019
TMLP,mTMLP_dDEC_e(DEC),7,2020,first,0.445928,90,DEC,0.480036,0.03410800000000003
TMLP,mTMLP_dDEC_e(DEC),7,2020,fourth,0.300472,90,DEC,0.299785,0.0006869999999999932
TMLP,mTMLP_dDEC_e(DEC),7,2020,second,0.291159,90,DEC,0.347843,0.05668400000000001
