model,model_id,window,year,quarter,mse,n_test,embedding,published_mse,abs_diff
TSMixer,mTSMixer_dDEC_seq22,3,2019,fourth,0.399446,90,,0.399445,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,3,2019,second,0.534815,90,,0.534815,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2019,third,0.553944,90,,0.553944,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2020,first,0.677017,90,,0.677016,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,3,2020,fourth,0.504065,90,,0.504065,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2020,second,0.783611,90,,0.78364,2.9000000000056758e-05
TSMixer,mTSMixer_dDEC_seq22,3,2020,third,0.784435,90,,0.784435,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2021,first,0.434189,90,,0.434189,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2021,fourth,0.541707,90,,0.541708,9.999999999177334e-07
TSMixer,mTSMixer_dDEC_seq22,3,2021,second,0.400914,90,,0.400914,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2021,third,0.460597,90,,0.460597,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2022,first,0.559176,90,,0.55954,0.00036400000000003097
TSMixer,mTSMixer_dDEC_seq22,3,2022,fourth,0.526953,90,,0.526953,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2022,second,0.483874,90,,0.483937,6.299999999997974e-05
TSMixer,mTSMixer_dDEC_seq22,3,2022,third,0.570162,90,,0.570161,9.999999999177334e-07
TSMixer,mTSMixer_dDEC_seq22,3,2023,first,0.670531,90,,0.670532,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,3,2023,fourth,0.591853,90,,0.591819,3.399999999997849e-05
TSMixer,mTSMixer_dDEC_seq22,3,2023,second,0.724058,90,,0.724058,0.0
TSMixer,mTSMixer_dDEC_seq22,3,2023,third,0.455697,90,,0.455697,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2019,fourth,0.220478,90,,0.220477,1.000000000001e-06
TSMixer,mTSMixer_dDEC_seq22,7,2019,second,0.24367,90,,0.24367,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2019,third,0.299349,90,,0.299349,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2020,first,0.43911,90,,0.43911,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2020,fourth,0.208046,90,,0.207911,0.00013499999999999623
TSMixer,mTSMixer_dDEC_seq22,7,2020,second,0.496843,90,,0.496857,1.4000000000014001e-05
TSMixer,mTSMixer_dDEC_seq22,7,2020,third,0.301043,90,,0.300899,0.00014399999999997748
TSMixer,mTSMixer_dDEC_seq22,7,2021,first,0.192759,90,,0.193303,0.0005439999999999889
TSMixer,mTSMixer_dDEC_seq22,7,2021,fourth,0.2073,90,,0.207301,1.000000000001e-06
TSMixer,mTSMixer_dDEC_seq22,7,2021,second,0.162289,90,,0.162289,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2021,third,0.293034,90,,0.293036,2.000000000002e-06
TSMixer,mTSMixer_dDEC_seq22,7,2022,first,0.216099,90,,0.214219,0.0018800000000000205
TSMixer,mTSMixer_dDEC_seq22,7,2022,fourth,0.197659,90,,0.197659,0.0
TSMixer,mTSMixer_dDEC_seq22,7,2022,second,0.1953,90,,0.195887,0.0005870000000000042
TSMixer,mTSMixer_dDEC_seq22,7,2022,third,0.215837,90,,0.216125,0.00028800000000001047
TSMixer,mTSMixer_dDEC_seq22,7,2023,first,0.182538,90,,0.182854,0.00031599999999998296
TSMixer,mTSMixer_dDEC_seq22,7,2023,fourth,0.23999,90,,0.240861,0.0008709999999999829
TSMixer,mTSMixer_dDEC_seq22,7,2023,second,0.261234,90,,0.261828,0.0005939999999999834
TSMixer,mTSMixer_dDEC_seq22,7,2023,third,0.222736,90,,0.222577,0.00015899999999999248
TSMixer,mTSMixer_dDEC_seq22,15,2019,fourth,0.147649,90,,0.147649,0.0
TSMixer,mTSMixer_dDEC_seq22,15,2019,second,0.278118,90,,0.278119,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,15,2019,third,0.392003,90,,0.392003,0.0
TSMixer,mTSMixer_dDEC_seq22,15,2020,first,0.605757,90,,0.605547,0.00021000000000004349
TSMixer,mTSMixer_dDEC_seq22,15,2020,fourth,0.231229,90,,0.232352,0.0011230000000000129
TSMixer,mTSMixer_dDEC_seq22,15,2020,second,0.504649,90,,0.504585,6.4000000000064e-05
TSMixer,mTSMixer_dDEC_seq22,15,2020,third,0.228556,90,,0.228549,7.000000000007001e-06
TSMixer,mTSMixer_dDEC_seq22,15,2021,first,0.082611,90,,0.082504,0.00010700000000000986
TSMixer,mTSMixer_dDEC_seq22,15,2021,fourth,0.144845,90,,0.149003,0.004157999999999995
TSMixer,mTSMixer_dDEC_seq22,15,2021,second,0.141559,90,,0.141373,0.00018599999999999173
TSMixer,mTSMixer_dDEC_seq22,15,2021,third,0.208876,90,,0.207995,0.0008809999999999929
TSMixer,mTSMixer_dDEC_seq22,15,2022,first,0.121276,90,,0.12125,2.5999999999998247e-05
TSMixer,mTSMixer_dDEC_seq22,15,2022,fourth,0.112959,90,,0.112909,5.000000000000837e-05
TSMixer,mTSMixer_dDEC_seq22,15,2022,second,0.156824,90,,0.156824,0.0
TSMixer,mTSMixer_dDEC_seq22,15,2022,third,0.139655,90,,0.139655,0.0
TSMixer,mTSMixer_dDEC_seq22,15,2023,first,0.102358,90,,0.102358,0.0
TSMixer,mTSMixer_dDEC_seq22,15,2023,fourth,0.136733,90,,0.136885,0.00015200000000001324
TSMixer,mTSMixer_dDEC_seq22,15,2023,second,0.14169,90,,0.141723,3.299999999997749e-05
TSMixer,mTSMixer_dDEC_seq22,15,2023,third,0.121643,90,,0.121664,2.0999999999993246e-05
TSMixer,mTSMixer_dDEC_seq22,30,2019,fourth,0.129831,90,,0.129831,0.0
TSMixer,mTSMixer_dDEC_seq22,30,2019,second,0.594764,90,,0.594765,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,30,2019,third,0.076246,90,,0.076246,0.0
TSMixer,mTSMixer_dDEC_seq22,30,2020,first,1.95651,90,,1.956467,4.300000000001525e-05
TSMixer,mTSMixer_dDEC_seq22,30,2020,fourth,0.146568,90,,0.146567,1.000000000001e-06
TSMixer,mTSMixer_dDEC_seq22,30,2020,second,0.593704,90,,0.593704,0.0
