model_id,window,year,quarter,mse,model,condition,n_test,persistence_mse
mTSMixer_dDEC_anchor_heldout_seq22,3,2019,fourth,0.482274,TSMixer,anchor_heldout,30,1.3179592784587488
mTSMixer_dDEC_anchor_heldout_seq22,3,2019,second,0.559557,TSMixer,anchor_heldout,30,1.4806639110472422
mTSMixer_dDEC_anchor_heldout_seq22,3,2019,third,0.463224,TSMixer,anchor_heldout,30,0.9668723200362462
mTSMixer_dDEC_anchor_heldout_seq22,3,2020,first,0.670209,TSMixer,anchor_heldout,30,1.4944798286460526
mTSMixer_dDEC_anchor_heldout_seq22,3,2020,fourth,0.393213,TSMixer,anchor_heldout,30,0.7072395995662721
mTSMixer_dDEC_anchor_heldout_seq22,3,2020,second,0.606475,TSMixer,anchor_heldout,30,0.7148942952689467
mTSMixer_dDEC_anchor_heldout_seq22,3,2020,third,0.568667,TSMixer,anchor_heldout,30,0.9650316969652003
mTSMixer_dDEC_anchor_heldout_seq22,3,2021,first,0.502098,TSMixer,anchor_heldout,30,0.7548824372460615
mTSMixer_dDEC_anchor_heldout_seq22,3,2021,fourth,0.655126,TSMixer,anchor_heldout,30,1.541811529028785
mTSMixer_dDEC_anchor_heldout_seq22,3,2021,second,0.312347,TSMixer,anchor_heldout,30,1.0512802512314414
mTSMixer_dDEC_anchor_heldout_seq22,3,2021,third,0.514414,TSMixer,anchor_heldout,30,0.6254112740239446
mTSMixer_dDEC_anchor_heldout_seq22,3,2022,first,0.647529,TSMixer,anchor_heldout,30,1.9731555690512825
mTSMixer_dDEC_anchor_heldout_seq22,3,2022,fourth,0.575804,TSMixer,anchor_heldout,30,1.6961650283021223
mTSMixer_dDEC_anchor_heldout_seq22,3,2022,second,0.518951,TSMixer,anchor_heldout,30,0.9538814172099972
mTSMixer_dDEC_anchor_heldout_seq22,3,2022,third,0.444285,TSMixer,anchor_heldout,30,1.7013052165898617
mTSMixer_dDEC_anchor_heldout_seq22,3,2023,first,0.544367,TSMixer,anchor_heldout,30,1.1349663493928688
mTSMixer_dDEC_anchor_heldout_seq22,3,2023,fourth,0.413983,TSMixer,anchor_heldout,30,1.2950760241894101
mTSMixer_dDEC_anchor_heldout_seq22,3,2023,second,0.491641,TSMixer,anchor_heldout,30,1.2369327233222167
mTSMixer_dDEC_anchor_heldout_seq22,3,2023,third,0.49463,TSMixer,anchor_heldout,30,2.285860798085974
mTSMixer_dDEC_anchor_heldout_seq22,7,2019,fourth,0.274098,TSMixer,anchor_heldout,30,0.5400115786680731
mTSMixer_dDEC_anchor_heldout_seq22,7,2019,second,0.310386,TSMixer,anchor_heldout,30,0.6748498630285701
mTSMixer_dDEC_anchor_heldout_seq22,7,2019,third,0.319575,TSMixer,anchor_heldout,30,0.6103895030083084
mTSMixer_dDEC_anchor_heldout_seq22,7,2020,first,0.401648,TSMixer,anchor_heldout,30,0.7681119080822677
mTSMixer_dDEC_anchor_heldout_seq22,7,2020,fourth,0.16552,TSMixer,anchor_heldout,30,0.29678607016653025
mTSMixer_dDEC_anchor_heldout_seq22,7,2020,second,0.425714,TSMixer,anchor_heldout,30,0.15062125297111634
mTSMixer_dDEC_anchor_heldout_seq22,7,2020,third,0.154333,TSMixer,anchor_heldout,30,0.35562768076283546
mTSMixer_dDEC_anchor_heldout_seq22,7,2021,first,0.193374,TSMixer,anchor_heldout,30,0.3942596553811884
mTSMixer_dDEC_anchor_heldout_seq22,7,2021,fourth,0.165603,TSMixer,anchor_heldout,30,0.4123973474279537
mTSMixer_dDEC_anchor_heldout_seq22,7,2021,second,0.14612,TSMixer,anchor_heldout,30,0.49089080685776604
mTSMixer_dDEC_anchor_heldout_seq22,7,2021,third,0.297066,TSMixer,anchor_heldout,30,0.2884875034694485
mTSMixer_dDEC_anchor_heldout_seq22,7,2022,first,0.287763,TSMixer,anchor_heldout,30,0.692530126880572
mTSMixer_dDEC_anchor_heldout_seq22,7,2022,fourth,0.235913,TSMixer,anchor_heldout,30,0.36615134852501713
mTSMixer_dDEC_anchor_heldout_seq22,7,2022,second,0.202587,TSMixer,anchor_heldout,30,0.2855754932397928
mTSMixer_dDEC_anchor_heldout_seq22,7,2022,third,0.202509,TSMixer,anchor_heldout,30,0.36518258624028793
mTSMixer_dDEC_anchor_heldout_seq22,7,2023,first,0.18081,TSMixer,anchor_heldout,30,0.2201793139892941
mTSMixer_dDEC_anchor_heldout_seq22,7,2023,fourth,0.133514,TSMixer,anchor_heldout,30,0.4547926875906723
mTSMixer_dDEC_anchor_heldout_seq22,7,2023,second,0.231123,TSMixer,anchor_heldout,30,0.6542850093492766
mTSMixer_dDEC_anchor_heldout_seq22,7,2023,third,0.244354,TSMixer,anchor_heldout,30,0.6689528390125025
mTSMixer_dDEC_anchor_heldout_seq22,15,2019,fourth,0.166147,TSMixer,anchor_heldout,30,0.2142266773496366
mTSMixer_dDEC_anchor_heldout_seq22,15,2019,second,0.309747,TSMixer,anchor_heldout,30,0.31623039975930756
mTSMixer_dDEC_anchor_heldout_seq22,15,2019,third,0.448576,TSMixer,anchor_heldout,30,0.4523484850804927
mTSMixer_dDEC_anchor_heldout_seq22,15,2020,first,0.640819,TSMixer,anchor_heldout,30,0.8745154511434485
mTSMixer_dDEC_anchor_heldout_seq22,15,2020,fourth,0.238107,TSMixer,anchor_heldout,30,0.2621864385129644
mTSMixer_dDEC_anchor_heldout_seq22,15,2020,second,0.463573,TSMixer,anchor_heldout,30,0.15139211068835748
mTSMixer_dDEC_anchor_heldout_seq22,15,2020,third,0.136332,TSMixer,anchor_heldout,30,0.17415794682864758
mTSMixer_dDEC_anchor_heldout_seq22,15,2021,first,0.065036,TSMixer,anchor_heldout,30,0.1389772075194194
mTSMixer_dDEC_anchor_heldout_seq22,15,2021,fourth,0.140454,TSMixer,anchor_heldout,30,0.2556762031660132
mTSMixer_dDEC_anchor_heldout_seq22,15,2021,second,0.147735,TSMixer,anchor_heldout,30,0.2572689200058014
mTSMixer_dDEC_anchor_heldout_seq22,15,2021,third,0.186401,TSMixer,anchor_heldout,30,0.13082001862878542
mTSMixer_dDEC_anchor_heldout_seq22,15,2022,first,0.166509,TSMixer,anchor_heldout,30,0.28279927566617424
mTSMixer_dDEC_anchor_heldout_seq22,15,2022,fourth,0.132302,TSMixer,anchor_heldout,30,0.1400284037201774
mTSMixer_dDEC_anchor_heldout_seq22,15,2022,second,0.157004,TSMixer,anchor_heldout,30,0.181701778817477
mTSMixer_dDEC_anchor_heldout_seq22,15,2022,third,0.126966,TSMixer,anchor_heldout,30,0.1247893816212104
mTSMixer_dDEC_anchor_heldout_seq22,15,2023,first,0.112895,TSMixer,anchor_heldout,30,0.14438006250307814
mTSMixer_dDEC_anchor_heldout_seq22,15,2023,fourth,0.084941,TSMixer,anchor_heldout,30,0.16887369048218817
mTSMixer_dDEC_anchor_heldout_seq22,15,2023,second,0.093368,TSMixer,anchor_heldout,30,0.24820001107359452
mTSMixer_dDEC_anchor_heldout_seq22,15,2023,third,0.105182,TSMixer,anchor_heldout,30,0.2674855443820949
mTSMixer_dDEC_anchor_heldout_seq22,30,2019,fourth,0.154473,TSMixer,anchor_heldout,30,0.11162225938827307
mTSMixer_dDEC_anchor_heldout_seq22,30,2019,second,0.589539,TSMixer,anchor_heldout,30,0.12905125709845697
mTSMixer_dDEC_anchor_heldout_seq22,30,2019,third,0.061058,TSMixer,anchor_heldout,30,0.21526736264469004
mTSMixer_dDEC_anchor_heldout_seq22,30,2020,first,2.044596,TSMixer,anchor_heldout,30,1.906621441472145
mTSMixer_dDEC_anchor_heldout_seq22,30,2020,fourth,0.161399,TSMixer,anchor_heldout,30,0.15512960805872664
mTSMixer_dDEC_anchor_heldout_seq22,30,2020,second,0.55362,TSMixer,anchor_heldout,30,0.516878335555162
mTSMixer_dDEC_anchor_heldout_seq22,30,2020,third,0.140724,TSMixer,anchor_heldout,30,0.13590706480089967
mTSMixer_dDEC_anchor_heldout_seq22,30,2021,first,0.041875,TSMixer,anchor_heldout,30,0.058437683952021584
mTSMixer_dDEC_anchor_heldout_seq22,30,2021,fourth,0.081689,TSMixer,anchor_heldout,30,0.1085748082063803
mTSMixer_dDEC_anchor_heldout_seq22,30,2021,second,0.164581,TSMixer,anchor_heldout,30,0.08299174547885278
mTSMixer_dDEC_anchor_heldout_seq22,30,2021,third,0.143929,TSMixer,anchor_heldout,30,0.06399103550486783
mTSMixer_dDEC_anchor_heldout_seq22,30,2022,first,0.122938,TSMixer,anchor_heldout,30,0.1738769920021075
mTSMixer_dDEC_anchor_heldout_seq22,30,2022,fourth,0.082179,TSMixer,anchor_heldout,30,0.07605074043079749
mTSMixer_dDEC_anchor_heldout_seq22,30,2022,second,0.082983,TSMixer,anchor_heldout,30,0.09393979123191305
mTSMixer_dDEC_anchor_heldout_seq22,30,2022,third,0.068169,TSMixer,anchor_heldout,30,0.07961684771851882
mTSMixer_dDEC_anchor_heldout_seq22,30,2023,first,0.082655,TSMixer,anchor_heldout,30,0.07984466850106227
mTSMixer_dDEC_anchor_heldout_seq22,30,2023,fourth,0.066412,TSMixer,anchor_heldout,30,0.06937850615114807
mTSMixer_dDEC_anchor_heldout_seq22,30,2023,second,0.076416,TSMixer,anchor_heldout,30,0.09375872104243058
mTSMixer_dDEC_anchor_heldout_seq22,30,2023,third,0.069857,TSMixer,anchor_heldout,30,0.09894507191523247
mTSMixer_dDEC_embargoed_seq22,3,2019,fourth,0.540389,TSMixer,embargoed,90,1.1230660214592196
mTSMixer_dDEC_embargoed_seq22,3,2019,second,0.534714,TSMixer,embargoed,90,1.5689896761293665
mTSMixer_dDEC_embargoed_seq22,3,2019,third,0.553508,TSMixer,embargoed,90,1.1770880365916623
mTSMixer_dDEC_embargoed_seq22,3,2020,first,0.631225,TSMixer,embargoed,90,1.2860086108353133
mTSMixer_dDEC_embargoed_seq22,3,2020,fourth,0.489845,TSMixer,embargoed,90,0.9359101917784947
mTSMixer_dDEC_embargoed_seq22,3,2020,second,0.823815,TSMixer,embargoed,90,0.7444355658225182
mTSMixer_dDEC_embargoed_seq22,3,2020,third,0.732286,TSMixer,embargoed,90,1.0877851815097046
mTSMixer_dDEC_embargoed_seq22,3,2021,first,0.406849,TSMixer,embargoed,90,0.8494676392069727
mTSMixer_dDEC_embargoed_seq22,3,2021,fourth,0.545357,TSMixer,embargoed,90,1.4471339829686605
