stage,target,horizon,n_in,n_post,mse_in,mse_post,r2_oos_in,r2_oos_post,r2_oos_post_lo,r2_oos_post_hi,degradation
persistence,v,3,481,475,1.1742896922786705,1.6319659727737699,0.0,0.0,0.0,0.0,0.0
har,v,3,481,475,0.6295258267009284,0.7168777389570845,0.46390926290142753,0.560727520722357,0.5468759732524058,0.6586130158347773,0.09681825782092945
ridge_text_pastvol,v,3,481,475,0.648012640291893,0.7452732427763564,0.4481662876266539,0.5433279521694602,0.5181324642024515,0.6603826341376791,0.09516166454280628
ridge_wavlm_pastvol,v,3,481,475,0.7720604110860114,0.7718402669326028,0.34252985769818556,0.5270487989276241,0.49057505457493317,0.6188237402949243,0.18451894122943857
ridge_fusion_pastvol,v,3,481,475,0.6695518997888403,1.383077898403053,0.42982391466828185,0.15250812732798247,-0.1469874272740337,0.6741023781290826,-0.2773157873402994
persistence,dv,3,481,475,1.1742896922786705,1.6319659727737699,0.0,0.0,0.0,0.0,0.0
har,dv,3,481,475,0.6295258267009284,0.7168777389570845,0.46390926290142753,0.560727520722357,0.5468759732524058,0.6586130158347773,0.09681825782092945
ridge_text_pastvol,dv,3,481,475,3.1453086782301307,1.2283889059506734,-1.6784776353837891,0.2472950254821532,0.2298753308565753,0.3440458404472744,1.9257726608659422
ridge_wavlm_pastvol,dv,3,481,475,0.8625521116573085,0.9275408826801823,0.26546905986754044,0.43164202063374635,0.39621305457304684,0.4809178219499175,0.1661729607662059
ridge_fusion_pastvol,dv,3,481,475,3.2008340351710105,13.087020905408824,-1.7257618424291006,-7.019175107655878,-11.875781153381146,0.25914861058465166,-5.293413265226777
persistence,v,7,481,475,0.4186362122501599,0.5516815346105598,0.0,0.0,0.0,0.0,0.0
har,v,7,481,475,0.24714345398626805,0.29199095202939385,0.40964625908046093,0.47072552965631775,0.45173391081806336,0.5712342206179778,0.061079270575856826
ridge_text_pastvol,v,7,481,475,0.28121698817277524,0.315113866103692,0.32825450846394655,0.42881201139687297,0.39933478229436403,0.5442116034980846,0.10055750293292642
ridge_wavlm_pastvol,v,7,481,475,0.3160632718717948,0.32965142305617634,0.24501688429445212,0.40246065460776725,0.35594565559380376,0.5044366169146699,0.15744377031331513
ridge_fusion_pastvol,v,7,481,475,0.291927502822553,0.31737144210284224,0.3026702079749637,0.42471983890691667,0.38849457047373737,0.5289962078443528,0.12204963093195298
persistence,dv,7,481,475,0.4186362122501599,0.5516815346105598,0.0,0.0,0.0,0.0,0.0
har,dv,7,481,475,0.24714345398626805,0.29199095202939385,0.40964625908046093,0.47072552965631775,0.45173391081806336,0.5712342206179778,0.061079270575856826
ridge_text_pastvol,dv,7,481,475,1.7062491813157894,0.42625085234159554,-3.0757324172811993,0.2273606680664192,0.1789827106277948,0.389032384977115,3.3030930853476184
ridge_wavlm_pastvol,dv,7,481,475,0.848256816192116,0.3664899155256087,-1.0262385129866223,0.33568573074623675,0.29397516117316147,0.4313905944368649,1.361924243732859
ridge_fusion_pastvol,dv,7,481,475,1.719849654953042,1.5651681016119066,-3.108219988206204,-1.8370862597690207,-3.321968751936656,0.30882138416429306,1.2711337284371833
persistence,v,15,481,475,0.20801375350634607,0.24782646454920998,0.0,0.0,0.0,0.0,0.0
har,v,15,481,475,0.16499524678806152,0.16880169765872013,0.20680606927739598,0.31887138056153075,0.23277697001417175,0.4234630043912031,0.11206531128413477
ridge_text_pastvol,v,15,481,475,0.19860408866697052,0.19814503429960192,0.045235782157493354,0.20046862363943774,0.10430171693605761,0.3910581891161214,0.15523284148194438
ridge_wavlm_pastvol,v,15,481,475,0.2890976658545778,0.22609047672660937,-0.38980072702624446,0.08770648389847235,-0.038674829889639994,0.2652382575247926,0.4775072109247168
ridge_fusion_pastvol,v,15,481,475,0.2083909796004599,0.20518325478836602,-0.001813467079725184,0.1720688298499955,0.04020725757065123,0.36919390494805915,0.17388229692972068
persistence,dv,15,481,475,0.20801375350634607,0.24782646454920998,0.0,0.0,0.0,0.0,0.0
har,dv,15,481,475,0.16499524678806152,0.16880169765872013,0.20680606927739598,0.31887138056153075,0.23277697001417175,0.4234630043912031,0.11206531128413477
ridge_text_pastvol,dv,15,481,475,0.9538887964030761,0.23638879048063344,-3.5857006102914966,0.046151947853436015,-0.010447316130778539,0.41840847405895265,3.6318525581449324
ridge_wavlm_pastvol,dv,15,481,475,0.6307970851548687,0.23088490922939373,-2.0324777786177695,0.06836055766131555,-0.057580941272279425,0.233720187343602,2.100838336279085
ridge_fusion_pastvol,dv,15,481,475,0.2769506037294204,0.2504624974679985,-0.331405251148315,-0.010636607852125168,-0.12305254675659882,0.27764484520082294,0.3207686432961898
persistence,v,30,481,475,0.11141663432818553,0.12077788088395264,0.0,0.0,0.0,0.0,0.0
har,v,30,481,475,0.14340959441793918,0.11147846762345089,-0.28714706993855277,0.07699599622415065,-0.11829491784449164,0.4674284328200677,0.3641430661627034
ridge_text_pastvol,v,30,481,475,0.2329704389144964,0.16057026625006682,-1.0909843518362399,-0.3294674908590922,-0.530409069458043,0.28030330976817264,0.7615168609771477
ridge_wavlm_pastvol,v,30,481,475,0.2817961903731033,0.17290663190159247,-1.5292111188985724,-0.43160842561666457,-0.6768482841260894,0.18160377028137784,1.0976026932819078
ridge_fusion_pastvol,v,30,481,475,0.24638145318123492,0.21341921343820702,-1.2113525028542957,-0.7670388971575619,-1.1113939718510752,0.012821264669540795,0.44431360569673384
persistence,dv,30,481,475,0.11141663432818553,0.12077788088395264,0.0,0.0,0.0,0.0,0.0
har,dv,30,481,475,0.14340959441793918,0.11147846762345089,-0.28714706993855277,0.07699599622415065,-0.11829491784449164,0.4674284328200677,0.3641430661627034
ridge_text_pastvol,dv,30,481,475,0.1635530084039633,0.11745258554208211,-0.4679406660427956,0.027532320632993823,-0.02058021902155116,0.23342567876368303,0.49547298667578943
ridge_wavlm_pastvol,dv,30,481,475,0.17397279075366806,0.11322453636699903,-0.561461551972742,0.06253913764401209,0.03621776572850921,0.27487475070525447,0.624000689616754
ridge_fusion_pastvol,dv,30,481,475,0.16088978848015842,0.12996548014301396,-0.4440374137154979,-0.07607021411386627,-0.09946389291593971,0.19556090111186286,0.3679671996016316
