stage,target,horizon,n_in,n_post,mse_in,mse_post,r2_oos_in,r2_oos_post,r2_oos_post_lo,r2_oos_post_hi,degradation
persistence,v,3,481,475,1.2645374347496325,1.673647044827994,0.0,0.0,0.0,0.0,0.0
har,v,3,481,475,0.686748483297152,0.6723755968698649,0.45691723754060143,0.5982572317456772,0.5852342218973646,0.6721674565357127,0.14133999420507581
ridge_text_pastvol,v,3,481,475,0.6957458214000081,0.7195585976200175,0.4498021155555908,0.5700655046452947,0.5502915539204654,0.6664916140049635,0.12026338908970391
ridge_wavlm_pastvol,v,3,481,475,0.7677369122336737,0.7255732302809621,0.3928713447809642,0.5664717763980328,0.551033053022856,0.6323651118561083,0.17360043161706862
ridge_fusion_pastvol,v,3,481,475,0.7262335249772042,0.8072049427280438,0.42569234803160094,0.5176970286402276,0.4763742306662228,0.6672046802379094,0.09200468060862665
persistence,dv,3,481,475,1.2645374347496325,1.673647044827994,0.0,0.0,0.0,0.0,0.0
har,dv,3,481,475,0.686748483297152,0.6723755968698649,0.45691723754060143,0.5982572317456772,0.5852342218973646,0.6721674565357127,0.14133999420507581
ridge_text_pastvol,dv,3,481,475,0.8382318227531778,1.126638390968465,0.3371237578908526,0.32683632761753945,0.3129740557049787,0.3467026081982107,-0.010287430273313136
ridge_wavlm_pastvol,dv,3,481,475,0.8022889046120404,0.8486180450996308,0.3655475254705397,0.49295280165427835,0.46194012635724735,0.5002019070285382,0.12740527618373865
ridge_fusion_pastvol,dv,3,481,475,0.8973909364473166,2.930083522438964,0.290340553164413,-0.7507177104597331,-1.445533251711609,0.26427721021049655,-1.041058263624146
persistence,v,7,481,475,0.44849102127947627,0.5991896095967727,0.0,0.0,0.0,0.0,0.0
har,v,7,481,475,0.27974824389228875,0.2749924454452718,0.3762456088993492,0.5410593891467357,0.5157970353921575,0.5879849252536217,0.16481378024738647
ridge_text_pastvol,v,7,481,475,0.29332522932743377,0.2953404106851375,0.3459730174962662,0.5071002468085384,0.49074748335825047,0.5384024611259073,0.1611272293122722
ridge_wavlm_pastvol,v,7,481,475,0.32268319719903127,0.31422914163040444,0.2805135846901339,0.4755764509303385,0.4500434949296166,0.5297039949710428,0.19506286624020464
ridge_fusion_pastvol,v,7,481,475,0.3039109312883254,0.32226659501065197,0.3223700879867918,0.46216257783988834,0.42491099870726523,0.52076914019685,0.13979248985309656
persistence,dv,7,481,475,0.44849102127947627,0.5991896095967727,0.0,0.0,0.0,0.0,0.0
har,dv,7,481,475,0.27974824389228875,0.2749924454452718,0.3762456088993492,0.5410593891467357,0.5157970353921575,0.5879849252536217,0.16481378024738647
ridge_text_pastvol,dv,7,481,475,0.3215685570853676,0.3825385884772758,0.28299889668252065,0.3615733945475009,0.3087276672380035,0.4457058233476373,0.07857449786498027
ridge_wavlm_pastvol,dv,7,481,475,0.3275751844442168,0.3473166890606284,0.269605925421439,0.4203559549466209,0.3555196082439174,0.47416025329643685,0.1507500295251819
ridge_fusion_pastvol,dv,7,481,475,0.3516537639975528,0.40806734981332216,0.21591793968508355,0.31896791386630874,0.27037401227736124,0.4049857041058237,0.10304997418122519
persistence,v,15,481,475,0.21168259908715975,0.25139412969864056,0.0,0.0,0.0,0.0,0.0
har,v,15,481,475,0.18220843785423238,0.16344152818928553,0.1392375252383946,0.34985940847062913,0.2157067761488067,0.5383058574542778,0.21062188323223452
ridge_text_pastvol,v,15,481,475,0.20364480962178863,0.18863403683522853,0.03797095037585774,0.24964820355449768,0.13377745473757396,0.4208521865160154,0.21167725317863995
ridge_wavlm_pastvol,v,15,481,475,0.22992879229905802,0.21464157477258952,-0.086195999532231,0.14619496075786753,0.015895913479358148,0.3373983125876113,0.23239096029009854
ridge_fusion_pastvol,v,15,481,475,0.2159980507354622,0.20040162346856488,-0.020386426030821525,0.20283889003773914,0.06714528120075448,0.4000539425119086,0.22322531606856066
persistence,dv,15,481,475,0.21168259908715975,0.25139412969864056,0.0,0.0,0.0,0.0,0.0
har,dv,15,481,475,0.18220843785423238,0.16344152818928553,0.1392375252383946,0.34985940847062913,0.2157067761488067,0.5383058574542778,0.21062188323223452
ridge_text_pastvol,dv,15,481,475,0.19502249411932715,0.19353999313687922,0.07870323323540085,0.23013320410907812,0.15414258126653388,0.3390894873029785,0.15142997087367727
ridge_wavlm_pastvol,dv,15,481,475,0.20192726011402096,0.19388547325687103,0.04608474676334673,0.2287589471986008,0.10882201974343564,0.39119716776661284,0.18267420043525406
ridge_fusion_pastvol,dv,15,481,475,0.20378010158411008,0.20368541451136746,0.03733182385858658,0.18977656815003618,0.0831868799186467,0.3219794129168929,0.1524447442914496
persistence,v,30,481,475,0.1150620445935149,0.12578118111787573,0.0,0.0,0.0,0.0,0.0
har,v,30,481,475,0.14807792831274685,0.11565414472589408,-0.28693983177396776,0.08051312845036107,-0.09432209435614647,0.40159092401512386,0.36745296022432883
ridge_text_pastvol,v,30,481,475,0.16717768110949072,0.15387167018388978,-0.4529350812432298,-0.2233282341313767,-0.37851562519001414,0.006443846474820098,0.22960684711185309
ridge_wavlm_pastvol,v,30,481,475,0.19118532010604877,0.1660216450276795,-0.6615845892662358,-0.3199243603229678,-0.4755478396298194,0.11629756739881031,0.341660228943268
ridge_fusion_pastvol,v,30,481,475,0.18762411185681752,0.34290248989028116,-0.6306342592785139,-1.726182779035366,-2.6410275199717446,-0.21655429525334613,-1.0955485197568522
persistence,dv,30,481,475,0.1150620445935149,0.12578118111787573,0.0,0.0,0.0,0.0,0.0
har,dv,30,481,475,0.14807792831274685,0.11565414472589408,-0.28693983177396776,0.08051312845036107,-0.09432209435614647,0.40159092401512386,0.36745296022432883
ridge_text_pastvol,dv,30,481,475,0.12404436743120292,0.11187928494156507,-0.07806503760141137,0.1105244524877097,-0.03257091856861094,0.2055762015092526,0.18858949008912107
ridge_wavlm_pastvol,dv,30,481,475,0.10942676930274162,0.10306483718126846,0.048975970405195746,0.18060208796511978,0.14032087011320848,0.24046485657423544,0.13162611755992404
