dataset,anchor,split,target,horizon,model,n,mse,r2_oos
fincall,shift,,,30,as_of_moved_share,2424,,0.5325907590759076
fincall,fallback,temporal,v,3,persistence,481,1.1742896922786705,0.0
fincall,fallback,temporal,v,3,har,481,0.6295258267009284,0.46390926290142753
fincall,fallback,temporal,dv,3,persistence,481,1.1742896922786705,0.0
fincall,fallback,temporal,dv,3,har,481,0.6295258267009284,0.46390926290142753
fincall,fallback,temporal,v,7,persistence,481,0.4186362122501599,0.0
fincall,fallback,temporal,v,7,har,481,0.24714345398626805,0.40964625908046093
fincall,fallback,temporal,dv,7,persistence,481,0.4186362122501599,0.0
fincall,fallback,temporal,dv,7,har,481,0.24714345398626805,0.40964625908046093
fincall,fallback,temporal,v,15,persistence,481,0.20801375350634607,0.0
fincall,fallback,temporal,v,15,har,481,0.16499524678806152,0.20680606927739598
fincall,fallback,temporal,dv,15,persistence,481,0.20801375350634607,0.0
fincall,fallback,temporal,dv,15,har,481,0.16499524678806152,0.20680606927739598
fincall,fallback,temporal,v,30,persistence,481,0.11141663432818553,0.0
fincall,fallback,temporal,v,30,har,481,0.14340959441793918,-0.28714706993855277
fincall,fallback,temporal,dv,30,persistence,481,0.11141663432818553,0.0
fincall,fallback,temporal,dv,30,har,481,0.14340959441793918,-0.28714706993855277
fincall,measured,temporal,v,3,persistence,481,1.2645374347496325,0.0
fincall,measured,temporal,v,3,har,481,0.686748483297152,0.45691723754060143
fincall,measured,temporal,dv,3,persistence,481,1.2645374347496325,0.0
fincall,measured,temporal,dv,3,har,481,0.686748483297152,0.45691723754060143
fincall,measured,temporal,v,7,persistence,481,0.44849102127947627,0.0
fincall,measured,temporal,v,7,har,481,0.27974824389228875,0.3762456088993492
fincall,measured,temporal,dv,7,persistence,481,0.44849102127947627,0.0
fincall,measured,temporal,dv,7,har,481,0.27974824389228875,0.3762456088993492
fincall,measured,temporal,v,15,persistence,481,0.21168259908715975,0.0
fincall,measured,temporal,v,15,har,481,0.18220843785423238,0.1392375252383946
fincall,measured,temporal,dv,15,persistence,481,0.21168259908715975,0.0
fincall,measured,temporal,dv,15,har,481,0.18220843785423238,0.1392375252383946
fincall,measured,temporal,v,30,persistence,481,0.1150620445935149,0.0
fincall,measured,temporal,v,30,har,481,0.14807792831274685,-0.28693983177396776
fincall,measured,temporal,dv,30,persistence,481,0.1150620445935149,0.0
fincall,measured,temporal,dv,30,har,481,0.14807792831274685,-0.28693983177396776
fincall,fallback,ticker_disjoint,v,3,persistence,484,1.1422429896546944,0.0
fincall,fallback,ticker_disjoint,v,3,har,484,0.5773085476735418,0.4945834179747822
fincall,fallback,ticker_disjoint,dv,3,persistence,484,1.1422429896546944,0.0
fincall,fallback,ticker_disjoint,dv,3,har,484,0.5773085476735418,0.4945834179747822
fincall,fallback,ticker_disjoint,v,7,persistence,484,0.3856403795981807,0.0
fincall,fallback,ticker_disjoint,v,7,har,484,0.2480330301385903,0.3568281661867744
fincall,fallback,ticker_disjoint,dv,7,persistence,484,0.3856403795981807,0.0
fincall,fallback,ticker_disjoint,dv,7,har,484,0.2480330301385903,0.3568281661867744
fincall,fallback,ticker_disjoint,v,15,persistence,484,0.2136681332540465,0.0
fincall,fallback,ticker_disjoint,v,15,har,484,0.1685558649190051,0.21113241196994004
fincall,fallback,ticker_disjoint,dv,15,persistence,484,0.2136681332540465,0.0
fincall,fallback,ticker_disjoint,dv,15,har,484,0.1685558649190051,0.21113241196994004
fincall,fallback,ticker_disjoint,v,30,persistence,484,0.23316167815028008,0.0
fincall,fallback,ticker_disjoint,v,30,har,484,0.17982822857969927,0.2287402029084974
fincall,fallback,ticker_disjoint,dv,30,persistence,484,0.23316167815028008,0.0
fincall,fallback,ticker_disjoint,dv,30,har,484,0.17982822857969927,0.2287402029084974
fincall,measured,ticker_disjoint,v,3,persistence,484,1.1585901880271818,0.0
fincall,measured,ticker_disjoint,v,3,har,484,0.5235414309193085,0.5481219879733475
fincall,measured,ticker_disjoint,dv,3,persistence,484,1.1585901880271818,0.0
fincall,measured,ticker_disjoint,dv,3,har,484,0.5235414309193085,0.5481219879733475
fincall,measured,ticker_disjoint,v,7,persistence,484,0.41819811236802235,0.0
fincall,measured,ticker_disjoint,v,7,har,484,0.24208271062785655,0.42112911687459
fincall,measured,ticker_disjoint,dv,7,persistence,484,0.41819811236802235,0.0
fincall,measured,ticker_disjoint,dv,7,har,484,0.24208271062785655,0.42112911687459
fincall,measured,ticker_disjoint,v,15,persistence,484,0.21982839726023026,0.0
fincall,measured,ticker_disjoint,v,15,har,484,0.16308334362373672,0.2581334092579468
fincall,measured,ticker_disjoint,dv,15,persistence,484,0.21982839726023026,0.0
fincall,measured,ticker_disjoint,dv,15,har,484,0.16308334362373672,0.2581334092579468
fincall,measured,ticker_disjoint,v,30,persistence,484,0.23350201168406426,0.0
fincall,measured,ticker_disjoint,v,30,har,484,0.16181028760730096,0.3070282930742563
fincall,measured,ticker_disjoint,dv,30,persistence,484,0.23350201168406426,0.0
fincall,measured,ticker_disjoint,dv,30,har,484,0.16181028760730096,0.3070282930742563
maec,shift,,,30,as_of_moved_share,2571,,0.5857642940490082
maec,fallback,temporal,v,3,persistence,506,1.3825434136135775,0.0
maec,fallback,temporal,v,3,har,506,0.6818672837518043,0.5068022623827804
maec,fallback,temporal,dv,3,persistence,506,1.3825434136135775,0.0
maec,fallback,temporal,dv,3,har,506,0.6818672837518043,0.5068022623827804
maec,fallback,temporal,v,7,persistence,506,0.5712319145478864,0.0
maec,fallback,temporal,v,7,har,506,0.3471878274825603,0.3922121319895976
maec,fallback,temporal,dv,7,persistence,506,0.5712319145478864,0.0
maec,fallback,temporal,dv,7,har,506,0.3471878274825603,0.3922121319895976
maec,fallback,temporal,v,15,persistence,507,0.31820606209553215,0.0
maec,fallback,temporal,v,15,har,507,0.22067933208425558,0.30648922704054893
maec,fallback,temporal,dv,15,persistence,507,0.31820606209553215,0.0
maec,fallback,temporal,dv,15,har,507,0.22067933208425558,0.30648922704054893
maec,fallback,temporal,v,30,persistence,507,0.18887140858290044,0.0
maec,fallback,temporal,v,30,har,507,0.1498867335282223,0.20640855779696687
maec,fallback,temporal,dv,30,persistence,507,0.18887140858290044,0.0
maec,fallback,temporal,dv,30,har,507,0.1498867335282223,0.20640855779696687
maec,measured,temporal,v,3,persistence,506,1.7456829899288018,0.0
maec,measured,temporal,v,3,har,506,0.6746211396417788,0.6135488839990968
maec,measured,temporal,dv,3,persistence,506,1.7456829899288018,0.0
maec,measured,temporal,dv,3,har,506,0.6746211396417788,0.6135488839990968
maec,measured,temporal,v,7,persistence,506,0.7177666062093012,0.0
maec,measured,temporal,v,7,har,506,0.3654293982263857,0.49087991128995734
maec,measured,temporal,dv,7,persistence,506,0.7177666062093012,0.0
maec,measured,temporal,dv,7,har,506,0.3654293982263857,0.49087991128995734
maec,measured,temporal,v,15,persistence,507,0.36009347114863144,0.0
maec,measured,temporal,v,15,har,507,0.23422594959048457,0.3495412487114882
maec,measured,temporal,dv,15,persistence,507,0.36009347114863144,0.0
maec,measured,temporal,dv,15,har,507,0.23422594959048457,0.3495412487114882
maec,measured,temporal,v,30,persistence,507,0.20086508119562857,0.0
maec,measured,temporal,v,30,har,507,0.1591133318283705,0.20785966937974043
maec,measured,temporal,dv,30,persistence,507,0.20086508119562857,0.0
maec,measured,temporal,dv,30,har,507,0.1591133318283705,0.20785966937974043
maec,fallback,ticker_disjoint,v,3,persistence,514,1.2677528358911943,0.0
maec,fallback,ticker_disjoint,v,3,har,514,0.6674342160117328,0.473529699862556
maec,fallback,ticker_disjoint,dv,3,persistence,514,1.2677528358911943,0.0
maec,fallback,ticker_disjoint,dv,3,har,514,0.6674342160117328,0.473529699862556
maec,fallback,ticker_disjoint,v,7,persistence,514,0.4921959998235566,0.0
maec,fallback,ticker_disjoint,v,7,har,514,0.30570069189651633,0.3789045583342723
maec,fallback,ticker_disjoint,dv,7,persistence,514,0.4921959998235566,0.0
maec,fallback,ticker_disjoint,dv,7,har,514,0.30570069189651633,0.3789045583342723
