call_id,ticker,as_of,split
436857631,FCX,2025-07-23,excluded
437094698,KDP,2025-07-23,excluded
437328595,EA,2025-07-29,train
437438945,AWK,2025-07-30,excluded
437763254,KVUE,2025-08-06,train
441514131,STZ,2025-10-06,excluded
441515294,MKC,2025-10-06,excluded
441660275,PEP,2025-10-08,excluded
441674347,DAL,2025-10-09,excluded
441832346,FAST,2025-10-13,excluded
441902014,BLK,2025-10-13,excluded
441905261,DPZ,2025-10-13,excluded
441905781,JPM,2025-10-13,excluded
441906992,JNJ,2025-10-13,excluded
441909927,GS,2025-10-14,excluded
441913997,WFC,2025-10-14,excluded
441917254,C,2025-10-14,excluded
441978375,SYF,2025-10-14,excluded
441980949,BAC,2025-10-14,excluded
441982971,ABT,2025-10-14,excluded
441983377,CFG,2025-10-14,excluded
441986358,MS,2025-10-15,excluded
441992336,PNC,2025-10-15,excluded
441995462,PLD,2025-10-15,excluded
442011537,JBHT,2025-10-15,excluded
442050823,SCHW,2025-10-15,excluded
442053366,USB,2025-10-15,excluded
442053828,TRV,2025-10-15,excluded
442059893,SNA,2025-10-16,excluded
442060260,KEY,2025-10-16,excluded
442062256,UAL,2025-10-16,excluded
442063108,MTB,2025-10-16,excluded
442080290,IBKR,2025-10-16,excluded
442081004,CSX,2025-10-16,excluded
442123638,TFC,2025-10-16,excluded
442124818,AXP,2025-10-16,excluded
442126415,HBAN,2025-10-16,excluded
442128152,FITB,2025-10-16,excluded
442129163,SLB,2025-10-17,excluded
442131088,RF,2025-10-17,excluded
442134323,STT,2025-10-17,excluded
442226489,WRB,2025-10-20,excluded
442277393,NDAQ,2025-10-20,excluded
442277397,DHR,2025-10-20,excluded
442279182,RTX,2025-10-20,excluded
442279184,DGX,2025-10-20,excluded
442279576,GPC,2025-10-20,excluded
442279776,ELV,2025-10-20,excluded
442279894,GM,2025-10-20,excluded
442279895,KO,2025-10-20,excluded
442279925,PHM,2025-10-20,excluded
442281905,HAL,2025-10-20,excluded
442281910,MMM,2025-10-20,excluded
442282201,PNR,2025-10-20,excluded
442282274,PM,2025-10-20,excluded
442282593,EFX,2025-10-20,excluded
442284170,NOC,2025-10-21,excluded
442290567,LMT,2025-10-21,excluded
442291183,STLD,2025-10-21,excluded
442293248,PCAR,2025-10-21,excluded
442309263,TXN,2025-10-21,excluded
442309312,OMC,2025-10-21,excluded
442309685,NFLX,2025-10-21,excluded
442309805,ISRG,2025-10-21,excluded
442311906,COF,2025-10-21,excluded
442352639,GEV,2025-10-21,excluded
442353770,BSX,2025-10-21,excluded
442354994,CME,2025-10-21,excluded
442355516,CB,2025-10-21,excluded
442355559,TMO,2025-10-21,excluded
442355648,WAB,2025-10-21,excluded
442356642,T,2025-10-21,excluded
442357293,HLT,2025-10-21,excluded
442357729,MCO,2025-10-21,excluded
442357804,NTRS,2025-10-21,excluded
442359691,LII,2025-10-22,excluded
442362693,EQT,2025-10-22,excluded
442365113,TDY,2025-10-22,excluded
442365214,AVY,2025-10-22,excluded
442372040,APH,2025-10-22,excluded
442382024,CCI,2025-10-22,excluded
442382333,LVS,2025-10-22,excluded
442382381,KMI,2025-10-22,excluded
442383612,LRCX,2025-10-22,excluded
442383712,RJF,2025-10-22,excluded
442384253,IBM,2025-10-22,excluded
442385006,TSLA,2025-10-22,excluded
442422860,CNP,2025-10-22,excluded
442422984,TXT,2025-10-22,excluded
442423347,ALLE,2025-10-22,excluded
442424958,DOW,2025-10-22,excluded
442425250,WST,2025-10-22,excluded
442425254,TMUS,2025-10-22,excluded
442425362,MOH,2025-10-22,excluded
442426079,ROP,2025-10-22,excluded
442426734,HAS,2025-10-22,excluded
442426759,CBRE,2025-10-22,excluded
442428414,HON,2025-10-22,excluded
442428582,URI,2025-10-22,excluded
442428701,FE,2025-10-22,excluded
442428924,PKG,2025-10-22,excluded
442429614,UNP,2025-10-22,excluded
442429618,DOV,2025-10-23,excluded
442429851,BX,2025-10-22,excluded
442433195,VLO,2025-10-23,excluded
442434693,LUV,2025-10-23,excluded
442436357,PCG,2025-10-23,excluded
442438190,ORLY,2025-10-23,excluded
442438255,POOL,2025-10-23,excluded
442439317,GL,2025-10-23,excluded
442453227,VRSN,2025-10-23,excluded
442454175,NSC,2025-10-23,excluded
442454180,DECK,2025-10-23,excluded
442454997,F,2025-10-23,excluded
442455010,INTC,2025-10-23,excluded
442455187,DLR,2025-10-23,excluded
442455618,NEM,2025-10-23,excluded
442493488,PG,2025-10-23,excluded
442494446,GD,2025-10-23,excluded
442497368,BKR,2025-10-24,excluded
442499140,HCA,2025-10-24,excluded
442499460,ITW,2025-10-24,excluded
442500245,DOC,2025-10-24,excluded
442574566,RVTY,2025-10-24,excluded
442608025,FFIV,2025-10-27,excluded
442608842,CDNS,2025-10-27,excluded
442651946,CARR,2025-10-27,excluded
442654416,EG,2025-10-27,excluded
442654439,NXPI,2025-10-27,excluded
442654600,INCY,2025-10-27,excluded
442654623,UNH,2025-10-27,excluded
442654925,PYPL,2025-10-27,excluded
442655128,BRO,2025-10-27,excluded
442656193,AMT,2025-10-27,excluded
442656508,ZBRA,2025-10-27,excluded
442656682,DHI,2025-10-27,excluded
442656752,UPS,2025-10-27,excluded
442656851,GLW,2025-10-27,excluded
442657197,REGN,2025-10-27,excluded
442657466,XYL,2025-10-27,excluded
442657853,LH,2025-10-27,excluded
442658026,IQV,2025-10-27,excluded
442658327,UHS,2025-10-27,excluded
442658892,IVZ,2025-10-27,excluded
442659068,NEE,2025-10-27,excluded
442659690,HIG,2025-10-27,excluded
442659699,WELL,2025-10-27,excluded
442663562,AOS,2025-10-28,excluded
442664548,NUE,2025-10-28,excluded
442664800,SHW,2025-10-28,excluded
442665204,HUBB,2025-10-28,excluded
442665280,PFG,2025-10-28,excluded
442665288,ACGL,2025-10-28,excluded
442665621,SYY,2025-10-28,excluded
442666405,WM,2025-10-28,excluded
442668774,CINF,2025-10-28,excluded
442670214,MSCI,2025-10-28,excluded
442677423,ECL,2025-10-28,excluded
442681663,ARE,2025-10-28,excluded
442693967,EIX,2025-10-28,excluded
442696066,BKNG,2025-10-28,excluded
442701632,MDLZ,2025-10-28,excluded
442704217,STX,2025-10-28,excluded
442705806,V,2025-10-28,excluded
442708634,CSGP,2025-10-28,excluded
442915423,SW,2025-10-28,excluded
442917062,CVS,2025-10-28,excluded
442917449,MAS,2025-10-28,excluded
442917978,PPG,2025-10-28,excluded
