call_id,ticker,as_of,split
436857631,FCX,2025-07-23,train
437094698,KDP,2025-07-23,train
437328595,EA,2025-07-29,train
437438945,AWK,2025-07-30,train
437763254,KVUE,2025-08-06,train
441514131,STZ,2025-10-06,embargo
441515294,MKC,2025-10-06,embargo
441660275,PEP,2025-10-08,embargo
441674347,DAL,2025-10-09,embargo
441832346,FAST,2025-10-13,embargo
441902014,BLK,2025-10-13,embargo
441905261,DPZ,2025-10-13,embargo
441905781,JPM,2025-10-13,embargo
441906992,JNJ,2025-10-13,embargo
441909927,GS,2025-10-14,embargo
441913997,WFC,2025-10-14,embargo
441917254,C,2025-10-14,embargo
441978375,SYF,2025-10-14,embargo
441980949,BAC,2025-10-14,embargo
441982971,ABT,2025-10-14,embargo
441983377,CFG,2025-10-14,embargo
441986358,MS,2025-10-15,embargo
441992336,PNC,2025-10-15,embargo
441995462,PLD,2025-10-15,embargo
442011537,JBHT,2025-10-15,embargo
442050823,SCHW,2025-10-15,embargo
442053366,USB,2025-10-15,embargo
442053828,TRV,2025-10-15,embargo
442059893,SNA,2025-10-16,embargo
442060260,KEY,2025-10-16,embargo
442062256,UAL,2025-10-16,embargo
442063108,MTB,2025-10-16,embargo
442080290,IBKR,2025-10-16,embargo
442081004,CSX,2025-10-16,embargo
442123638,TFC,2025-10-16,embargo
442124818,AXP,2025-10-16,embargo
442126415,HBAN,2025-10-16,embargo
442128152,FITB,2025-10-16,embargo
442129163,SLB,2025-10-17,embargo
442131088,RF,2025-10-17,embargo
442134323,STT,2025-10-17,embargo
442226489,WRB,2025-10-20,embargo
442277393,NDAQ,2025-10-20,embargo
442277397,DHR,2025-10-20,embargo
442279182,RTX,2025-10-20,embargo
442279184,DGX,2025-10-20,embargo
442279576,GPC,2025-10-20,embargo
442279776,ELV,2025-10-20,embargo
442279894,GM,2025-10-20,embargo
442279895,KO,2025-10-20,embargo
442279925,PHM,2025-10-20,embargo
442281905,HAL,2025-10-20,embargo
442281910,MMM,2025-10-20,embargo
442282201,PNR,2025-10-20,embargo
442282274,PM,2025-10-20,embargo
442282593,EFX,2025-10-20,embargo
442284170,NOC,2025-10-21,embargo
442290567,LMT,2025-10-21,embargo
442291183,STLD,2025-10-21,embargo
442293248,PCAR,2025-10-21,embargo
442309263,TXN,2025-10-21,embargo
442309312,OMC,2025-10-21,embargo
442309685,NFLX,2025-10-21,embargo
442309805,ISRG,2025-10-21,embargo
442311906,COF,2025-10-21,embargo
442352639,GEV,2025-10-21,embargo
442353770,BSX,2025-10-21,embargo
442354994,CME,2025-10-21,embargo
442355516,CB,2025-10-21,embargo
442355559,TMO,2025-10-21,embargo
442355648,WAB,2025-10-21,embargo
442356642,T,2025-10-21,embargo
442357293,HLT,2025-10-21,embargo
442357729,MCO,2025-10-21,embargo
442357804,NTRS,2025-10-21,embargo
442359691,LII,2025-10-22,embargo
442362693,EQT,2025-10-22,embargo
442365113,TDY,2025-10-22,embargo
442365214,AVY,2025-10-22,embargo
442372040,APH,2025-10-22,embargo
442382024,CCI,2025-10-22,embargo
442382333,LVS,2025-10-22,embargo
442382381,KMI,2025-10-22,embargo
442383612,LRCX,2025-10-22,embargo
442383712,RJF,2025-10-22,embargo
442384253,IBM,2025-10-22,embargo
442385006,TSLA,2025-10-22,embargo
442422860,CNP,2025-10-22,embargo
442422984,TXT,2025-10-22,embargo
442423347,ALLE,2025-10-22,embargo
442424958,DOW,2025-10-22,embargo
442425250,WST,2025-10-22,embargo
442425254,TMUS,2025-10-22,embargo
442425362,MOH,2025-10-22,embargo
442426079,ROP,2025-10-22,embargo
442426734,HAS,2025-10-22,embargo
442426759,CBRE,2025-10-22,embargo
442428414,HON,2025-10-22,embargo
442428582,URI,2025-10-22,embargo
442428701,FE,2025-10-22,embargo
442428924,PKG,2025-10-22,embargo
442429614,UNP,2025-10-22,embargo
442429618,DOV,2025-10-23,embargo
442429851,BX,2025-10-22,embargo
442433195,VLO,2025-10-23,embargo
442434693,LUV,2025-10-23,embargo
442436357,PCG,2025-10-23,embargo
442438190,ORLY,2025-10-23,embargo
442438255,POOL,2025-10-23,embargo
442439317,GL,2025-10-23,embargo
442453227,VRSN,2025-10-23,embargo
442454175,NSC,2025-10-23,embargo
442454180,DECK,2025-10-23,embargo
442454997,F,2025-10-23,embargo
442455010,INTC,2025-10-23,embargo
442455187,DLR,2025-10-23,embargo
442455618,NEM,2025-10-23,embargo
442493488,PG,2025-10-23,embargo
442494446,GD,2025-10-23,embargo
442497368,BKR,2025-10-24,embargo
442499140,HCA,2025-10-24,embargo
442499460,ITW,2025-10-24,embargo
442500245,DOC,2025-10-24,embargo
442574566,RVTY,2025-10-24,embargo
442608025,FFIV,2025-10-27,embargo
442608842,CDNS,2025-10-27,embargo
442651946,CARR,2025-10-27,embargo
442654416,EG,2025-10-27,embargo
442654439,NXPI,2025-10-27,embargo
442654600,INCY,2025-10-27,embargo
442654623,UNH,2025-10-27,embargo
442654925,PYPL,2025-10-27,embargo
442655128,BRO,2025-10-27,embargo
442656193,AMT,2025-10-27,embargo
442656508,ZBRA,2025-10-27,embargo
442656682,DHI,2025-10-27,embargo
442656752,UPS,2025-10-27,embargo
442656851,GLW,2025-10-27,embargo
442657197,REGN,2025-10-27,embargo
442657466,XYL,2025-10-27,embargo
442657853,LH,2025-10-27,embargo
442658026,IQV,2025-10-27,embargo
442658327,UHS,2025-10-27,embargo
442658892,IVZ,2025-10-27,embargo
442659068,NEE,2025-10-27,embargo
442659690,HIG,2025-10-27,embargo
442659699,WELL,2025-10-27,embargo
442663562,AOS,2025-10-28,embargo
442664548,NUE,2025-10-28,embargo
442664800,SHW,2025-10-28,embargo
442665204,HUBB,2025-10-28,embargo
442665280,PFG,2025-10-28,embargo
442665288,ACGL,2025-10-28,embargo
442665621,SYY,2025-10-28,embargo
442666405,WM,2025-10-28,embargo
442668774,CINF,2025-10-28,embargo
442670214,MSCI,2025-10-28,embargo
442677423,ECL,2025-10-28,embargo
442681663,ARE,2025-10-28,embargo
442693967,EIX,2025-10-28,embargo
442696066,BKNG,2025-10-28,embargo
442701632,MDLZ,2025-10-28,embargo
442704217,STX,2025-10-28,embargo
442705806,V,2025-10-28,embargo
442708634,CSGP,2025-10-28,embargo
442915423,SW,2025-10-28,embargo
442917062,CVS,2025-10-28,embargo
442917449,MAS,2025-10-28,embargo
442917978,PPG,2025-10-28,embargo
442918811,TEL,2025-10-28,embargo
442919233,ADP,2025-10-28,embargo
442919557,VRSK,2025-10-28,embargo
442919591,VLTO,2025-10-28,embargo
442919687,VZ,2025-10-28,embargo
442919753,CTSH,2025-10-28,embargo
442919761,OTIS,2025-10-28,embargo
442919806,TER,2025-10-28,embargo
442920086,GEHC,2025-10-28,embargo
442921197,EXE,2025-10-28,embargo
442921833,KHC,2025-10-28,embargo
442922200,IEX,2025-10-28,embargo
442922567,CNC,2025-10-28,embargo
442927650,GRMN,2025-10-29,embargo
442928239,ODFL,2025-10-29,embargo
442928262,BXP,2025-10-29,embargo
442928406,GNRC,2025-10-29,embargo
442929366,BA,2025-10-29,embargo
442930819,OKE,2025-10-29,embargo
442931393,REG,2025-10-29,embargo
442931690,ETR,2025-10-29,embargo
442932100,NI,2025-10-29,embargo
442933004,CAT,2025-10-28,embargo
442935165,PSX,2025-10-29,embargo
442935453,FTV,2025-10-29,embargo
442938114,AEP,2025-10-28,embargo
442956987,SBUX,2025-10-29,embargo
442961795,ALGN,2025-10-29,embargo
442962768,META,2025-10-29,embargo
442963610,CMG,2025-10-29,embargo
442966069,DVA,2025-10-29,embargo
442967820,MGM,2025-10-29,embargo
442970974,KLAC,2025-10-29,embargo
442973020,NOW,2025-10-29,embargo
442976392,GOOGL,2025-10-29,embargo
442977512,MSFT,2025-10-29,embargo
442978823,EQIX,2025-10-29,embargo
442980128,EBAY,2025-10-29,embargo
442982074,CHRW,2025-10-29,embargo
443164704,KMB,2025-10-29,embargo
443165346,FOXA,2025-10-29,embargo
443166939,BMY,2025-10-29,embargo
443167147,APTV,2025-10-29,embargo
443168064,CAH,2025-10-29,embargo
443168134,HSY,2025-10-29,embargo
443168306,DTE,2025-10-29,embargo
443168327,CMCSA,2025-10-29,embargo
443168345,ROL,2025-10-29,embargo
443168462,AME,2025-10-29,embargo
443168764,ICE,2025-10-29,embargo
443169231,CI,2025-10-29,embargo
443169238,BAX,2025-10-29,embargo
443169283,KIM,2025-10-29,embargo
443169695,BIIB,2025-10-29,embargo
443170609,HII,2025-10-29,embargo
443170994,SPGI,2025-10-29,embargo
443171161,MO,2025-10-29,embargo
443171303,AMP,2025-10-29,embargo
443172400,WTW,2025-10-29,embargo
443172429,PWR,2025-10-29,embargo
443172991,MA,2025-10-29,embargo
443173537,MRK,2025-10-29,embargo
443174603,BLDR,2025-10-29,embargo
443174763,CMS,2025-10-30,embargo
443176510,VMC,2025-10-30,embargo
443177771,XEL,2025-10-30,embargo
443178307,VTR,2025-10-30,embargo
443178364,IP,2025-10-30,embargo
443178368,MAA,2025-10-30,embargo
443178524,HWM,2025-10-30,embargo
443178554,LLY,2025-10-30,embargo
443178750,TYL,2025-10-30,embargo
443178934,TT,2025-10-30,embargo
443180918,EME,2025-10-30,embargo
443181258,LHX,2025-10-30,embargo
443182856,INVH,2025-10-30,embargo
443184295,PRU,2025-10-30,embargo
443187814,PSA,2025-10-30,embargo
443188899,UDR,2025-10-30,embargo
443192146,SO,2025-10-30,embargo
443192613,EXR,2025-10-30,embargo
443193309,AVB,2025-10-30,embargo
443196601,ESS,2025-10-30,embargo
443196718,WEC,2025-10-30,embargo
443204242,WDC,2025-10-30,embargo
443204291,SYK,2025-10-30,embargo
443204561,GILD,2025-10-30,embargo
443204686,FSLR,2025-10-30,embargo
443204808,RMD,2025-10-30,embargo
443204973,DXCM,2025-10-30,embargo
443205282,MPWR,2025-10-30,embargo
443205335,RSG,2025-10-30,embargo
443205341,AMZN,2025-10-30,embargo
443205645,AAPL,2025-10-30,embargo
443205748,GDDY,2025-10-30,embargo
443205754,MSI,2025-10-30,embargo
443206012,COIN,2025-10-30,embargo
443206563,AJG,2025-10-30,embargo
443248516,TROW,2025-10-30,embargo
443249242,IR,2025-10-30,embargo
443251812,CHTR,2025-10-30,embargo
443252063,AON,2025-10-30,embargo
443252089,CL,2025-10-30,embargo
443252703,CBOE,2025-10-30,embargo
443253619,FRT,2025-10-30,embargo
443254069,LIN,2025-10-30,embargo
443255038,ERIE,2025-10-31,embargo
443255366,ABBV,2025-10-30,embargo
443256014,XOM,2025-10-31,embargo
443257858,CHD,2025-10-31,embargo
443258318,WY,2025-10-31,embargo
443258641,VICI,2025-10-31,embargo
443261704,D,2025-10-31,embargo
443261857,CVX,2025-10-31,embargo
443262201,GWW,2025-10-31,embargo
443263046,LYB,2025-10-31,embargo
443339356,IDXX,2025-10-31,embargo
443341767,ON,2025-10-31,embargo
443348764,PNW,2025-11-03,embargo
443349930,PEG,2025-11-03,embargo
443373502,VRTX,2025-11-03,embargo
443375444,PLTR,2025-11-03,embargo
443377096,CLX,2025-11-03,embargo
443379434,O,2025-11-03,embargo
443379541,SPG,2025-11-03,embargo
443380032,SBAC,2025-11-03,embargo
443563511,UBER,2025-11-03,embargo
443565330,LDOS,2025-11-03,embargo
443565543,IT,2025-11-03,embargo
443565803,GPN,2025-11-03,embargo
443567324,YUM,2025-11-03,embargo
443567349,WAT,2025-11-03,embargo
443567605,NCLH,2025-11-03,embargo
443568049,HSIC,2025-11-03,embargo
443568115,SWK,2025-11-03,embargo
443570633,BR,2025-11-03,embargo
443570653,ZTS,2025-11-03,embargo
443570892,CDW,2025-11-03,embargo
443571196,MAR,2025-11-03,embargo
443572314,ADM,2025-11-03,embargo
443575148,TAP,2025-11-03,embargo
443575901,APO,2025-11-03,embargo
443576095,FANG,2025-11-03,embargo
443581475,PGR,2025-11-04,embargo
443582070,WMB,2025-11-04,embargo
443582468,EXC,2025-11-04,embargo
443583952,MLM,2025-11-04,embargo
443585291,PFE,2025-11-04,embargo
443588847,MPC,2025-11-04,embargo
443589372,BALL,2025-11-04,embargo
443589985,ETN,2025-11-04,embargo
443607413,SWKS,2025-11-04,embargo
443608480,LYV,2025-11-04,embargo
443608555,ANET,2025-11-04,embargo
443609475,AMGN,2025-11-04,embargo
443609807,SMCI,2025-11-04,embargo
443610071,AMD,2025-11-04,embargo
443610072,MTCH,2025-11-04,embargo
443658897,AIZ,2025-11-04,embargo
443659318,TRMB,2025-11-04,embargo
443659820,BG,2025-11-04,embargo
443660215,HUM,2025-11-04,embargo
443661183,IRM,2025-11-04,embargo
443661385,AFL,2025-11-04,embargo
