call_id,ticker,as_of,split
436857631,FCX,2025-07-23,test
437094698,KDP,2025-07-23,val
437328595,EA,2025-07-29,train
437438945,AWK,2025-07-30,val
437763254,KVUE,2025-08-06,train
441514131,STZ,2025-10-06,val
441515294,MKC,2025-10-06,train
441660275,PEP,2025-10-08,train
441674347,DAL,2025-10-09,train
441832346,FAST,2025-10-13,train
441902014,BLK,2025-10-13,train
441905261,DPZ,2025-10-13,train
441905781,JPM,2025-10-13,train
441906992,JNJ,2025-10-13,test
441909927,GS,2025-10-14,test
441913997,WFC,2025-10-14,train
441917254,C,2025-10-14,train
441978375,SYF,2025-10-14,train
441980949,BAC,2025-10-14,train
441982971,ABT,2025-10-14,train
441983377,CFG,2025-10-14,train
441986358,MS,2025-10-15,val
441992336,PNC,2025-10-15,train
441995462,PLD,2025-10-15,train
442011537,JBHT,2025-10-15,train
442050823,SCHW,2025-10-15,train
442053366,USB,2025-10-15,train
442053828,TRV,2025-10-15,test
442059893,SNA,2025-10-16,val
442060260,KEY,2025-10-16,test
442062256,UAL,2025-10-16,train
442063108,MTB,2025-10-16,val
442080290,IBKR,2025-10-16,train
442081004,CSX,2025-10-16,train
442123638,TFC,2025-10-16,val
442124818,AXP,2025-10-16,test
442126415,HBAN,2025-10-16,train
442128152,FITB,2025-10-16,train
442129163,SLB,2025-10-17,val
442131088,RF,2025-10-17,train
442134323,STT,2025-10-17,train
442226489,WRB,2025-10-20,test
442277393,NDAQ,2025-10-20,val
442277397,DHR,2025-10-20,train
442279182,RTX,2025-10-20,train
442279184,DGX,2025-10-20,train
442279576,GPC,2025-10-20,train
442279776,ELV,2025-10-20,test
442279894,GM,2025-10-20,train
442279895,KO,2025-10-20,test
442279925,PHM,2025-10-20,train
442281905,HAL,2025-10-20,train
442281910,MMM,2025-10-20,train
442282201,PNR,2025-10-20,val
442282274,PM,2025-10-20,val
442282593,EFX,2025-10-20,train
442284170,NOC,2025-10-21,test
442290567,LMT,2025-10-21,train
442291183,STLD,2025-10-21,train
442293248,PCAR,2025-10-21,train
442309263,TXN,2025-10-21,train
442309312,OMC,2025-10-21,train
442309685,NFLX,2025-10-21,train
442309805,ISRG,2025-10-21,train
442311906,COF,2025-10-21,test
442352639,GEV,2025-10-21,train
442353770,BSX,2025-10-21,train
442354994,CME,2025-10-21,train
442355516,CB,2025-10-21,train
442355559,TMO,2025-10-21,test
442355648,WAB,2025-10-21,train
442356642,T,2025-10-21,test
442357293,HLT,2025-10-21,train
442357729,MCO,2025-10-21,train
442357804,NTRS,2025-10-21,train
442359691,LII,2025-10-22,train
442362693,EQT,2025-10-22,test
442365113,TDY,2025-10-22,val
442365214,AVY,2025-10-22,train
442372040,APH,2025-10-22,train
442382024,CCI,2025-10-22,val
442382333,LVS,2025-10-22,val
442382381,KMI,2025-10-22,train
442383612,LRCX,2025-10-22,train
442383712,RJF,2025-10-22,train
442384253,IBM,2025-10-22,train
442385006,TSLA,2025-10-22,train
442422860,CNP,2025-10-22,val
442422984,TXT,2025-10-22,test
442423347,ALLE,2025-10-22,train
442424958,DOW,2025-10-22,train
442425250,WST,2025-10-22,train
442425254,TMUS,2025-10-22,train
442425362,MOH,2025-10-22,test
442426079,ROP,2025-10-22,train
442426734,HAS,2025-10-22,val
442426759,CBRE,2025-10-22,test
442428414,HON,2025-10-22,test
442428582,URI,2025-10-22,train
442428701,FE,2025-10-22,train
442428924,PKG,2025-10-22,train
442429614,UNP,2025-10-22,train
442429618,DOV,2025-10-23,train
442429851,BX,2025-10-22,val
442433195,VLO,2025-10-23,test
442434693,LUV,2025-10-23,val
442436357,PCG,2025-10-23,train
442438190,ORLY,2025-10-23,val
442438255,POOL,2025-10-23,train
442439317,GL,2025-10-23,train
442453227,VRSN,2025-10-23,val
442454175,NSC,2025-10-23,train
442454180,DECK,2025-10-23,test
442454997,F,2025-10-23,test
442455010,INTC,2025-10-23,train
442455187,DLR,2025-10-23,train
442455618,NEM,2025-10-23,test
442493488,PG,2025-10-23,train
442494446,GD,2025-10-23,val
442497368,BKR,2025-10-24,train
442499140,HCA,2025-10-24,train
442499460,ITW,2025-10-24,train
442500245,DOC,2025-10-24,test
442574566,RVTY,2025-10-24,train
442608025,FFIV,2025-10-27,train
442608842,CDNS,2025-10-27,train
442651946,CARR,2025-10-27,test
442654416,EG,2025-10-27,val
442654439,NXPI,2025-10-27,train
442654600,INCY,2025-10-27,train
442654623,UNH,2025-10-27,train
442654925,PYPL,2025-10-27,test
442655128,BRO,2025-10-27,train
442656193,AMT,2025-10-27,train
442656508,ZBRA,2025-10-27,val
442656682,DHI,2025-10-27,test
442656752,UPS,2025-10-27,test
442656851,GLW,2025-10-27,train
442657197,REGN,2025-10-27,train
442657466,XYL,2025-10-27,train
442657853,LH,2025-10-27,train
442658026,IQV,2025-10-27,test
442658327,UHS,2025-10-27,train
442658892,IVZ,2025-10-27,train
442659068,NEE,2025-10-27,train
442659690,HIG,2025-10-27,test
442659699,WELL,2025-10-27,test
442663562,AOS,2025-10-28,train
442664548,NUE,2025-10-28,train
442664800,SHW,2025-10-28,train
442665204,HUBB,2025-10-28,test
442665280,PFG,2025-10-28,train
442665288,ACGL,2025-10-28,train
442665621,SYY,2025-10-28,train
442666405,WM,2025-10-28,train
442668774,CINF,2025-10-28,train
442670214,MSCI,2025-10-28,train
442677423,ECL,2025-10-28,train
442681663,ARE,2025-10-28,train
442693967,EIX,2025-10-28,val
442696066,BKNG,2025-10-28,train
442701632,MDLZ,2025-10-28,test
442704217,STX,2025-10-28,val
442705806,V,2025-10-28,train
442708634,CSGP,2025-10-28,test
442915423,SW,2025-10-28,train
442917062,CVS,2025-10-28,train
442917449,MAS,2025-10-28,train
442917978,PPG,2025-10-28,train
442918811,TEL,2025-10-28,train
442919233,ADP,2025-10-28,train
442919557,VRSK,2025-10-28,train
442919591,VLTO,2025-10-28,train
442919687,VZ,2025-10-28,val
442919753,CTSH,2025-10-28,train
442919761,OTIS,2025-10-28,train
442919806,TER,2025-10-28,test
442920086,GEHC,2025-10-28,train
442921197,EXE,2025-10-28,test
442921833,KHC,2025-10-28,train
442922200,IEX,2025-10-28,test
442922567,CNC,2025-10-28,val
442927650,GRMN,2025-10-29,train
442928239,ODFL,2025-10-29,train
442928262,BXP,2025-10-29,train
442928406,GNRC,2025-10-29,train
442929366,BA,2025-10-29,test
442930819,OKE,2025-10-29,train
442931393,REG,2025-10-29,test
442931690,ETR,2025-10-29,train
442932100,NI,2025-10-29,train
442933004,CAT,2025-10-28,test
442935165,PSX,2025-10-29,train
442935453,FTV,2025-10-29,test
442938114,AEP,2025-10-28,train
442956987,SBUX,2025-10-29,train
442961795,ALGN,2025-10-29,test
442962768,META,2025-10-29,train
442963610,CMG,2025-10-29,train
442966069,DVA,2025-10-29,val
442967820,MGM,2025-10-29,train
442970974,KLAC,2025-10-29,train
442973020,NOW,2025-10-29,test
442976392,GOOGL,2025-10-29,train
442977512,MSFT,2025-10-29,test
442978823,EQIX,2025-10-29,test
442980128,EBAY,2025-10-29,test
442982074,CHRW,2025-10-29,train
443164704,KMB,2025-10-29,test
443165346,FOXA,2025-10-29,train
443166939,BMY,2025-10-29,train
443167147,APTV,2025-10-29,train
443168064,CAH,2025-10-29,train
443168134,HSY,2025-10-29,val
443168306,DTE,2025-10-29,train
443168327,CMCSA,2025-10-29,train
443168345,ROL,2025-10-29,train
443168462,AME,2025-10-29,train
443168764,ICE,2025-10-29,train
443169231,CI,2025-10-29,train
443169238,BAX,2025-10-29,test
443169283,KIM,2025-10-29,train
443169695,BIIB,2025-10-29,train
443170609,HII,2025-10-29,train
443170994,SPGI,2025-10-29,test
443171161,MO,2025-10-29,train
443171303,AMP,2025-10-29,train
443172400,WTW,2025-10-29,test
443172429,PWR,2025-10-29,test
443172991,MA,2025-10-29,test
443173537,MRK,2025-10-29,val
443174603,BLDR,2025-10-29,train
443174763,CMS,2025-10-30,val
443176510,VMC,2025-10-30,train
443177771,XEL,2025-10-30,train
443178307,VTR,2025-10-30,train
443178364,IP,2025-10-30,train
443178368,MAA,2025-10-30,train
443178524,HWM,2025-10-30,train
443178554,LLY,2025-10-30,test
443178750,TYL,2025-10-30,test
443178934,TT,2025-10-30,val
443180918,EME,2025-10-30,train
443181258,LHX,2025-10-30,test
443182856,INVH,2025-10-30,val
443184295,PRU,2025-10-30,train
443187814,PSA,2025-10-30,train
443188899,UDR,2025-10-30,train
443192146,SO,2025-10-30,train
443192613,EXR,2025-10-30,train
443193309,AVB,2025-10-30,val
443196601,ESS,2025-10-30,test
443196718,WEC,2025-10-30,test
443204242,WDC,2025-10-30,train
443204291,SYK,2025-10-30,train
443204561,GILD,2025-10-30,train
443204686,FSLR,2025-10-30,train
443204808,RMD,2025-10-30,test
443204973,DXCM,2025-10-30,train
443205282,MPWR,2025-10-30,train
443205335,RSG,2025-10-30,test
443205341,AMZN,2025-10-30,train
443205645,AAPL,2025-10-30,test
443205748,GDDY,2025-10-30,test
443205754,MSI,2025-10-30,train
443206012,COIN,2025-10-30,train
443206563,AJG,2025-10-30,train
443248516,TROW,2025-10-30,train
443249242,IR,2025-10-30,val
443251812,CHTR,2025-10-30,train
443252063,AON,2025-10-30,test
443252089,CL,2025-10-30,train
443252703,CBOE,2025-10-30,train
443253619,FRT,2025-10-30,train
443254069,LIN,2025-10-30,test
443255038,ERIE,2025-10-31,train
443255366,ABBV,2025-10-30,train
443256014,XOM,2025-10-31,train
443257858,CHD,2025-10-31,train
443258318,WY,2025-10-31,train
443258641,VICI,2025-10-31,train
443261704,D,2025-10-31,train
443261857,CVX,2025-10-31,train
443262201,GWW,2025-10-31,train
443263046,LYB,2025-10-31,train
443339356,IDXX,2025-10-31,train
443341767,ON,2025-10-31,train
443348764,PNW,2025-11-03,test
443349930,PEG,2025-11-03,val
443373502,VRTX,2025-11-03,val
443375444,PLTR,2025-11-03,train
443377096,CLX,2025-11-03,train
443379434,O,2025-11-03,train
443379541,SPG,2025-11-03,train
443380032,SBAC,2025-11-03,train
443563511,UBER,2025-11-03,train
443565330,LDOS,2025-11-03,train
443565543,IT,2025-11-03,train
443565803,GPN,2025-11-03,train
443567324,YUM,2025-11-03,test
443567349,WAT,2025-11-03,train
443567605,NCLH,2025-11-03,train
443568049,HSIC,2025-11-03,train
443568115,SWK,2025-11-03,train
443570633,BR,2025-11-03,test
443570653,ZTS,2025-11-03,train
443570892,CDW,2025-11-03,train
443571196,MAR,2025-11-03,train
443572314,ADM,2025-11-03,train
443575148,TAP,2025-11-03,train
443575901,APO,2025-11-03,test
443576095,FANG,2025-11-03,train
443581475,PGR,2025-11-04,train
443582070,WMB,2025-11-04,train
443582468,EXC,2025-11-04,val
443583952,MLM,2025-11-04,test
443585291,PFE,2025-11-04,val
443588847,MPC,2025-11-04,train
443589372,BALL,2025-11-04,test
443589985,ETN,2025-11-04,train
443607413,SWKS,2025-11-04,train
443608480,LYV,2025-11-04,train
443608555,ANET,2025-11-04,test
443609475,AMGN,2025-11-04,train
443609807,SMCI,2025-11-04,train
443610071,AMD,2025-11-04,train
443610072,MTCH,2025-11-04,val
443658897,AIZ,2025-11-04,val
443659318,TRMB,2025-11-04,train
443659820,BG,2025-11-04,train
443660215,HUM,2025-11-04,train
443661183,IRM,2025-11-04,train
443661385,AFL,2025-11-04,train
443662535,EMR,2025-11-04,train
443662733,AIG,2025-11-04,train
443662800,ZBH,2025-11-04,train
443663023,MCD,2025-11-04,test
443663031,COR,2025-11-04,train
443663125,FIS,2025-11-04,train
443663130,JCI,2025-11-04,train
443664136,JKHY,2025-11-04,train
443664256,ES,2025-11-04,train
443664840,IFF,2025-11-04,train
443665092,TECH,2025-11-04,train
443665334,CTVA,2025-11-04,train
443666477,CRL,2025-11-04,train
443669985,AES,2025-11-05,train
443674343,TRGP,2025-11-05,train
443674764,PPL,2025-11-05,train
443675014,MOS,2025-11-05,train
443678172,SRE,2025-11-05,train
443693707,QCOM,2025-11-05,train
443694044,MCK,2025-11-05,test
443694299,FTNT,2025-11-05,train
443694542,FICO,2025-11-05,train
443694587,APP,2025-11-05,train
443694601,TKO,2025-11-05,train
443695078,PAYC,2025-11-05,train
443695087,DASH,2025-11-05,val
443695284,HOOD,2025-11-05,train
443695299,PTC,2025-11-05,train
443695558,AMCR,2025-11-05,train
443696205,CPAY,2025-11-05,train
443747192,DD,2025-11-05,train
443747222,MRNA,2025-11-05,train
443747234,WBD,2025-11-05,train
443747503,BDX,2025-11-05,train
443747614,ALB,2025-11-05,val
443747757,DDOG,2025-11-05,test
443748309,PODD,2025-11-05,train
443748425,TPR,2025-11-05,train
443748429,EPAM,2025-11-05,train
443749656,VTRS,2025-11-05,train
443749658,ROK,2025-11-05,train
443751018,STE,2025-11-05,train
443752152,MET,2025-11-05,test
443752448,APD,2025-11-05,val
443752575,HST,2025-11-05,train
443752596,NRG,2025-11-05,train
443752735,EVRG,2025-11-05,test
443752741,ALL,2025-11-05,train
443753354,RL,2025-11-05,train
443754120,ATO,2025-11-06,test
443755839,VST,2025-11-06,test
443756807,AEE,2025-11-06,train
443757425,TPL,2025-11-06,test
443757629,CMI,2025-11-06,train
443760700,DVN,2025-11-06,val
443760865,PH,2025-11-06,test
443761646,CF,2025-11-06,train
443761839,APA,2025-11-06,train
443765658,COP,2025-11-06,train
443778022,SOLV,2025-11-06,test
443778028,TTWO,2025-11-06,test
443778035,WYNN,2025-11-06,train
443778349,EXPE,2025-11-06,train
443779430,NWSA,2025-11-06,test
443779476,MNST,2025-11-06,train
443780200,AKAM,2025-11-06,train
443780209,ABNB,2025-11-06,train
443780316,XYZ,2025-11-06,train
443780465,MCHP,2025-11-06,train
443780478,TTD,2025-11-06,train
443780738,GEN,2025-11-06,train
443824402,MTD,2025-11-06,train
443826902,KKR,2025-11-06,test
443828583,DUK,2025-11-07,train
443829112,LNT,2025-11-07,train
443830006,EOG,2025-11-07,train
443830016,CEG,2025-11-07,train
443833806,CPT,2025-11-07,train
443833979,BEN,2025-11-07,train
443908527,TSN,2025-11-07,train
443933579,PSKY,2025-11-10,train
443997424,OXY,2025-11-11,train
444066143,TDG,2025-11-12,train
444085051,CSCO,2025-11-12,val
444132883,DIS,2025-11-12,train
444162394,AMAT,2025-11-13,train
444353350,MDT,2025-11-17,train
444359927,HD,2025-11-17,train
444549390,TGT,2025-11-18,test
444560632,LOW,2025-11-18,train
444571762,WSM,2025-11-19,train
444589194,TJX,2025-11-19,train
444641780,PANW,2025-11-19,train
444642745,NVDA,2025-11-19,train
444783240,WMT,2025-11-19,train
444790959,J,2025-11-20,train
444811967,ROST,2025-11-20,train
444812736,INTU,2025-11-20,test
444814277,CPRT,2025-11-20,train
444957849,KEYS,2025-11-24,train
445001211,BBY,2025-11-24,train
445003232,SJM,2025-11-24,train
445009082,ADI,2025-11-25,test
445030291,WDAY,2025-11-25,train
445030409,DELL,2025-11-25,train
445031038,ADSK,2025-11-25,train
445031126,HPQ,2025-11-25,train
445032164,NTAP,2025-11-25,test
445080142,DE,2025-11-26,val
445339910,CRWD,2025-12-02,train
445381353,DLTR,2025-12-02,test
445412819,CRM,2025-12-03,train
445456099,HRL,2025-12-03,train
445456907,DG,2025-12-03,train
445459647,BF-A,2025-12-04,test
445459835,KR,2025-12-04,train
445479225,ULTA,2025-12-04,test
445480106,HPE,2025-12-04,train
445480196,COO,2025-12-04,train
445662695,CPB,2025-12-08,test
445671889,AZO,2025-12-09,test
445770166,ORCL,2025-12-10,test
445771253,ADBE,2025-12-10,train
445771371,SNPS,2025-12-10,train
445813752,NDSN,2025-12-10,train
445840835,LULU,2025-12-11,test
445841507,AVGO,2025-12-11,train
445841743,COST,2025-12-11,train
446266716,JBL,2025-12-16,train
446267951,GIS,2025-12-16,train
446277434,LEN,2025-12-17,train
446315338,MU,2025-12-17,train
446501468,ACN,2025-12-17,train
446506015,DRI,2025-12-17,train
446506136,FDS,2025-12-17,test
446509822,CTAS,2025-12-18,test
446542479,NKE,2025-12-18,train
446549708,FDX,2025-12-18,train
446678917,CAG,2025-12-19,train
446679551,PAYX,2025-12-19,train
446680574,LW,2025-12-19,train
446681167,CCL,2025-12-19,train
