call_id,ticker,as_of,split
3M Company_20170425,MMM,2017-04-25,train
3M Company_20170725,MMM,2017-07-25,excluded
A.O. Smith Corp_20170726,AOS,2017-07-26,excluded
ABIOMED Inc_20170504,ABMD,2017-05-04,train
AES Corp_20170508,AES,2017-05-08,train
AES Corp_20171102,AES,2017-11-02,excluded
AMETEK Inc._20170207,AME,2017-02-07,train
AMETEK Inc._20170802,AME,2017-08-02,excluded
AT&T Inc._20170425,T,2017-04-25,train
AT&T Inc._20171024,T,2017-10-24,excluded
AbbVie Inc._20170427,ABBV,2017-04-27,train
AbbVie Inc._20170728,ABBV,2017-07-28,excluded
AbbVie Inc._20171027,ABBV,2017-10-27,excluded
Abbott Laboratories_20171018,ABT,2017-10-18,excluded
Activision Blizzard_20170209,ATVI,2017-02-09,train
Activision Blizzard_20170504,ATVI,2017-05-04,train
Adobe Systems Inc_20170316,ADBE,2017-03-16,train
Advance Auto Parts_20170524,AAP,2017-05-24,train
Advanced Micro Devices Inc_20170501,AMD,2017-05-01,excluded
Advanced Micro Devices Inc_20170725,AMD,2017-07-25,excluded
Advanced Micro Devices Inc_20171024,AMD,2017-10-24,excluded
Aetna Inc_20170131,AET,2017-01-31,train
Aetna Inc_20170502,AET,2017-05-02,train
Aetna Inc_20171031,AET,2017-10-31,excluded
Agilent Technologies Inc_20170214,A,2017-02-14,excluded
Akamai Technologies Inc_20170207,AKAM,2017-02-07,excluded
Akamai Technologies Inc_20170502,AKAM,2017-05-02,excluded
Alaska Air Group Inc_20170208,ALK,2017-02-08,train
Alaska Air Group Inc_20171025,ALK,2017-10-25,excluded
Alexion Pharmaceuticals_20171026,ALXN,2017-10-26,excluded
Align Technology_20170131,ALGN,2017-01-31,excluded
Align Technology_20170427,ALGN,2017-04-27,excluded
Align Technology_20170727,ALGN,2017-07-27,excluded
Allegion_20170209,ALLE,2017-02-09,excluded
Allegion_20170427,ALLE,2017-04-27,excluded
"Allergan, Plc_20170803",AGN,2017-08-03,excluded
Alliance Data Systems_20170126,ADS,2017-01-26,train
Alliance Data Systems_20170420,ADS,2017-04-20,train
Alliance Data Systems_20171019,ADS,2017-10-19,excluded
Altria Group Inc_20170502,MO,2017-05-02,train
Altria Group Inc_20170727,MO,2017-07-27,excluded
Altria Group Inc_20171026,MO,2017-10-26,excluded
Amazon.com Inc._20170202,AMZN,2017-02-02,excluded
Amazon.com Inc._20170427,AMZN,2017-04-27,excluded
Ameren Corp_20170216,AEE,2017-02-16,train
American Express Co_20170419,AXP,2017-04-19,train
American Express Co_20170719,AXP,2017-07-19,excluded
American Express Co_20171018,AXP,2017-10-18,excluded
American Tower Corp A_20170227,AMT,2017-02-27,excluded
American Tower Corp A_20170427,AMT,2017-04-27,excluded
AmerisourceBergen Corp_20170131,ABC,2017-01-31,excluded
AmerisourceBergen Corp_20170504,ABC,2017-05-04,excluded
AmerisourceBergen Corp_20170803,ABC,2017-08-03,excluded
AmerisourceBergen Corp_20171102,ABC,2017-11-02,test
Amgen Inc._20170725,AMGN,2017-07-25,excluded
Amgen Inc._20171025,AMGN,2017-10-25,excluded
Anthem Inc._20170201,ANTM,2017-02-01,excluded
Anthem Inc._20170426,ANTM,2017-04-26,excluded
Anthem Inc._20170726,ANTM,2017-07-26,excluded
Aon plc_20170509,AON,2017-05-09,train
Aon plc_20171027,AON,2017-10-27,excluded
Apache Corporation_20170223,APA,2017-02-23,train
Apache Corporation_20171102,APA,2017-11-02,excluded
Archer-Daniels-Midland Co_20170207,ADM,2017-02-07,train
Archer-Daniels-Midland Co_20170502,ADM,2017-05-02,train
Archer-Daniels-Midland Co_20170801,ADM,2017-08-01,excluded
Archer-Daniels-Midland Co_20171031,ADM,2017-10-31,excluded
Autodesk Inc._20170302,ADSK,2017-03-02,train
Automatic Data Processing_20170201,ADP,2017-02-01,train
Automatic Data Processing_20170503,ADP,2017-05-03,train
Automatic Data Processing_20170727,ADP,2017-07-27,excluded
Automatic Data Processing_20171102,ADP,2017-11-02,excluded
Avery Dennison Corp_20170201,AVY,2017-02-01,train
Avery Dennison Corp_20170426,AVY,2017-04-26,train
Avery Dennison Corp_20170725,AVY,2017-07-25,excluded
Avery Dennison Corp_20171025,AVY,2017-10-25,excluded
Ball Corp_20170504,BLL,2017-05-04,train
Ball Corp_20170803,BLL,2017-08-03,excluded
Ball Corp_20171102,BLL,2017-11-02,excluded
Baxter International Inc._20170426,BAX,2017-04-26,train
Baxter International Inc._20170726,BAX,2017-07-26,excluded
Becton Dickinson_20170803,BDX,2017-08-03,excluded
Becton Dickinson_20171102,BDX,2017-11-02,excluded
Biogen Inc._20170126,BIIB,2017-01-26,excluded
Boeing Company_20170426,BA,2017-04-26,train
Booking Holdings Inc_20170509,BKNG,2017-05-09,excluded
Booking Holdings Inc_20171106,BKNG,2017-11-06,test
BorgWarner_20170209,BWA,2017-02-09,train
BorgWarner_20170727,BWA,2017-07-27,excluded
Bristol-Myers Squibb_20170427,BMY,2017-04-27,train
Bristol-Myers Squibb_20170727,BMY,2017-07-27,excluded
Broadridge Financial Solutions_20170510,BR,2017-05-10,train
CBRE Group_20171103,CBRE,2017-11-03,excluded
CIGNA Corp._20170202,CI,2017-02-02,excluded
CIGNA Corp._20170505,CI,2017-05-05,excluded
CIGNA Corp._20170804,CI,2017-08-04,excluded
CME Group Inc._20171026,CME,2017-10-26,excluded
CMS Energy_20170501,CMS,2017-05-01,train
CMS Energy_20171026,CMS,2017-10-26,excluded
CVS Health_20170209,CVS,2017-02-09,train
Cadence Design Systems_20170724,CDNS,2017-07-24,excluded
Campbell Soup_20170217,CPB,2017-02-17,excluded
Campbell Soup_20170519,CPB,2017-05-19,excluded
Campbell Soup_20170831,CPB,2017-08-31,val
Campbell Soup_20171121,CPB,2017-11-21,excluded
Cardinal Health Inc._20170501,CAH,2017-05-01,train
Carmax Inc_20170922,KMX,2017-09-22,excluded
Carmax Inc_20171221,KMX,2017-12-21,excluded
Caterpillar Inc._20170126,CAT,2017-01-26,train
Caterpillar Inc._20170425,CAT,2017-04-25,train
Caterpillar Inc._20170725,CAT,2017-07-25,excluded
Caterpillar Inc._20171024,CAT,2017-10-24,excluded
Cboe Global Markets_20170804,CBOE,2017-08-04,excluded
Celgene Corp._20170126,CELG,2017-01-26,train
Celgene Corp._20170427,CELG,2017-04-27,train
Celgene Corp._20170727,CELG,2017-07-27,excluded
Celgene Corp._20171026,CELG,2017-10-26,excluded
CenturyLink Inc_20170802,CTL,2017-08-02,excluded
