call_id,ticker,as_of,split
3M Company_20170425,MMM,2017-04-25,train
3M Company_20170725,MMM,2017-07-25,embargo
A.O. Smith Corp_20170726,AOS,2017-07-26,embargo
ABIOMED Inc_20170504,ABMD,2017-05-04,train
AES Corp_20170508,AES,2017-05-08,train
AES Corp_20171102,AES,2017-11-02,test
AMETEK Inc._20170207,AME,2017-02-07,train
AMETEK Inc._20170802,AME,2017-08-02,embargo
AT&T Inc._20170425,T,2017-04-25,train
AT&T Inc._20171024,T,2017-10-24,embargo
AbbVie Inc._20170427,ABBV,2017-04-27,train
AbbVie Inc._20170728,ABBV,2017-07-28,embargo
AbbVie Inc._20171027,ABBV,2017-10-27,test
Abbott Laboratories_20171018,ABT,2017-10-18,embargo
Activision Blizzard_20170209,ATVI,2017-02-09,train
Activision Blizzard_20170504,ATVI,2017-05-04,train
Adobe Systems Inc_20170316,ADBE,2017-03-16,train
Advance Auto Parts_20170524,AAP,2017-05-24,train
Advanced Micro Devices Inc_20170501,AMD,2017-05-01,train
Advanced Micro Devices Inc_20170725,AMD,2017-07-25,embargo
Advanced Micro Devices Inc_20171024,AMD,2017-10-24,embargo
Aetna Inc_20170131,AET,2017-01-31,train
Aetna Inc_20170502,AET,2017-05-02,train
Aetna Inc_20171031,AET,2017-10-31,test
Agilent Technologies Inc_20170214,A,2017-02-14,train
Akamai Technologies Inc_20170207,AKAM,2017-02-07,train
Akamai Technologies Inc_20170502,AKAM,2017-05-02,train
Alaska Air Group Inc_20170208,ALK,2017-02-08,train
Alaska Air Group Inc_20171025,ALK,2017-10-25,test
Alexion Pharmaceuticals_20171026,ALXN,2017-10-26,test
Align Technology_20170131,ALGN,2017-01-31,train
Align Technology_20170427,ALGN,2017-04-27,train
Align Technology_20170727,ALGN,2017-07-27,embargo
Allegion_20170209,ALLE,2017-02-09,train
Allegion_20170427,ALLE,2017-04-27,train
"Allergan, Plc_20170803",AGN,2017-08-03,embargo
Alliance Data Systems_20170126,ADS,2017-01-26,train
Alliance Data Systems_20170420,ADS,2017-04-20,train
Alliance Data Systems_20171019,ADS,2017-10-19,embargo
Altria Group Inc_20170502,MO,2017-05-02,train
Altria Group Inc_20170727,MO,2017-07-27,embargo
Altria Group Inc_20171026,MO,2017-10-26,test
Amazon.com Inc._20170202,AMZN,2017-02-02,train
Amazon.com Inc._20170427,AMZN,2017-04-27,train
Ameren Corp_20170216,AEE,2017-02-16,train
American Express Co_20170419,AXP,2017-04-19,train
American Express Co_20170719,AXP,2017-07-19,embargo
American Express Co_20171018,AXP,2017-10-18,embargo
American Tower Corp A_20170227,AMT,2017-02-27,train
American Tower Corp A_20170427,AMT,2017-04-27,train
AmerisourceBergen Corp_20170131,ABC,2017-01-31,train
AmerisourceBergen Corp_20170504,ABC,2017-05-04,train
AmerisourceBergen Corp_20170803,ABC,2017-08-03,embargo
AmerisourceBergen Corp_20171102,ABC,2017-11-02,test
Amgen Inc._20170725,AMGN,2017-07-25,embargo
Amgen Inc._20171025,AMGN,2017-10-25,test
Anthem Inc._20170201,ANTM,2017-02-01,train
Anthem Inc._20170426,ANTM,2017-04-26,train
Anthem Inc._20170726,ANTM,2017-07-26,embargo
Aon plc_20170509,AON,2017-05-09,train
Aon plc_20171027,AON,2017-10-27,test
Apache Corporation_20170223,APA,2017-02-23,train
Apache Corporation_20171102,APA,2017-11-02,test
Archer-Daniels-Midland Co_20170207,ADM,2017-02-07,train
Archer-Daniels-Midland Co_20170502,ADM,2017-05-02,train
Archer-Daniels-Midland Co_20170801,ADM,2017-08-01,embargo
Archer-Daniels-Midland Co_20171031,ADM,2017-10-31,test
Autodesk Inc._20170302,ADSK,2017-03-02,train
Automatic Data Processing_20170201,ADP,2017-02-01,train
Automatic Data Processing_20170503,ADP,2017-05-03,train
Automatic Data Processing_20170727,ADP,2017-07-27,embargo
Automatic Data Processing_20171102,ADP,2017-11-02,test
Avery Dennison Corp_20170201,AVY,2017-02-01,train
Avery Dennison Corp_20170426,AVY,2017-04-26,train
Avery Dennison Corp_20170725,AVY,2017-07-25,embargo
Avery Dennison Corp_20171025,AVY,2017-10-25,test
Ball Corp_20170504,BLL,2017-05-04,train
Ball Corp_20170803,BLL,2017-08-03,embargo
Ball Corp_20171102,BLL,2017-11-02,test
Baxter International Inc._20170426,BAX,2017-04-26,train
Baxter International Inc._20170726,BAX,2017-07-26,embargo
Becton Dickinson_20170803,BDX,2017-08-03,embargo
Becton Dickinson_20171102,BDX,2017-11-02,test
Biogen Inc._20170126,BIIB,2017-01-26,train
Boeing Company_20170426,BA,2017-04-26,train
Booking Holdings Inc_20170509,BKNG,2017-05-09,train
Booking Holdings Inc_20171106,BKNG,2017-11-06,test
BorgWarner_20170209,BWA,2017-02-09,train
BorgWarner_20170727,BWA,2017-07-27,embargo
Bristol-Myers Squibb_20170427,BMY,2017-04-27,train
Bristol-Myers Squibb_20170727,BMY,2017-07-27,embargo
Broadridge Financial Solutions_20170510,BR,2017-05-10,train
CBRE Group_20171103,CBRE,2017-11-03,test
CIGNA Corp._20170202,CI,2017-02-02,train
CIGNA Corp._20170505,CI,2017-05-05,train
CIGNA Corp._20170804,CI,2017-08-04,val
CME Group Inc._20171026,CME,2017-10-26,test
CMS Energy_20170501,CMS,2017-05-01,train
CMS Energy_20171026,CMS,2017-10-26,test
CVS Health_20170209,CVS,2017-02-09,train
Cadence Design Systems_20170724,CDNS,2017-07-24,embargo
Campbell Soup_20170217,CPB,2017-02-17,train
Campbell Soup_20170519,CPB,2017-05-19,train
Campbell Soup_20170831,CPB,2017-08-31,val
Campbell Soup_20171121,CPB,2017-11-21,test
Cardinal Health Inc._20170501,CAH,2017-05-01,train
Carmax Inc_20170922,KMX,2017-09-22,embargo
Carmax Inc_20171221,KMX,2017-12-21,test
Caterpillar Inc._20170126,CAT,2017-01-26,train
Caterpillar Inc._20170425,CAT,2017-04-25,train
Caterpillar Inc._20170725,CAT,2017-07-25,embargo
Caterpillar Inc._20171024,CAT,2017-10-24,embargo
Cboe Global Markets_20170804,CBOE,2017-08-04,val
Celgene Corp._20170126,CELG,2017-01-26,train
Celgene Corp._20170427,CELG,2017-04-27,train
Celgene Corp._20170727,CELG,2017-07-27,embargo
Celgene Corp._20171026,CELG,2017-10-26,test
CenturyLink Inc_20170802,CTL,2017-08-02,embargo
CenturyLink Inc_20171108,CTL,2017-11-08,test
Chevron Corp._20170127,CVX,2017-01-27,train
Chevron Corp._20170428,CVX,2017-04-28,train
Chevron Corp._20170728,CVX,2017-07-28,embargo
Church & Dwight_20170803,CHD,2017-08-03,embargo
Church & Dwight_20171102,CHD,2017-11-02,test
Cimarex Energy_20170510,XEC,2017-05-10,train
Cisco Systems_20170215,CSCO,2017-02-15,train
Cisco Systems_20171115,CSCO,2017-11-15,test
Citigroup Inc._20170118,C,2017-01-18,train
Citigroup Inc._20171012,C,2017-10-12,embargo
Citrix Systems_20170802,CTXS,2017-08-02,embargo
Coca-Cola Company (The)_20170209,KO,2017-02-09,train
Coca-Cola Company (The)_20170726,KO,2017-07-26,embargo
Cognizant Technology Solutions_20170803,CTSH,2017-08-03,embargo
Cognizant Technology Solutions_20171101,CTSH,2017-11-01,test
Comcast Corp._20170126,CMCSA,2017-01-26,train
Comcast Corp._20170427,CMCSA,2017-04-27,train
Comcast Corp._20170727,CMCSA,2017-07-27,embargo
Comerica Inc._20170117,CMA,2017-01-17,train
Comerica Inc._20170418,CMA,2017-04-18,train
Conagra Brands_20171221,CAG,2017-12-21,test
Corning Inc._20170124,GLW,2017-01-24,train
"Coty, Inc_20170209",COTY,2017-02-09,train
"Coty, Inc_20170822",COTY,2017-08-22,val
"Coty, Inc_20171109",COTY,2017-11-09,test
Crown Castle International Corp._20170719,CCI,2017-07-19,embargo
Cummins Inc._20170801,CMI,2017-08-01,embargo
D. R. Horton_20170124,DHI,2017-01-24,train
DTE Energy Co._20170726,DTE,2017-07-26,embargo
DaVita Inc._20170502,DVA,2017-05-02,train
DaVita Inc._20170801,DVA,2017-08-01,embargo
Darden Restaurants_20170926,DRI,2017-09-26,embargo
Darden Restaurants_20171219,DRI,2017-12-19,test
Digital Realty Trust Inc_20170216,DLR,2017-02-16,train
Digital Realty Trust Inc_20170427,DLR,2017-04-27,train
Dish Network_20170222,DISH,2017-02-22,train
Dish Network_20170501,DISH,2017-05-01,train
Dish Network_20170803,DISH,2017-08-03,embargo
Dish Network_20171109,DISH,2017-11-09,test
Dollar General_20171207,DG,2017-12-07,test
Dominion Energy_20170504,D,2017-05-04,train
Dominion Energy_20170802,D,2017-08-02,embargo
Dominion Energy_20171030,D,2017-10-30,test
Dover Corp._20170420,DOV,2017-04-20,train
Dover Corp._20170720,DOV,2017-07-20,embargo
Duke Energy_20171103,DUK,2017-11-03,test
EQT Corporation_20170427,EQT,2017-04-27,train
EQT Corporation_20170727,EQT,2017-07-27,embargo
Ecolab Inc._20170221,ECL,2017-02-21,train
Ecolab Inc._20170502,ECL,2017-05-02,train
Ecolab Inc._20170801,ECL,2017-08-01,embargo
Ecolab Inc._20171031,ECL,2017-10-31,test
Edison Int'l_20170501,EIX,2017-05-01,train
Edwards Lifesciences_20170201,EW,2017-02-01,train
Electronic Arts_20171031,EA,2017-10-31,test
Emerson Electric Company_20170207,EMR,2017-02-07,train
Emerson Electric Company_20170502,EMR,2017-05-02,train
Equinix_20170802,EQIX,2017-08-02,embargo
Equinix_20171101,EQIX,2017-11-01,test
Estee Lauder Cos._20170202,EL,2017-02-02,train
Estee Lauder Cos._20170503,EL,2017-05-03,train
Estee Lauder Cos._20170818,EL,2017-08-18,val
Estee Lauder Cos._20171101,EL,2017-11-01,test
Exxon Mobil Corp._20171027,XOM,2017-10-27,test
F5 Networks_20170125,FFIV,2017-01-25,train
F5 Networks_20170426,FFIV,2017-04-26,train
F5 Networks_20170726,FFIV,2017-07-26,embargo
FLIR Systems_20171025,FLIR,2017-10-25,test
"Facebook, Inc._20171101",FB,2017-11-01,test
Fidelity National Information Services_20170207,FIS,2017-02-07,train
Fidelity National Information Services_20170802,FIS,2017-08-02,embargo
Fifth Third Bancorp_20170124,FITB,2017-01-24,train
FleetCor Technologies Inc_20170803,FLT,2017-08-03,embargo
Foot Locker Inc_20170224,FL,2017-02-24,train
Foot Locker Inc_20170519,FL,2017-05-19,train
Foot Locker Inc_20171117,FL,2017-11-17,test
Ford Motor_20170427,F,2017-04-27,train
Fortive Corp_20170207,FTV,2017-02-07,train
Fortune Brands Home & Security_20170802,FBHS,2017-08-02,embargo
Franklin Resources_20170127,BEN,2017-01-27,train
Franklin Resources_20170428,BEN,2017-04-28,train
Freeport-McMoRan Inc._20170425,FCX,2017-04-25,train
Gap Inc._20170223,GPS,2017-02-23,train
Gap Inc._20170518,GPS,2017-05-18,train
Garmin Ltd._20170222,GRMN,2017-02-22,train
Garmin Ltd._20170503,GRMN,2017-05-03,train
Garmin Ltd._20171101,GRMN,2017-11-01,test
Gartner Inc_20170202,IT,2017-02-02,train
Gartner Inc_20170504,IT,2017-05-04,train
Gartner Inc_20170808,IT,2017-08-08,val
Gartner Inc_20171102,IT,2017-11-02,test
General Dynamics_20170127,GD,2017-01-27,train
General Dynamics_20170426,GD,2017-04-26,train
General Dynamics_20171025,GD,2017-10-25,test
General Mills_20170628,GIS,2017-06-28,embargo
General Mills_20171220,GIS,2017-12-20,test
General Motors_20170207,GM,2017-02-07,train
General Motors_20170428,GM,2017-04-28,train
General Motors_20170725,GM,2017-07-25,embargo
General Motors_20171024,GM,2017-10-24,embargo
Genuine Parts_20170221,GPC,2017-02-21,train
Gilead Sciences_20170502,GILD,2017-05-02,train
Goldman Sachs Group_20170118,GS,2017-01-18,train
Goldman Sachs Group_20170718,GS,2017-07-18,embargo
Goodyear Tire & Rubber_20170428,GT,2017-04-28,train
Grainger (W.W.) Inc._20170125,GWW,2017-01-25,train
Grainger (W.W.) Inc._20170418,GWW,2017-04-18,train
Grainger (W.W.) Inc._20170719,GWW,2017-07-19,embargo
HCA Holdings_20170502,HCA,2017-05-02,train
HP Inc._20170222,HPQ,2017-02-22,train
HP Inc._20170524,HPQ,2017-05-24,train
