call_id,ticker,as_of,split
1630481,BMY,2019-01-24,excluded
1630525,F,2019-01-23,excluded
1631082,DXC,2019-02-07,train
1631282,CAH,2019-02-07,train
1631581,JNJ,2019-01-18,train
1631662,MRK,2019-01-31,excluded
1632021,BSX,2019-02-06,train
1632164,EHC,2019-02-07,train
1632284,CVS,2019-02-20,excluded
1632352,TFX,2019-02-20,excluded
1633114,AMT,2019-02-27,train
1633166,ZTS,2019-02-14,excluded
1633290,XRAY,2019-03-01,train
1633604,KBH,2019-01-09,excluded
1634932,GM,2019-02-06,excluded
1635298,C,2019-01-14,train
1635649,SNV,2018-01-12,excluded
1635734,JPM,2019-01-15,train
1636140,BNY,2019-01-16,excluded
1636151,BAC,2019-01-16,train
1636157,BLK,2019-01-16,train
1636169,BWA,2019-02-14,excluded
1636229,GS,2019-01-16,train
1636261,CMA,2019-01-16,train
1636262,UAL,2019-01-16,excluded
1636464,CSX,2019-01-17,train
1636471,AA,2019-01-16,train
1636754,KEY,2019-01-17,train
1636872,FAST,2019-01-17,excluded
1636896,DPZ,2019-02-21,train
1636956,PPG,2019-01-17,train
1637034,AXP,2019-01-17,excluded
1637246,VFC,2019-01-18,train
1637296,CFG,2019-01-18,train
1637341,STT,2019-01-18,excluded
1638098,SWK,2019-01-22,train
1638175,TRV,2019-01-22,excluded
1638565,COF,2019-01-22,train
1638814,PG,2019-01-23,train
1638815,CMCSA,2019-01-23,train
1638952,KMB,2019-01-18,train
1639235,LRCX,2019-01-23,train
1639246,LVS,2019-01-23,train
1639601,TXT,2019-01-24,train
1639608,MKC,2019-01-23,train
1639762,UNP,2019-01-24,train
1639809,TER,2019-01-24,train
1639823,FCX,2019-01-24,train
1639857,AEP,2019-01-24,train
1639872,GWW,2019-01-24,train
1640196,NSC,2019-01-24,train
1640216,DFS,2019-01-24,train
1640723,CL,2019-04-23,excluded
1641285,CAT,2019-01-28,excluded
1641674,WHR,2019-01-28,excluded
1641690,XRX,2019-01-29,train
1641787,PHM,2019-01-28,train
1641795,HOG,2019-01-29,train
1641799,MMM,2019-01-29,train
1641854,CE,2019-01-29,train
1641855,DOV,2019-01-29,train
1641867,HCA,2019-09-19,train
1641895,ROK,2019-01-29,train
1641983,LMT,2019-01-29,train
1641994,PCAR,2019-01-29,train
1642264,ALGN,2019-01-29,train
1642281,EBAY,2019-01-29,train
1642318,AMD,2019-01-29,train
1642321,KLAC,2019-01-29,train
1642715,NDAQ,2019-01-30,train
1642770,ADP,2019-01-30,train
1642789,GD,2019-01-30,excluded
1642852,IVZ,2019-01-30,train
1642895,MKTX,2019-01-30,train
1642899,RCL,2019-01-29,train
1642903,HES,2019-01-29,train
1642908,PFG,2019-01-29,train
1642940,IEX,2019-01-30,train
1642965,IR,2019-02-19,train
1643051,AVY,2019-01-30,train
1643306,FICO,2019-01-30,train
1643320,QCOM,2019-01-30,excluded
1643351,NOW,2019-01-30,train
1643352,PYPL,2019-01-30,train
1643361,MDLZ,2019-01-30,excluded
1643375,MSFT,2019-02-01,excluded
1643886,CHTR,2019-01-31,train
1643891,GE,2019-01-31,train
1643897,MRSH,2019-02-05,train
1643926,UPS,2019-01-31,train
1643963,BX,2019-01-31,train
1643994,MA,2019-01-31,train
1643997,XYL,2019-01-30,train
1644011,MO,2019-01-31,train
1644025,AMP,2019-01-31,train
1644100,IP,2019-01-31,excluded
1644276,KIM,2019-02-25,train
1644277,PH,2019-01-31,excluded
1644289,MSCI,2019-01-31,train
1644346,NOC,2019-01-31,excluded
1644425,ESS,2019-01-30,train
1644452,BC,2019-01-31,excluded
1644723,AMZN,2019-01-31,train
1645159,ROP,2019-01-31,train
1645172,EMN,2019-02-01,train
1645214,HON,2019-02-01,excluded
1645375,XOM,2019-02-01,train
1645384,WY,2019-02-01,excluded
1645457,CVX,2019-02-01,train
1646770,IT,2019-02-05,train
1646774,LEG,2019-02-04,train
1646871,ADM,2019-02-05,train
1646974,OLN,2019-02-05,excluded
1647101,AVB,2019-02-04,excluded
1647116,TDG,2019-02-05,excluded
1647200,CHD,2019-02-05,excluded
1647544,EA,2019-02-05,train
1647970,ATO,2019-02-06,excluded
1648040,CTSH,2019-02-06,excluded
1648299,CMI,2019-02-06,train
1648762,FTNT,2019-02-06,excluded
1649375,MAS,2019-02-07,train
1649412,CDW,2019-02-07,train
1649428,ICE,2019-02-07,train
1649478,TSN,2019-02-07,train
1649512,BR,2019-02-06,train
1649570,MPC,2019-02-07,excluded
1649663,SEE,2019-02-07,excluded
1649814,PRU,2019-02-06,train
1649930,NOV,2019-02-07,excluded
1650103,PM,2019-02-07,train
1650417,VRSN,2019-02-07,train
1650515,WU,2019-02-06,train
1650608,MAT,2019-02-07,excluded
1650623,MSI,2019-02-07,excluded
1651217,CBOE,2019-02-08,train
1651258,HAS,2019-02-08,excluded
1651565,PSX,2019-02-08,excluded
1653145,BHF,2019-02-11,excluded
1653200,OMC,2019-02-12,train
1653251,FIS,2019-02-12,train
